kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Albertslund,1,Herstedøster Skole,A_Listestemmer,Listestemmer,Socialdemokratiet,218
Albertslund,1,Herstedøster Skole,A_Steen_Christiansen,Steen Christiansen,Socialdemokratiet,159
Albertslund,1,Herstedøster Skole,A_Marianne_Burchall,Marianne Burchall,Socialdemokratiet,201
Albertslund,1,Herstedøster Skole,A_Paw_Østergaard_Jensen,Paw Østergaard Jensen,Socialdemokratiet,39
Albertslund,1,Herstedøster Skole,A_Ulla_Nielsen,Ulla Nielsen,Socialdemokratiet,15
Albertslund,1,Herstedøster Skole,A_Dogan_Polat,Dogan Polat,Socialdemokratiet,12
Albertslund,1,Herstedøster Skole,A_Tina_Christiansen,Tina Christiansen,Socialdemokratiet,11
Albertslund,1,Herstedøster Skole,A_Mikkel_Skovby,Mikkel Skovby,Socialdemokratiet,30
Albertslund,1,Herstedøster Skole,A_Nikolaj_Kristian_Carlsen,Nikolaj Kristian Carlsen,Socialdemokratiet,10
Albertslund,1,Herstedøster Skole,A_Lasse_Wilson,Lasse Wilson,Socialdemokratiet,38
Albertslund,1,Herstedøster Skole,A_Rukhsana_Ali,Rukhsana Ali,Socialdemokratiet,8
Albertslund,1,Herstedøster Skole,A_Qasir_Mirza,Qasir Mirza,Socialdemokratiet,15
Albertslund,1,Herstedøster Skole,A_Emil_Ottesen,Emil Ottesen,Socialdemokratiet,17
Albertslund,1,Herstedøster Skole,A_Jane_Nannberg,Jane Nannberg,Socialdemokratiet,2
Albertslund,1,Herstedøster Skole,A_Julie_Marie_Larsen,Julie Marie Larsen,Socialdemokratiet,13
Albertslund,1,Herstedøster Skole,A_Rashid_Leegaard_Kestey,Rashid Leegaard Kestey,Socialdemokratiet,3
Albertslund,1,Herstedøster Skole,A_Akhlaq_Ahmad,Akhlaq Ahmad,Socialdemokratiet,13
Albertslund,1,Herstedøster Skole,A_Flemming_Jørgensen,Flemming Jørgensen,Socialdemokratiet,24
Albertslund,1,Herstedøster Skole,B_Listestemmer,Listestemmer,Radikale Venstre,33
Albertslund,1,Herstedøster Skole,B_Hediye_Temiz,Hediye Temiz,Radikale Venstre,41
Albertslund,1,Herstedøster Skole,B_Martin_Rytter,Martin Rytter,Radikale Venstre,22
Albertslund,1,Herstedøster Skole,B_Morten_Loof_Andersen,Morten Loof Andersen,Radikale Venstre,3
Albertslund,1,Herstedøster Skole,B_Zohair_Ali,Zohair Ali,Radikale Venstre,43
Albertslund,1,Herstedøster Skole,B_Nicolai_Kofod-Jensen,Nicolai Kofod-Jensen,Radikale Venstre,4
Albertslund,1,Herstedøster Skole,B_Anders_Pedersen,Anders Pedersen,Radikale Venstre,5
Albertslund,1,Herstedøster Skole,B_Lene_Dræbye,Lene Dræbye,Radikale Venstre,5
Albertslund,1,Herstedøster Skole,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,141
