kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Favrskov,1,Hadsten Nord,A_Listestemmer,Listestemmer,Socialdemokratiet,171
Favrskov,1,Hadsten Nord,A_Nils_Borring,Nils Borring,Socialdemokratiet,481
Favrskov,1,Hadsten Nord,A_Isabell_Friis_Madsen,Isabell Friis Madsen,Socialdemokratiet,197
Favrskov,1,Hadsten Nord,A_Erling_Kvist_Andersen,Erling Kvist Andersen,Socialdemokratiet,9
Favrskov,1,Hadsten Nord,A_Lone_Boye,Lone Boye,Socialdemokratiet,8
Favrskov,1,Hadsten Nord,A_Gitte_Lynderup_Lauritsen,Gitte Lynderup Lauritsen,Socialdemokratiet,6
Favrskov,1,Hadsten Nord,A_Rikke_Randrup_Skåning,Rikke Randrup Skåning,Socialdemokratiet,61
Favrskov,1,Hadsten Nord,A_Søren_Gade,Søren Gade,Socialdemokratiet,7
Favrskov,1,Hadsten Nord,A_Grethe_Villadsen,Grethe Villadsen,Socialdemokratiet,22
Favrskov,1,Hadsten Nord,A_Niels_Flade_Nielsen,Niels Flade Nielsen,Socialdemokratiet,2
Favrskov,1,Hadsten Nord,A_Kristoffer_Merrild,Kristoffer Merrild,Socialdemokratiet,4
Favrskov,1,Hadsten Nord,A_Maria_Degn,Maria Degn,Socialdemokratiet,8
Favrskov,1,Hadsten Nord,A_Steen_Thomasen,Steen Thomasen,Socialdemokratiet,2
Favrskov,1,Hadsten Nord,A_Kim_Hedegaard,Kim Hedegaard,Socialdemokratiet,19
Favrskov,1,Hadsten Nord,A_Erik_Særkjær,Erik Særkjær,Socialdemokratiet,11
Favrskov,1,Hadsten Nord,A_Martin_Hager_Andersen,Martin Hager Andersen,Socialdemokratiet,3
Favrskov,1,Hadsten Nord,B_Listestemmer,Listestemmer,Radikale Venstre,26
Favrskov,1,Hadsten Nord,"B_Torben_Christensen,_Foldby","Torben Christensen, Foldby",Radikale Venstre,33
Favrskov,1,Hadsten Nord,"B_Pet_Petersen,_Hadsten","Pet Petersen, Hadsten",Radikale Venstre,69
Favrskov,1,Hadsten Nord,"B_Bassam_El-Daoud,_Voldby","Bassam El-Daoud, Voldby",Radikale Venstre,0
Favrskov,1,Hadsten Nord,"B_Peter_Enevoldsen,_Laurbjerg","Peter Enevoldsen, Laurbjerg",Radikale Venstre,1
Favrskov,1,Hadsten Nord,"B_Rasmus_Grønborg_Jakobsen,_Hinnerup","Rasmus Grønborg Jakobsen, Hinnerup",Radikale Venstre,21
Favrskov,1,Hadsten Nord,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,110
Favrskov,1,Hadsten Nord,C_Lars_Storgaard,Lars Storgaard,Det Konservative Folkeparti,58
Favrskov,1,Hadsten Nord,C_Charlotte_Green,Charlotte Green,Det Konservative Folkeparti,73
Favrskov,1,Hadsten Nord,C_Niels_Chr._Selchau-Mark,Niels Chr. Selchau-Mark,Det Konservative Folkeparti,294
Favrskov,1,Hadsten Nord,C_René_Schneider,René Schneider,Det Konservative Folkeparti,71
Favrskov,1,Hadsten Nord,C_Mette_Nøhr,Mette Nøhr,Det Konservative Folkeparti,33
Favrskov,1,Hadsten Nord,C_Anne-Sophie_Schjønning_Eriksen,Anne-Sophie Schjønning Eriksen,Det Konservative Folkeparti,21
Favrskov,1,Hadsten Nord,C_Lene_Guldbrandt,Lene Guldbrandt,Det Konservative Folkeparti,10
Favrskov,1,Hadsten Nord,C_Flemming_Aaen_Jensen,Flemming Aaen Jensen,Det Konservative Folkeparti,17
Favrskov,1,Hadsten Nord,C_Jesper_B._Poulsen,Jesper B. Poulsen,Det Konservative Folkeparti,8
Favrskov,1,Hadsten Nord,C_Knud_Schøler,Knud Schøler,Det Konservative Folkeparti,4
Favrskov,1,Hadsten Nord,C_Tommy_Højer,Tommy Højer,Det Konservative Folkeparti,2
Favrskov,1,Hadsten Nord,D_Listestemmer,Listestemmer,Nye Borgerlige,42
Favrskov,1,Hadsten Nord,D_Erling_Høj_Sørensen,Erling Høj Sørensen,Nye Borgerlige,17
Favrskov,1,Hadsten Nord,D_Hanne_Gram,Hanne Gram,Nye Borgerlige,14
Favrskov,1,Hadsten Nord,D_Benny_B._Jensen,Benny B. Jensen,Nye Borgerlige,17
Favrskov,1,Hadsten Nord,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,42
Favrskov,1,Hadsten Nord,"F_Søren_Frandsen,_Grundfør","Søren Frandsen, Grundfør",SF - Socialistisk Folkeparti,13
Favrskov,1,Hadsten Nord,"F_Søren_Lahn_Sloth,_Hinnerup","Søren Lahn Sloth, Hinnerup",SF - Socialistisk Folkeparti,13
Favrskov,1,Hadsten Nord,"F_Laila_Jerming_Graf,_Sall","Laila Jerming Graf, Sall",SF - Socialistisk Folkeparti,9
Favrskov,1,Hadsten Nord,"F_Chr._Kreiberg_Møller,_Hinnerup","Chr. Kreiberg Møller, Hinnerup",SF - Socialistisk Folkeparti,1
