kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Frederikssund,1,Frederikssund Midt,A_Listestemmer,Listestemmer,Socialdemokratiet,332
Frederikssund,1,Frederikssund Midt,A_Tina_Tving_Stauning,Tina Tving Stauning,Socialdemokratiet,346
Frederikssund,1,Frederikssund Midt,A_Jesper_Wittenburg,Jesper Wittenburg,Socialdemokratiet,181
Frederikssund,1,Frederikssund Midt,A_Poul_Erik_Skov_Christensen,Poul Erik Skov Christensen,Socialdemokratiet,76
Frederikssund,1,Frederikssund Midt,A_Susanne_Bettina_Jørgensen,Susanne Bettina Jørgensen,Socialdemokratiet,75
Frederikssund,1,Frederikssund Midt,A_Anne-Lise_Kuhre,Anne-Lise Kuhre,Socialdemokratiet,17
Frederikssund,1,Frederikssund Midt,A_Lars_Jepsen,Lars Jepsen,Socialdemokratiet,90
Frederikssund,1,Frederikssund Midt,A_Kenneth_Jensen,Kenneth Jensen,Socialdemokratiet,71
Frederikssund,1,Frederikssund Midt,A_Ozgür_Bardakci,Ozgür Bardakci,Socialdemokratiet,109
Frederikssund,1,Frederikssund Midt,A_Carsten_Cederholm,Carsten Cederholm,Socialdemokratiet,27
Frederikssund,1,Frederikssund Midt,A_Jesper_Henriksen,Jesper Henriksen,Socialdemokratiet,18
Frederikssund,1,Frederikssund Midt,A_Anne-Mette_Olsen,Anne-Mette Olsen,Socialdemokratiet,9
Frederikssund,1,Frederikssund Midt,A_Kim_Egelund,Kim Egelund,Socialdemokratiet,8
Frederikssund,1,Frederikssund Midt,A_Lars_Eitmann,Lars Eitmann,Socialdemokratiet,16
Frederikssund,1,Frederikssund Midt,A_Martin_Kirchgässner,Martin Kirchgässner,Socialdemokratiet,1
Frederikssund,1,Frederikssund Midt,A_Jimmy_Sarvad,Jimmy Sarvad,Socialdemokratiet,3
Frederikssund,1,Frederikssund Midt,A_Julia_Revling,Julia Revling,Socialdemokratiet,10
Frederikssund,1,Frederikssund Midt,A_Sanne_Johansen,Sanne Johansen,Socialdemokratiet,28
Frederikssund,1,Frederikssund Midt,B_Listestemmer,Listestemmer,Radikale Venstre,58
Frederikssund,1,Frederikssund Midt,"B_Søren_Weimann,_Hornsherred","Søren Weimann, Hornsherred",Radikale Venstre,45
Frederikssund,1,Frederikssund Midt,"B_Asbjørn_Laurberg,_Frederikssund","Asbjørn Laurberg, Frederikssund",Radikale Venstre,9
Frederikssund,1,Frederikssund Midt,"B_Sükran_Gezen,_Frederikssund","Sükran Gezen, Frederikssund",Radikale Venstre,5
Frederikssund,1,Frederikssund Midt,"B_Kjartan_Lind,_Frederikssund","Kjartan Lind, Frederikssund",Radikale Venstre,10
Frederikssund,1,Frederikssund Midt,"B_Mark_Barnkob,_Frederikssund","Mark Barnkob, Frederikssund",Radikale Venstre,5
Frederikssund,1,Frederikssund Midt,"B_John_Witt,_Græse_Bakkeby","John Witt, Græse Bakkeby",Radikale Venstre,2
Frederikssund,1,Frederikssund Midt,"B_Kim_Bromberg,_Jægerspris","Kim Bromberg, Jægerspris",Radikale Venstre,8
Frederikssund,1,Frederikssund Midt,"B_Carsten_Nielsen,_Frederikssund","Carsten Nielsen, Frederikssund",Radikale Venstre,8
Frederikssund,1,Frederikssund Midt,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,103
Frederikssund,1,Frederikssund Midt,"C_Niels_Martin_Viuff,_Frederikssund","Niels Martin Viuff, Frederikssund",Det Konservative Folkeparti,127
Frederikssund,1,Frederikssund Midt,"C_Therese_Hejnfelt,_Skibby","Therese Hejnfelt, Skibby",Det Konservative Folkeparti,73
Frederikssund,1,Frederikssund Midt,"C_Nicolai_Pandorff,_Onsved","Nicolai Pandorff, Onsved",Det Konservative Folkeparti,6
Frederikssund,1,Frederikssund Midt,"C_Henrik_Godiksen,_Slangerup","Henrik Godiksen, Slangerup",Det Konservative Folkeparti,24
Frederikssund,1,Frederikssund Midt,"C_Kenneth_Johansen,_St._Rørbæk","Kenneth Johansen, St. Rørbæk",Det Konservative Folkeparti,7
Frederikssund,1,Frederikssund Midt,"C_Jonas_Brandt,_Kyndby_Huse","Jonas Brandt, Kyndby Huse",Det Konservative Folkeparti,23
Frederikssund,1,Frederikssund Midt,"C_Henrik_Biehl,_Skuldelev","Henrik Biehl, Skuldelev",Det Konservative Folkeparti,3
Frederikssund,1,Frederikssund Midt,D_Listestemmer,Listestemmer,Nye Borgerlige,90
Frederikssund,1,Frederikssund Midt,D_Maibritt_Møller_Nielsen,Maibritt Møller Nielsen,Nye Borgerlige,52
