kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Gribskov,1,Blistrup,A_Listestemmer,Listestemmer,Socialdemokratiet,138
Gribskov,1,Blistrup,A_Morten_Dahlberg_Nielsen,Morten Dahlberg Nielsen,Socialdemokratiet,54
Gribskov,1,Blistrup,A_Allan_Nielsen,Allan Nielsen,Socialdemokratiet,19
Gribskov,1,Blistrup,A_Pia_Elly_Godsted_Foght,Pia Elly Godsted Foght,Socialdemokratiet,41
Gribskov,1,Blistrup,A_Mette_Marianne_Tolstrup,Mette Marianne Tolstrup,Socialdemokratiet,12
Gribskov,1,Blistrup,A_Jannik_Lyng_Petersen,Jannik Lyng Petersen,Socialdemokratiet,8
Gribskov,1,Blistrup,A_Steffen_Dannemand_Goldschmidt,Steffen Dannemand Goldschmidt,Socialdemokratiet,16
Gribskov,1,Blistrup,A_Daniel_Tao_Faber_Threms,Daniel Tao Faber Threms,Socialdemokratiet,11
Gribskov,1,Blistrup,B_Listestemmer,Listestemmer,Radikale Venstre,19
Gribskov,1,Blistrup,B_Bo_Jul_Baandhagen_Nielsen_-_Gillel,Bo Jul Baandhagen Nielsen - Gillel,Radikale Venstre,21
Gribskov,1,Blistrup,B_Mette_Dollerup_-_Gilleleje,Mette Dollerup - Gilleleje,Radikale Venstre,9
Gribskov,1,Blistrup,B_Rikke_Vesterbæk_Heitmann_-_Græsted,Rikke Vesterbæk Heitmann - Græsted,Radikale Venstre,3
Gribskov,1,Blistrup,B_Thomas_Frandsen_-_Tisvildeleje,Thomas Frandsen - Tisvildeleje,Radikale Venstre,0
Gribskov,1,Blistrup,B_Jens_Peter_Hansen_-_Gilleleje,Jens Peter Hansen - Gilleleje,Radikale Venstre,4
Gribskov,1,Blistrup,B_Karl_Terpager_Andersen_-_Vejby,Karl Terpager Andersen - Vejby,Radikale Venstre,0
Gribskov,1,Blistrup,B_Frank_Skaarup_Slemming_-_Tinkerup,Frank Skaarup Slemming - Tinkerup,Radikale Venstre,2
Gribskov,1,Blistrup,B_Arne_Skovgaard_Nielsen_-_Helsinge,Arne Skovgaard Nielsen - Helsinge,Radikale Venstre,1
Gribskov,1,Blistrup,B_Søren_Bald_-_Tibirke_Sand,Søren Bald - Tibirke Sand,Radikale Venstre,0
Gribskov,1,Blistrup,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,90
Gribskov,1,Blistrup,C_Trine_Mette_Egetved-Sørensen,Trine Mette Egetved-Sørensen,Det Konservative Folkeparti,298
Gribskov,1,Blistrup,C_Lars_Nielsen,Lars Nielsen,Det Konservative Folkeparti,49
Gribskov,1,Blistrup,C_Samir_Maáli,Samir Maáli,Det Konservative Folkeparti,10
Gribskov,1,Blistrup,C_Daniel_Frigast,Daniel Frigast,Det Konservative Folkeparti,2
Gribskov,1,Blistrup,C_Helene_Elisabeth_F_Gerlykke-Dohn,Helene Elisabeth F Gerlykke-Dohn,Det Konservative Folkeparti,16
Gribskov,1,Blistrup,C_Simon_Johannes_Mortensen,Simon Johannes Mortensen,Det Konservative Folkeparti,3
Gribskov,1,Blistrup,C_Bertel_Dandanell_Bording,Bertel Dandanell Bording,Det Konservative Folkeparti,6
Gribskov,1,Blistrup,C_Michael_Frank_Hansen,Michael Frank Hansen,Det Konservative Folkeparti,4
