kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Kerteminde,1,Mesinge,A_Listestemmer,Listestemmer,Socialdemokratiet,57
Kerteminde,1,Mesinge,"A_Kasper_Ejsing_Olesen,_Langeskov","Kasper Ejsing Olesen, Langeskov",Socialdemokratiet,104
Kerteminde,1,Mesinge,"A_Malene_Hansen,_Kerteminde","Malene Hansen, Kerteminde",Socialdemokratiet,24
Kerteminde,1,Mesinge,"A_Karen_Dalsgaard_Ibsen,_Munkebo","Karen Dalsgaard Ibsen, Munkebo",Socialdemokratiet,7
Kerteminde,1,Mesinge,"A_Britt_Pedersen,_Martofte","Britt Pedersen, Martofte",Socialdemokratiet,36
Kerteminde,1,Mesinge,"A_Jan_Johansen,_Munkebo","Jan Johansen, Munkebo",Socialdemokratiet,47
Kerteminde,1,Mesinge,"A_Jens-Arne_Hansen,_Mesinge","Jens-Arne Hansen, Mesinge",Socialdemokratiet,50
Kerteminde,1,Mesinge,"A_Michael_Gammelgaard,_Rynkeby","Michael Gammelgaard, Rynkeby",Socialdemokratiet,2
Kerteminde,1,Mesinge,"A_Kristian_Hald,_Marslev","Kristian Hald, Marslev",Socialdemokratiet,12
Kerteminde,1,Mesinge,"A_Puiu_Iulian_Mãcincã,_Nonnebo","Puiu Iulian Mãcincã, Nonnebo",Socialdemokratiet,1
Kerteminde,1,Mesinge,"A_Kim_Nielsen,_Munkebo","Kim Nielsen, Munkebo",Socialdemokratiet,2
Kerteminde,1,Mesinge,"A_Sebastian_Nielsen,_Munkebo","Sebastian Nielsen, Munkebo",Socialdemokratiet,7
Kerteminde,1,Mesinge,"A_Mogens_Jørgensen,_Rynkeby","Mogens Jørgensen, Rynkeby",Socialdemokratiet,1
Kerteminde,1,Mesinge,"A_Claus_Maimann,_Kerteminde","Claus Maimann, Kerteminde",Socialdemokratiet,2
Kerteminde,1,Mesinge,"A_Jan_Hansen,_Munkebo","Jan Hansen, Munkebo",Socialdemokratiet,4
Kerteminde,1,Mesinge,"A_John_Eriksen,_Munkebo","John Eriksen, Munkebo",Socialdemokratiet,1
