kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
København,1,1. Østerbro,A_Listestemmer,Listestemmer,Socialdemokratiet,447
København,1,1. Østerbro,A_Sophie_Hæstorp_Andersen,Sophie Hæstorp Andersen,Socialdemokratiet,317
København,1,1. Østerbro,A_Lars_Weiss,Lars Weiss,Socialdemokratiet,108
København,1,1. Østerbro,A_Laura_Rosenvinge,Laura Rosenvinge,Socialdemokratiet,31
København,1,1. Østerbro,A_Jesper_Christensen,Jesper Christensen,Socialdemokratiet,14
København,1,1. Østerbro,A_Sofie_Seidenfaden,Sofie Seidenfaden,Socialdemokratiet,22
København,1,1. Østerbro,A_Jonas_Bjørn_Jensen,Jonas Bjørn Jensen,Socialdemokratiet,59
København,1,1. Østerbro,A_Trine_Madsen,Trine Madsen,Socialdemokratiet,4
København,1,1. Østerbro,A_Andreas_Keil,Andreas Keil,Socialdemokratiet,59
København,1,1. Østerbro,A_Susan_Hedlund,Susan Hedlund,Socialdemokratiet,6
København,1,1. Østerbro,A_Marcus_Vesterager,Marcus Vesterager,Socialdemokratiet,31
København,1,1. Østerbro,A_Maria_Tranberg,Maria Tranberg,Socialdemokratiet,18
København,1,1. Østerbro,A_Niels_E._Bjerrum,Niels E. Bjerrum,Socialdemokratiet,8
København,1,1. Østerbro,A_Mette_Reissmann,Mette Reissmann,Socialdemokratiet,48
København,1,1. Østerbro,A_Henrik_Appel,Henrik Appel,Socialdemokratiet,16
København,1,1. Østerbro,A_Fatima_H._Ladefoged,Fatima H. Ladefoged,Socialdemokratiet,12
København,1,1. Østerbro,A_Yildiz_Akdogan,Yildiz Akdogan,Socialdemokratiet,38
København,1,1. Østerbro,A_Finn_Skou_Nielsen,Finn Skou Nielsen,Socialdemokratiet,2
København,1,1. Østerbro,A_Lea_Friedberg,Lea Friedberg,Socialdemokratiet,19
København,1,1. Østerbro,A_Hans_Præstbro,Hans Præstbro,Socialdemokratiet,7
København,1,1. Østerbro,A_Ulla_Krag,Ulla Krag,Socialdemokratiet,23
København,1,1. Østerbro,A_Christoffer_Rosenkrands,Christoffer Rosenkrands,Socialdemokratiet,2
København,1,1. Østerbro,A_Maria_Kornbek,Maria Kornbek,Socialdemokratiet,3
København,1,1. Østerbro,A_Dennis_Schnell-Lauritzen,Dennis Schnell-Lauritzen,Socialdemokratiet,6
København,1,1. Østerbro,A_Rikke_Skovgaard_Andersen,Rikke Skovgaard Andersen,Socialdemokratiet,3
København,1,1. Østerbro,A_Morten_Garly_Andersen,Morten Garly Andersen,Socialdemokratiet,4
København,1,1. Østerbro,A_Hari_Neupane,Hari Neupane,Socialdemokratiet,0
København,1,1. Østerbro,A_Kit_Roesen,Kit Roesen,Socialdemokratiet,4
København,1,1. Østerbro,A_Lauritz_Ziethen,Lauritz Ziethen,Socialdemokratiet,7
København,1,1. Østerbro,A_Gitte_Kristensen,Gitte Kristensen,Socialdemokratiet,1
København,1,1. Østerbro,A_Lone_Larsen,Lone Larsen,Socialdemokratiet,2
København,1,1. Østerbro,B_Listestemmer,Listestemmer,Radikale Venstre,390
København,1,1. Østerbro,B_Mia_Nyegaard,Mia Nyegaard,Radikale Venstre,119
København,1,1. Østerbro,B_Christopher_Røhl,Christopher Røhl,Radikale Venstre,43
København,1,1. Østerbro,B_Mette_Annelie_Rasmussen,Mette Annelie Rasmussen,Radikale Venstre,176
København,1,1. Østerbro,B_Jes_Vissing_Tiedemann,Jes Vissing Tiedemann,Radikale Venstre,15
København,1,1. Østerbro,B_Katrine_Kildgaard,Katrine Kildgaard,Radikale Venstre,75
København,1,1. Østerbro,B_Sally_Khallash,Sally Khallash,Radikale Venstre,20
København,1,1. Østerbro,B_Jino_Victoria_Doabi,Jino Victoria Doabi,Radikale Venstre,25
København,1,1. Østerbro,B_Dan_Kreutzfeldt,Dan Kreutzfeldt,Radikale Venstre,6
København,1,1. Østerbro,B_Lartey_Lawson,Lartey Lawson,Radikale Venstre,50
København,1,1. Østerbro,B_Emil_Moselund,Emil Moselund,Radikale Venstre,104
København,1,1. Østerbro,B_Kashif_Ahmad,Kashif Ahmad,Radikale Venstre,13
København,1,1. Østerbro,B_Emil_Sloth_Andersen,Emil Sloth Andersen,Radikale Venstre,39
København,1,1. Østerbro,B_Kim_Mandix,Kim Mandix,Radikale Venstre,8
København,1,1. Østerbro,B_Hanne_Kofoed,Hanne Kofoed,Radikale Venstre,6
København,1,1. Østerbro,B_Martin_Schepelern,Martin Schepelern,Radikale Venstre,23
København,1,1. Østerbro,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,653
København,1,1. Østerbro,C_Jakob_Næsager,Jakob Næsager,Det Konservative Folkeparti,378
København,1,1. Østerbro,C_Helle_Bonnesen,Helle Bonnesen,Det Konservative Folkeparti,217
København,1,1. Østerbro,C_Line_Ervolder,Line Ervolder,Det Konservative Folkeparti,36
København,1,1. Østerbro,C_Karina_Bergmann,Karina Bergmann,Det Konservative Folkeparti,14
København,1,1. Østerbro,C_Morten_Melchiors,Morten Melchiors,Det Konservative Folkeparti,24
København,1,1. Østerbro,C_Mathilde_Kastbjerg,Mathilde Kastbjerg,Det Konservative Folkeparti,73
København,1,1. Østerbro,C_Susanne_Møller,Susanne Møller,Det Konservative Folkeparti,5
København,1,1. Østerbro,C_Lasse_Vogel_Andersen,Lasse Vogel Andersen,Det Konservative Folkeparti,4
København,1,1. Østerbro,C_Andreas_Petersen,Andreas Petersen,Det Konservative Folkeparti,7
København,1,1. Østerbro,C_Hussain_Ali,Hussain Ali,Det Konservative Folkeparti,9
København,1,1. Østerbro,C_Manuel_Sjødahl_Andersen,Manuel Sjødahl Andersen,Det Konservative Folkeparti,3
København,1,1. Østerbro,C_Helle_Jønch,Helle Jønch,Det Konservative Folkeparti,28
København,1,1. Østerbro,C_Jens_Wedenborg,Jens Wedenborg,Det Konservative Folkeparti,12
København,1,1. Østerbro,C_Thorbjørn_Hein,Thorbjørn Hein,Det Konservative Folkeparti,13
København,1,1. Østerbro,C_Peter_Bjerregaard,Peter Bjerregaard,Det Konservative Folkeparti,78
København,1,1. Østerbro,C_Peter_Rasmussen,Peter Rasmussen,Det Konservative Folkeparti,9
København,1,1. Østerbro,C_Lis_Langsø,Lis Langsø,Det Konservative Folkeparti,6
København,1,1. Østerbro,C_Ole_Normann_Buch,Ole Normann Buch,Det Konservative Folkeparti,9
København,1,1. Østerbro,C_Dan_Pedersen,Dan Pedersen,Det Konservative Folkeparti,1
København,1,1. Østerbro,C_Hannibaal_Skov_Al_Awssi,Hannibaal Skov Al Awssi,Det Konservative Folkeparti,20
København,1,1. Østerbro,C_Anders_Løve_Kyhl,Anders Løve Kyhl,Det Konservative Folkeparti,7
København,1,1. Østerbro,C_Camilla_Dreyer,Camilla Dreyer,Det Konservative Folkeparti,3
København,1,1. Østerbro,C_Hans_Erik_Sigsgaard,Hans Erik Sigsgaard,Det Konservative Folkeparti,0
København,1,1. Østerbro,C_Peter_Olesen,Peter Olesen,Det Konservative Folkeparti,3
København,1,1. Østerbro,C_Ingrid_Slott,Ingrid Slott,Det Konservative Folkeparti,0
København,1,1. Østerbro,D_Listestemmer,Listestemmer,Nye Borgerlige,78
København,1,1. Østerbro,D_Niels_Peder_Ravn,Niels Peder Ravn,Nye Borgerlige,31
København,1,1. Østerbro,D_Anastasia_von_Wildenrath_Løvgreen,Anastasia von Wildenrath Løvgreen,Nye Borgerlige,9
København,1,1. Østerbro,D_Jimmi_Haushøj,Jimmi Haushøj,Nye Borgerlige,5
København,1,1. Østerbro,D_Malte_Larsen,Malte Larsen,Nye Borgerlige,12
København,1,1. Østerbro,D_Anders_Toft_Hansen,Anders Toft Hansen,Nye Borgerlige,5
København,1,1. Østerbro,D_Hein_Christensen,Hein Christensen,Nye Borgerlige,3
København,1,1. Østerbro,D_Mikael_Lind_Petersen,Mikael Lind Petersen,Nye Borgerlige,0
København,1,1. Østerbro,D_Jan_Trøjgaard,Jan Trøjgaard,Nye Borgerlige,1
København,1,1. Østerbro,D_Jakob_Busk,Jakob Busk,Nye Borgerlige,1
København,1,1. Østerbro,D_Patrick_Jensen,Patrick Jensen,Nye Borgerlige,0
København,1,1. Østerbro,E_Listestemmer,Listestemmer,Christiania-Listen,1
København,1,1. Østerbro,"E_Hulda_Mader,_Christiania","Hulda Mader, Christiania",Christiania-Listen,0
København,1,1. Østerbro,"E_Britta_Lillesøe,_Christiania","Britta Lillesøe, Christiania",Christiania-Listen,0
København,1,1. Østerbro,"E_Kirsten_Larsen_Mhoja,_Christiania","Kirsten Larsen Mhoja, Christiania",Christiania-Listen,0
København,1,1. Østerbro,"E_Rasmus_Blædel_Larsen,_Nørrebro","Rasmus Blædel Larsen, Nørrebro",Christiania-Listen,1
København,1,1. Østerbro,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,344
København,1,1. Østerbro,F_Sisse_Marie_Welling,Sisse Marie Welling,SF - Socialistisk Folkeparti,187
København,1,1. Østerbro,F_Astrid_Aller,Astrid Aller,SF - Socialistisk Folkeparti,97
København,1,1. Østerbro,F_Rasmus_Steenberger,Rasmus Steenberger,SF - Socialistisk Folkeparti,21
København,1,1. Østerbro,F_Anna_Overlund,Anna Overlund,SF - Socialistisk Folkeparti,14
København,1,1. Østerbro,F_Klaus_Mygind,Klaus Mygind,SF - Socialistisk Folkeparti,20
København,1,1. Østerbro,F_Harun_Demirtas,Harun Demirtas,SF - Socialistisk Folkeparti,36
København,1,1. Østerbro,F_Annika_Smith,Annika Smith,SF - Socialistisk Folkeparti,32
København,1,1. Østerbro,F_Tobias_Bornakke,Tobias Bornakke,SF - Socialistisk Folkeparti,11
København,1,1. Østerbro,F_Turid_Leirvoll,Turid Leirvoll,SF - Socialistisk Folkeparti,7
København,1,1. Østerbro,F_Yilmaz_Yildiz,Yilmaz Yildiz,SF - Socialistisk Folkeparti,9
København,1,1. Østerbro,F_Yasser_Ghanbari,Yasser Ghanbari,SF - Socialistisk Folkeparti,6
København,1,1. Østerbro,F_Kasper_Nordborg_Kiær,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,5
København,1,1. Østerbro,F_Thomas_Warburg,Thomas Warburg,SF - Socialistisk Folkeparti,2
København,1,1. Østerbro,F_Mads_Balslev_Hansen,Mads Balslev Hansen,SF - Socialistisk Folkeparti,6
København,1,1. Østerbro,F_Karla_Banke_Mathisen,Karla Banke Mathisen,SF - Socialistisk Folkeparti,18
København,1,1. Østerbro,F_Edith_Jakobsen,Edith Jakobsen,SF - Socialistisk Folkeparti,3
København,1,1. Østerbro,F_Jonas_Neivelt,Jonas Neivelt,SF - Socialistisk Folkeparti,11
København,1,1. Østerbro,F_Benjamin_Friis,Benjamin Friis,SF - Socialistisk Folkeparti,4
København,1,1. Østerbro,F_Julie_Svensson,Julie Svensson,SF - Socialistisk Folkeparti,2
København,1,1. Østerbro,F_Majbritt_Svensson,Majbritt Svensson,SF - Socialistisk Folkeparti,2
København,1,1. Østerbro,F_Mette_Solbjerghøj_Isaksen,Mette Solbjerghøj Isaksen,SF - Socialistisk Folkeparti,0
København,1,1. Østerbro,F_Morten_Bering,Morten Bering,SF - Socialistisk Folkeparti,3
København,1,1. Østerbro,F_Bjarne_P._Nielsen,Bjarne P. Nielsen,SF - Socialistisk Folkeparti,0
København,1,1. Østerbro,F_Mads_Mikkel_Dragholt,Mads Mikkel Dragholt,SF - Socialistisk Folkeparti,11
København,1,1. Østerbro,G_Listestemmer,Listestemmer,Veganerpartiet,16
København,1,1. Østerbro,G_Maria_Nørgaard_Andersen,Maria Nørgaard Andersen,Veganerpartiet,13
København,1,1. Østerbro,G_Ole_Therkelsen,Ole Therkelsen,Veganerpartiet,4
København,1,1. Østerbro,G_Karsten_Faber,Karsten Faber,Veganerpartiet,5
København,1,1. Østerbro,G_Lars_Corvinius_Olesen,Lars Corvinius Olesen,Veganerpartiet,1
