kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Norddjurs,1,Kulturhuset Pavillonen,A_Listestemmer,Listestemmer,Socialdemokratiet,250
Norddjurs,1,Kulturhuset Pavillonen,"A_Jan_Petersen,_Sangstrup","Jan Petersen, Sangstrup",Socialdemokratiet,546
Norddjurs,1,Kulturhuset Pavillonen,"A_Lars_Møller,_Grenaa","Lars Møller, Grenaa",Socialdemokratiet,208
Norddjurs,1,Kulturhuset Pavillonen,"A_Allan_Gjersbøl_Jørgensen,_Grenaa","Allan Gjersbøl Jørgensen, Grenaa",Socialdemokratiet,234
Norddjurs,1,Kulturhuset Pavillonen,"A_Bente_Hedegaard,_Auning","Bente Hedegaard, Auning",Socialdemokratiet,9
Norddjurs,1,Kulturhuset Pavillonen,"A_Karoline_Bergkvist_Søgaard,_Rimsø","Karoline Bergkvist Søgaard, Rimsø",Socialdemokratiet,68
Norddjurs,1,Kulturhuset Pavillonen,"A_Anette_Ruby_Liebe,_Grenaa","Anette Ruby Liebe, Grenaa",Socialdemokratiet,127
Norddjurs,1,Kulturhuset Pavillonen,"A_Fritz_Birk_Sørensen,_Allingåbro","Fritz Birk Sørensen, Allingåbro",Socialdemokratiet,5
Norddjurs,1,Kulturhuset Pavillonen,"A_Anders_Stenumgaard_Lind,_Grenaa","Anders Stenumgaard Lind, Grenaa",Socialdemokratiet,87
Norddjurs,1,Kulturhuset Pavillonen,"A_Niels_Basballe,_Grenaa","Niels Basballe, Grenaa",Socialdemokratiet,78
Norddjurs,1,Kulturhuset Pavillonen,"A_Hans_Fisker_Jensen,_Bønnerup","Hans Fisker Jensen, Bønnerup",Socialdemokratiet,14
Norddjurs,1,Kulturhuset Pavillonen,"A_Tom_Bytoft,_Auning","Tom Bytoft, Auning",Socialdemokratiet,11
Norddjurs,1,Kulturhuset Pavillonen,"A_Carsten_Hering_Nielsen,_Trustrup","Carsten Hering Nielsen, Trustrup",Socialdemokratiet,8
Norddjurs,1,Kulturhuset Pavillonen,"A_Lars_Pedersen,_Udbyhøj","Lars Pedersen, Udbyhøj",Socialdemokratiet,11
Norddjurs,1,Kulturhuset Pavillonen,"A_Carl-Eric_Würtz_Pallesen,_Grenaa","Carl-Eric Würtz Pallesen, Grenaa",Socialdemokratiet,50
Norddjurs,1,Kulturhuset Pavillonen,"A_Carsten_Pleman,_Holbæk","Carsten Pleman, Holbæk",Socialdemokratiet,0
Norddjurs,1,Kulturhuset Pavillonen,"A_Jacob_Gosvig_Haaber,_Stenvad","Jacob Gosvig Haaber, Stenvad",Socialdemokratiet,5
Norddjurs,1,Kulturhuset Pavillonen,"A_Heidi_Hass_Madsen,_Glatved","Heidi Hass Madsen, Glatved",Socialdemokratiet,47
Norddjurs,1,Kulturhuset Pavillonen,B_Listestemmer,Listestemmer,Radikale Venstre,33
Norddjurs,1,Kulturhuset Pavillonen,"B_Ole_Svit,_Glesborg","Ole Svit, Glesborg",Radikale Venstre,77
Norddjurs,1,Kulturhuset Pavillonen,"B_Else_Brask,_Grenaa","Else Brask, Grenaa",Radikale Venstre,12
Norddjurs,1,Kulturhuset Pavillonen,"B_Jørn_Juul_Sørensen,_Grenaa","Jørn Juul Sørensen, Grenaa",Radikale Venstre,14
Norddjurs,1,Kulturhuset Pavillonen,"B_Malene_Kristiansen,_Grenaa","Malene Kristiansen, Grenaa",Radikale Venstre,16
Norddjurs,1,Kulturhuset Pavillonen,"B_Allan_Andersen,_Grenaa","Allan Andersen, Grenaa",Radikale Venstre,11
Norddjurs,1,Kulturhuset Pavillonen,"B_Jacob_Hørlyk,_Grenaa","Jacob Hørlyk, Grenaa",Radikale Venstre,15
Norddjurs,1,Kulturhuset Pavillonen,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,92
Norddjurs,1,Kulturhuset Pavillonen,"C_Benny_Hammer,_Glesborg","Benny Hammer, Glesborg",Det Konservative Folkeparti,444
Norddjurs,1,Kulturhuset Pavillonen,"C_Mads_Jensen,_Grenaa","Mads Jensen, Grenaa",Det Konservative Folkeparti,110
Norddjurs,1,Kulturhuset Pavillonen,"C_Grethe_Hansen,_Bønnerup","Grethe Hansen, Bønnerup",Det Konservative Folkeparti,47
Norddjurs,1,Kulturhuset Pavillonen,"C_Mads_Bjerregaard,_Auning","Mads Bjerregaard, Auning",Det Konservative Folkeparti,1
Norddjurs,1,Kulturhuset Pavillonen,"C_Martin_Raghner,_Grenaa","Martin Raghner, Grenaa",Det Konservative Folkeparti,146
Norddjurs,1,Kulturhuset Pavillonen,"C_Sarah_Reenberg,_Auning","Sarah Reenberg, Auning",Det Konservative Folkeparti,0
Norddjurs,1,Kulturhuset Pavillonen,"C_Niels_Skov_Pedersen,_Ørum_Djurs","Niels Skov Pedersen, Ørum Djurs",Det Konservative Folkeparti,12
