kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Nyborg,1,Aunslevhallen,A_Listestemmer,Listestemmer,Socialdemokratiet,54
Nyborg,1,Aunslevhallen,A_Sonja_Marie_Jensen,Sonja Marie Jensen,Socialdemokratiet,78
Nyborg,1,Aunslevhallen,A_Jesper_Nielsen,Jesper Nielsen,Socialdemokratiet,17
Nyborg,1,Aunslevhallen,A_Martin_Stenmann,Martin Stenmann,Socialdemokratiet,1
Nyborg,1,Aunslevhallen,A_Barbara_Bendahl_Schultz,Barbara Bendahl Schultz,Socialdemokratiet,5
Nyborg,1,Aunslevhallen,A_Per_Chrone_Jespersen,Per Chrone Jespersen,Socialdemokratiet,1
Nyborg,1,Aunslevhallen,A_Poul_Erik_Knudsen,Poul Erik Knudsen,Socialdemokratiet,8
Nyborg,1,Aunslevhallen,A_Vibeke_Franziska_L_Ejlertsen,Vibeke Franziska L Ejlertsen,Socialdemokratiet,6
Nyborg,1,Aunslevhallen,A_Heidi_Anker_Leen,Heidi Anker Leen,Socialdemokratiet,5
Nyborg,1,Aunslevhallen,A_Claus_Johanson,Claus Johanson,Socialdemokratiet,4
Nyborg,1,Aunslevhallen,A_Lene_Ingemann_Skyggelund,Lene Ingemann Skyggelund,Socialdemokratiet,3
Nyborg,1,Aunslevhallen,A_Janni_Møller_Sørensen,Janni Møller Sørensen,Socialdemokratiet,1
Nyborg,1,Aunslevhallen,A_Rameesh_Thirugnanasambanther,Rameesh Thirugnanasambanther,Socialdemokratiet,3
Nyborg,1,Aunslevhallen,A_Henrik_Hauge_Vestergaard,Henrik Hauge Vestergaard,Socialdemokratiet,5
Nyborg,1,Aunslevhallen,A_Steen_Ole_Steensen_Christensen,Steen Ole Steensen Christensen,Socialdemokratiet,7
Nyborg,1,Aunslevhallen,A_Merete_Østergaard_Bang,Merete Østergaard Bang,Socialdemokratiet,0
Nyborg,1,Aunslevhallen,A_Kirstine_Sofie_Ingemann_Skyggelund,Kirstine Sofie Ingemann Skyggelund,Socialdemokratiet,1
Nyborg,1,Aunslevhallen,A_Allan_Lindholm,Allan Lindholm,Socialdemokratiet,5
Nyborg,1,Aunslevhallen,A_Sabrina_Baltser_Verner,Sabrina Baltser Verner,Socialdemokratiet,6
Nyborg,1,Aunslevhallen,A_Brian_Kristiansen,Brian Kristiansen,Socialdemokratiet,3
Nyborg,1,Aunslevhallen,A_Carsten_Sahl_Rasmussen,Carsten Sahl Rasmussen,Socialdemokratiet,2
Nyborg,1,Aunslevhallen,A_Casey_Lasse_Høybye_Pedersen,Casey Lasse Høybye Pedersen,Socialdemokratiet,0
Nyborg,1,Aunslevhallen,A_Lone_Smidt,Lone Smidt,Socialdemokratiet,11
Nyborg,1,Aunslevhallen,B_Listestemmer,Listestemmer,Radikale Venstre,6
Nyborg,1,Aunslevhallen,B_Emilie_Halbye_Haaning,Emilie Halbye Haaning,Radikale Venstre,3
Nyborg,1,Aunslevhallen,B_Hjalmar_Christiansen,Hjalmar Christiansen,Radikale Venstre,1
Nyborg,1,Aunslevhallen,B_Ludvig_Eduard_Dittmann,Ludvig Eduard Dittmann,Radikale Venstre,1
Nyborg,1,Aunslevhallen,B_Karen_Moritz_Hansen,Karen Moritz Hansen,Radikale Venstre,8
Nyborg,1,Aunslevhallen,B_Dorit_Myltoft,Dorit Myltoft,Radikale Venstre,0
Nyborg,1,Aunslevhallen,B_Jesper_Trampedach,Jesper Trampedach,Radikale Venstre,1
Nyborg,1,Aunslevhallen,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,16
Nyborg,1,Aunslevhallen,C_Jan_Michael_Gertsen,Jan Michael Gertsen,Det Konservative Folkeparti,8
Nyborg,1,Aunslevhallen,C_Thomas_Bo_Fibiger_Rydahl,Thomas Bo Fibiger Rydahl,Det Konservative Folkeparti,5
Nyborg,1,Aunslevhallen,C_Tjalfe_Nørregaard_Schmidt,Tjalfe Nørregaard Schmidt,Det Konservative Folkeparti,2
Nyborg,1,Aunslevhallen,C_Thomas_Egelund_Krum,Thomas Egelund Krum,Det Konservative Folkeparti,0
Nyborg,1,Aunslevhallen,C_Niels_Lundshøj_Regnarsen,Niels Lundshøj Regnarsen,Det Konservative Folkeparti,2
Nyborg,1,Aunslevhallen,C_Anne_Conradsen,Anne Conradsen,Det Konservative Folkeparti,0
Nyborg,1,Aunslevhallen,C_Oscar_Ibsen,Oscar Ibsen,Det Konservative Folkeparti,2
Nyborg,1,Aunslevhallen,C_Henrik_Boeriths,Henrik Boeriths,Det Konservative Folkeparti,3
Nyborg,1,Aunslevhallen,C_Per_Kurt_Olsen,Per Kurt Olsen,Det Konservative Folkeparti,0
Nyborg,1,Aunslevhallen,C_Jessika_Hanna_Marie_J_Harboe,Jessika Hanna Marie J Harboe,Det Konservative Folkeparti,0
Nyborg,1,Aunslevhallen,C_Thomas_Bach_Piekut,Thomas Bach Piekut,Det Konservative Folkeparti,0
Nyborg,1,Aunslevhallen,D_Listestemmer,Listestemmer,Nye Borgerlige,10
Nyborg,1,Aunslevhallen,D_Kasper_Mejlhede,Kasper Mejlhede,Nye Borgerlige,22
Nyborg,1,Aunslevhallen,D_Henrik_Aaen,Henrik Aaen,Nye Borgerlige,7
Nyborg,1,Aunslevhallen,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,15
Nyborg,1,Aunslevhallen,F_Suzette_Frovin,Suzette Frovin,SF - Socialistisk Folkeparti,36
Nyborg,1,Aunslevhallen,F_Ole_Tyrsted_Jørgensen,Ole Tyrsted Jørgensen,SF - Socialistisk Folkeparti,13
Nyborg,1,Aunslevhallen,F_Anja_Sika_de_Thurah,Anja Sika de Thurah,SF - Socialistisk Folkeparti,6
Nyborg,1,Aunslevhallen,F_Jens_Høj_Justesen,Jens Høj Justesen,SF - Socialistisk Folkeparti,1
Nyborg,1,Aunslevhallen,F_Frans_Jakobsen,Frans Jakobsen,SF - Socialistisk Folkeparti,3
Nyborg,1,Aunslevhallen,F_Gøye_Thorn_Svendsen,Gøye Thorn Svendsen,SF - Socialistisk Folkeparti,1
Nyborg,1,Aunslevhallen,F_Jette_Iben_Bohr,Jette Iben Bohr,SF - Socialistisk Folkeparti,1
Nyborg,1,Aunslevhallen,F_Hans_Biering,Hans Biering,SF - Socialistisk Folkeparti,0
