kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Rebild,1,Støvring,A_Listestemmer,Listestemmer,Socialdemokratiet,256
Rebild,1,Støvring,"A_Peter_G._Hansen,_Skørping","Peter G. Hansen, Skørping",Socialdemokratiet,392
Rebild,1,Støvring,"A_Rasmus_Rask,_Haverslev","Rasmus Rask, Haverslev",Socialdemokratiet,14
Rebild,1,Støvring,"A_Thøger_Elmelund_Kristensen,Ø.Hornu","Thøger Elmelund Kristensen,Ø.Hornu",Socialdemokratiet,34
Rebild,1,Støvring,"A_André_Ellegaard_Jensen,_Nørager","André Ellegaard Jensen, Nørager",Socialdemokratiet,4
Rebild,1,Støvring,"A_Poul_Erik_Nørnberg,_Støvring","Poul Erik Nørnberg, Støvring",Socialdemokratiet,107
Rebild,1,Støvring,"A_Thomas_Bach_Jacobsen,_Støvring","Thomas Bach Jacobsen, Støvring",Socialdemokratiet,28
Rebild,1,Støvring,"A_Morten_Lem,_Ravnkilde","Morten Lem, Ravnkilde",Socialdemokratiet,3
Rebild,1,Støvring,"A_Rasmus_Høgh_Nørskov,_Støvring","Rasmus Høgh Nørskov, Støvring",Socialdemokratiet,16
Rebild,1,Støvring,"A_Joan_Anett_Bjerregaard,_Støvring","Joan Anett Bjerregaard, Støvring",Socialdemokratiet,31
Rebild,1,Støvring,"A_Klaus_Anker_Hansen,_Støvring","Klaus Anker Hansen, Støvring",Socialdemokratiet,88
Rebild,1,Støvring,B_Listestemmer,Listestemmer,Radikale Venstre,48
Rebild,1,Støvring,B_Leon_Sebbelin,Leon Sebbelin,Radikale Venstre,279
Rebild,1,Støvring,B_Pia_Elberg,Pia Elberg,Radikale Venstre,21
Rebild,1,Støvring,B_Torsten_Topbjerg,Torsten Topbjerg,Radikale Venstre,73
Rebild,1,Støvring,B_Mona_Høegh_Sørensen,Mona Høegh Sørensen,Radikale Venstre,9
Rebild,1,Støvring,B_Michael_Portefee_P._Lex,Michael Portefee P. Lex,Radikale Venstre,2
Rebild,1,Støvring,B_Merete_Langeland,Merete Langeland,Radikale Venstre,11
Rebild,1,Støvring,B_Kjeld_Lundager_Jørgensen,Kjeld Lundager Jørgensen,Radikale Venstre,8
Rebild,1,Støvring,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,248
Rebild,1,Støvring,"C_Lene_Aalestrup,_Støvring","Lene Aalestrup, Støvring",Det Konservative Folkeparti,872
Rebild,1,Støvring,"C_Jeanette_Sagan,_Suldrup","Jeanette Sagan, Suldrup",Det Konservative Folkeparti,33
