kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Solrød,1,Havdrup,A_Listestemmer,Listestemmer,Socialdemokratiet,151
Solrød,1,Havdrup,A_Jonas_Ring_Madsen,Jonas Ring Madsen,Socialdemokratiet,201
Solrød,1,Havdrup,A_Jytte_Willendrup,Jytte Willendrup,Socialdemokratiet,13
Solrød,1,Havdrup,A_Anette_Fynbo_Blem,Anette Fynbo Blem,Socialdemokratiet,21
Solrød,1,Havdrup,A_Hanne_Bache_Vognbjerg,Hanne Bache Vognbjerg,Socialdemokratiet,19
Solrød,1,Havdrup,A_John_Wennerwald,John Wennerwald,Socialdemokratiet,4
Solrød,1,Havdrup,A_Finn_Larsen,Finn Larsen,Socialdemokratiet,10
Solrød,1,Havdrup,A_Finn_Åge_Rasmussen,Finn Åge Rasmussen,Socialdemokratiet,3
Solrød,1,Havdrup,A_Arne_Nowicki_Pedersen,Arne Nowicki Pedersen,Socialdemokratiet,2
Solrød,1,Havdrup,A_John_Løvenskjold_Nielsen,John Løvenskjold Nielsen,Socialdemokratiet,1
Solrød,1,Havdrup,A_Bendt_Kirk,Bendt Kirk,Socialdemokratiet,3
Solrød,1,Havdrup,B_Listestemmer,Listestemmer,Radikale Venstre,4
Solrød,1,Havdrup,B_Per_Laursen,Per Laursen,Radikale Venstre,11
Solrød,1,Havdrup,B_Michael_Cubbin,Michael Cubbin,Radikale Venstre,0
Solrød,1,Havdrup,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,80
Solrød,1,Havdrup,C_Jan_Færch,Jan Færch,Det Konservative Folkeparti,58
Solrød,1,Havdrup,C_Morten_Scheelsbeck,Morten Scheelsbeck,Det Konservative Folkeparti,18
Solrød,1,Havdrup,C_Mads_Silberg,Mads Silberg,Det Konservative Folkeparti,6
Solrød,1,Havdrup,C_Martin_Truberg_Jensen,Martin Truberg Jensen,Det Konservative Folkeparti,1
Solrød,1,Havdrup,C_Therese_Nebel,Therese Nebel,Det Konservative Folkeparti,2
Solrød,1,Havdrup,C_Mia_Qvist_Scheelsbeck,Mia Qvist Scheelsbeck,Det Konservative Folkeparti,8
Solrød,1,Havdrup,C_John_Mogensen,John Mogensen,Det Konservative Folkeparti,19
Solrød,1,Havdrup,C_Steen_Knuppert-Hansen,Steen Knuppert-Hansen,Det Konservative Folkeparti,0
Solrød,1,Havdrup,D_Listestemmer,Listestemmer,Nye Borgerlige,48
Solrød,1,Havdrup,D_Ulrik_Nick_Lassen,Ulrik Nick Lassen,Nye Borgerlige,29
