kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Svendborg,1,Byen,A_Listestemmer,Listestemmer,Socialdemokratiet,558
Svendborg,1,Byen,A_Bo_Hansen,Bo Hansen,Socialdemokratiet,1741
Svendborg,1,Byen,A_Hanne_Klit,Hanne Klit,Socialdemokratiet,97
Svendborg,1,Byen,A_John_Arly_Henriksen,John Arly Henriksen,Socialdemokratiet,152
Svendborg,1,Byen,A_Pia_Dam,Pia Dam,Socialdemokratiet,95
Svendborg,1,Byen,A_Maria_Haladyn,Maria Haladyn,Socialdemokratiet,44
Svendborg,1,Byen,A_Anne_Katrine_Olsen,Anne Katrine Olsen,Socialdemokratiet,81
Svendborg,1,Byen,A_Flemming_Madsen,Flemming Madsen,Socialdemokratiet,34
Svendborg,1,Byen,A_Torben_Jensen,Torben Jensen,Socialdemokratiet,25
Svendborg,1,Byen,A_Karl_Magnus_Bidstrup,Karl Magnus Bidstrup,Socialdemokratiet,22
Svendborg,1,Byen,A_Mikael_Hansen,Mikael Hansen,Socialdemokratiet,68
Svendborg,1,Byen,A_Bjarne_Elnegaard,Bjarne Elnegaard,Socialdemokratiet,15
Svendborg,1,Byen,A_Torben_Frost,Torben Frost,Socialdemokratiet,13
Svendborg,1,Byen,A_Kristine_Andersen,Kristine Andersen,Socialdemokratiet,50
Svendborg,1,Byen,A_Mads_Jørgensen,Mads Jørgensen,Socialdemokratiet,18
Svendborg,1,Byen,A_Lotte_Theilsø,Lotte Theilsø,Socialdemokratiet,25
Svendborg,1,Byen,A_Birthe_Stjernegaard,Birthe Stjernegaard,Socialdemokratiet,6
Svendborg,1,Byen,A_Claus_Krossteig,Claus Krossteig,Socialdemokratiet,34
Svendborg,1,Byen,A_Mai-Britt_Strøm,Mai-Britt Strøm,Socialdemokratiet,14
Svendborg,1,Byen,A_Astrid_Ejlersen,Astrid Ejlersen,Socialdemokratiet,22
Svendborg,1,Byen,A_Lasse_Gredal,Lasse Gredal,Socialdemokratiet,15
Svendborg,1,Byen,A_Børge_Bisgaard,Børge Bisgaard,Socialdemokratiet,4
Svendborg,1,Byen,A_Jesper_Piil_Thomsen,Jesper Piil Thomsen,Socialdemokratiet,4
Svendborg,1,Byen,A_Bjørn_Brøndum_Pedersen,Bjørn Brøndum Pedersen,Socialdemokratiet,27
Svendborg,1,Byen,A_Kent_Jørgensen,Kent Jørgensen,Socialdemokratiet,1
Svendborg,1,Byen,A_Søren_Brygger_Therkelsen,Søren Brygger Therkelsen,Socialdemokratiet,2
Svendborg,1,Byen,A_Niels_Christian_Nielsen,Niels Christian Nielsen,Socialdemokratiet,18
Svendborg,1,Byen,B_Listestemmer,Listestemmer,Radikale Venstre,107
Svendborg,1,Byen,"B_Hanne_Ringgaard_Møller,_Thurø","Hanne Ringgaard Møller, Thurø",Radikale Venstre,90
Svendborg,1,Byen,"B_Steen_Tinning,_Ballen","Steen Tinning, Ballen",Radikale Venstre,14
Svendborg,1,Byen,"B_Allan_Østergaard,_Skårup","Allan Østergaard, Skårup",Radikale Venstre,14
Svendborg,1,Byen,"B_Mette_Gregersen,_Thurø","Mette Gregersen, Thurø",Radikale Venstre,35
Svendborg,1,Byen,"B_Teddy_Stafsen,_Svendborg","Teddy Stafsen, Svendborg",Radikale Venstre,23
Svendborg,1,Byen,"B_Majbritt_Kjærulff,_Svendborg_Vestr","Majbritt Kjærulff, Svendborg Vestr",Radikale Venstre,35
Svendborg,1,Byen,"B_Carol_Tornow,_Egense","Carol Tornow, Egense",Radikale Venstre,1
Svendborg,1,Byen,"B_Merete_Visbjerg,_Ollerup","Merete Visbjerg, Ollerup",Radikale Venstre,3
Svendborg,1,Byen,"B_Preben_Gammelmark,_Åbyskov","Preben Gammelmark, Åbyskov",Radikale Venstre,1
Svendborg,1,Byen,"B_Kristian_Møller,_Hundstrup","Kristian Møller, Hundstrup",Radikale Venstre,0
Svendborg,1,Byen,"B_Bjarne_Laustsen,_Svendborg","Bjarne Laustsen, Svendborg",Radikale Venstre,3
Svendborg,1,Byen,"B_Kristina_Siig,_Skårup","Kristina Siig, Skårup",Radikale Venstre,5
Svendborg,1,Byen,"B_Kurt_Sorknæs,_Svendborg","Kurt Sorknæs, Svendborg",Radikale Venstre,7
Svendborg,1,Byen,"B_Svend_Erik_Hansen,_Svendborg","Svend Erik Hansen, Svendborg",Radikale Venstre,3
Svendborg,1,Byen,"B_Jørgen_Lundsgaard,_Svendborg","Jørgen Lundsgaard, Svendborg",Radikale Venstre,79
Svendborg,1,Byen,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,231
Svendborg,1,Byen,"C_Henrik_Nielsen,_Svendborg","Henrik Nielsen, Svendborg",Det Konservative Folkeparti,301
Svendborg,1,Byen,"C_Adam_Ringsby-Brandt,_Østre_Bydel","Adam Ringsby-Brandt, Østre Bydel",Det Konservative Folkeparti,22
