kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Syddjurs,1,Ebeltoft,A_Listestemmer,Listestemmer,Socialdemokratiet,339
Syddjurs,1,Ebeltoft,"A_Michael_Stegger_Jensen,_Ryomgård","Michael Stegger Jensen, Ryomgård",Socialdemokratiet,276
Syddjurs,1,Ebeltoft,"A_Christian_Haubuf,_Ebeltoft","Christian Haubuf, Ebeltoft",Socialdemokratiet,105
Syddjurs,1,Ebeltoft,"A_Michael_Aakjær,_Hornslet","Michael Aakjær, Hornslet",Socialdemokratiet,9
Syddjurs,1,Ebeltoft,"A_Anita_Søholm,_Mols","Anita Søholm, Mols",Socialdemokratiet,102
Syddjurs,1,Ebeltoft,"A_Ole_S._Hansen,_Mørke","Ole S. Hansen, Mørke",Socialdemokratiet,13
Syddjurs,1,Ebeltoft,"A_Jan_Fischer,_Hornslet","Jan Fischer, Hornslet",Socialdemokratiet,5
Syddjurs,1,Ebeltoft,"A_Linda_Brask,_Ebeltoft","Linda Brask, Ebeltoft",Socialdemokratiet,95
Syddjurs,1,Ebeltoft,"A_Lene_Straarup,_Mols","Lene Straarup, Mols",Socialdemokratiet,12
Syddjurs,1,Ebeltoft,"A_Sidse_G._Vangsted,_Pindstrup","Sidse G. Vangsted, Pindstrup",Socialdemokratiet,14
Syddjurs,1,Ebeltoft,"A_Erling_Mikkelsen,_Rønde","Erling Mikkelsen, Rønde",Socialdemokratiet,5
Syddjurs,1,Ebeltoft,"A_Casper_Grud_Nielsen,_Ugelbølle","Casper Grud Nielsen, Ugelbølle",Socialdemokratiet,7
Syddjurs,1,Ebeltoft,"A_Jan_Bruno_Jensen,_Rønde","Jan Bruno Jensen, Rønde",Socialdemokratiet,7
Syddjurs,1,Ebeltoft,"A_Verner_Møller,_Feldballe","Verner Møller, Feldballe",Socialdemokratiet,2
Syddjurs,1,Ebeltoft,"A_Lars_Breum,_Ådalen","Lars Breum, Ådalen",Socialdemokratiet,3
Syddjurs,1,Ebeltoft,B_Listestemmer,Listestemmer,Radikale Venstre,31
Syddjurs,1,Ebeltoft,"B_Heine_Skovbak_Iversen,_Ebeltoft","Heine Skovbak Iversen, Ebeltoft",Radikale Venstre,423
Syddjurs,1,Ebeltoft,"B_Kari_Baklund,_Femmøller","Kari Baklund, Femmøller",Radikale Venstre,50
Syddjurs,1,Ebeltoft,"B_Bjarke_Jensen,_Ådalen","Bjarke Jensen, Ådalen",Radikale Venstre,9
Syddjurs,1,Ebeltoft,"B_Søren_Høgsberg_Handberg,_Rønde","Søren Høgsberg Handberg, Rønde",Radikale Venstre,0
Syddjurs,1,Ebeltoft,"B_Victoria_Maddock,_Ebeltoft","Victoria Maddock, Ebeltoft",Radikale Venstre,10
Syddjurs,1,Ebeltoft,"B_Louise_Bové_Villadsen,_Hornslet","Louise Bové Villadsen, Hornslet",Radikale Venstre,2
Syddjurs,1,Ebeltoft,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,133
Syddjurs,1,Ebeltoft,"C_Tommy_Bøgehøj,_Ebeltoft","Tommy Bøgehøj, Ebeltoft",Det Konservative Folkeparti,738
Syddjurs,1,Ebeltoft,"C_Kasper_Kolstrup_Møller,_Kolind","Kasper Kolstrup Møller, Kolind",Det Konservative Folkeparti,23
Syddjurs,1,Ebeltoft,"C_Kirstine_Kahr_Kvorning,_Grønfeld","Kirstine Kahr Kvorning, Grønfeld",Det Konservative Folkeparti,42
Syddjurs,1,Ebeltoft,"C_Jan_Aude,_Hornslet","Jan Aude, Hornslet",Det Konservative Folkeparti,3
Syddjurs,1,Ebeltoft,"C_Kristian_Damsgaard,_Rønde","Kristian Damsgaard, Rønde",Det Konservative Folkeparti,20
Syddjurs,1,Ebeltoft,"C_Bjørn_Jensen,_Thorsager","Bjørn Jensen, Thorsager",Det Konservative Folkeparti,8
Syddjurs,1,Ebeltoft,"C_Kim_Withen,_Helgenæs","Kim Withen, Helgenæs",Det Konservative Folkeparti,58
