kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Tønder,1,Bredebro,A_Listestemmer,Listestemmer,Socialdemokratiet,26
Tønder,1,Bredebro,A_Barbara_Krarup_Hansen,Barbara Krarup Hansen,Socialdemokratiet,14
Tønder,1,Bredebro,A_Palle_Graversgaard,Palle Graversgaard,Socialdemokratiet,16
Tønder,1,Bredebro,A_Harald_Christensen,Harald Christensen,Socialdemokratiet,0
Tønder,1,Bredebro,A_Henning_Gad,Henning Gad,Socialdemokratiet,1
Tønder,1,Bredebro,A_Kim_Printz_Ringbæk,Kim Printz Ringbæk,Socialdemokratiet,1
Tønder,1,Bredebro,A_Flemming_A._Gjelstrup,Flemming A. Gjelstrup,Socialdemokratiet,211
Tønder,1,Bredebro,A_Torben_Struck,Torben Struck,Socialdemokratiet,2
Tønder,1,Bredebro,A_Alina_Racila,Alina Racila,Socialdemokratiet,5
Tønder,1,Bredebro,A_Marianne_Prasse,Marianne Prasse,Socialdemokratiet,1
Tønder,1,Bredebro,A_Jens_Nissen,Jens Nissen,Socialdemokratiet,2
Tønder,1,Bredebro,A_Susanne_Sørensen,Susanne Sørensen,Socialdemokratiet,1
Tønder,1,Bredebro,A_Kim_Hauborg,Kim Hauborg,Socialdemokratiet,2
Tønder,1,Bredebro,A_Jan_Salskov,Jan Salskov,Socialdemokratiet,1
Tønder,1,Bredebro,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,8
Tønder,1,Bredebro,"C_Anette_Abildgaard_Larsen,_Tønder","Anette Abildgaard Larsen, Tønder",Det Konservative Folkeparti,8
Tønder,1,Bredebro,"C_Vicky_Linnet_Rahbek_Andersen,_Tønd","Vicky Linnet Rahbek Andersen, Tønd",Det Konservative Folkeparti,11
Tønder,1,Bredebro,"C_Hans_Schmidt,_Tønder","Hans Schmidt, Tønder",Det Konservative Folkeparti,6
Tønder,1,Bredebro,"C_Harry_Sørensen,_Løgumkloster","Harry Sørensen, Løgumkloster",Det Konservative Folkeparti,0
Tønder,1,Bredebro,"C_Sonja_Miltersen,_Tønder","Sonja Miltersen, Tønder",Det Konservative Folkeparti,0
Tønder,1,Bredebro,"C_Robert_R._Lauritzen,_Skærbæk","Robert R. Lauritzen, Skærbæk",Det Konservative Folkeparti,1
Tønder,1,Bredebro,"C_Helle_Glass,_Tønder","Helle Glass, Tønder",Det Konservative Folkeparti,0
Tønder,1,Bredebro,"C_Patrick_Fischer,_Løgumkloster","Patrick Fischer, Løgumkloster",Det Konservative Folkeparti,0
Tønder,1,Bredebro,D_Listestemmer,Listestemmer,Nye Borgerlige,9
Tønder,1,Bredebro,D_Allan_Svendsen,Allan Svendsen,Nye Borgerlige,7
Tønder,1,Bredebro,D_Jens_Beck_Madsen,Jens Beck Madsen,Nye Borgerlige,0
Tønder,1,Bredebro,D_Charlotte_Gugolka,Charlotte Gugolka,Nye Borgerlige,4
Tønder,1,Bredebro,D_Christian_Ahmling,Christian Ahmling,Nye Borgerlige,2
Tønder,1,Bredebro,D_Betina_Pedersen,Betina Pedersen,Nye Borgerlige,1
Tønder,1,Bredebro,D_Christoffer_Bønneland,Christoffer Bønneland,Nye Borgerlige,0
Tønder,1,Bredebro,D_Sabrina_Heigren,Sabrina Heigren,Nye Borgerlige,1
Tønder,1,Bredebro,D_Anne_Marie_Buch,Anne Marie Buch,Nye Borgerlige,1
Tønder,1,Bredebro,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,3
Tønder,1,Bredebro,F_Bjarne_Lund_Henneberg,Bjarne Lund Henneberg,SF - Socialistisk Folkeparti,2
Tønder,1,Bredebro,F_Milo_Jacobsen_Gaarde,Milo Jacobsen Gaarde,SF - Socialistisk Folkeparti,3
Tønder,1,Bredebro,F_Sidsel_Lund_Henneberg,Sidsel Lund Henneberg,SF - Socialistisk Folkeparti,4
Tønder,1,Bredebro,F_Jonas_Rødgaard_Jægerlund,Jonas Rødgaard Jægerlund,SF - Socialistisk Folkeparti,7
Tønder,1,Bredebro,F_Emil_Lund_Henneberg,Emil Lund Henneberg,SF - Socialistisk Folkeparti,0
Tønder,1,Bredebro,F_Peter_Beiter_Andresen,Peter Beiter Andresen,SF - Socialistisk Folkeparti,1
Tønder,1,Bredebro,I_Listestemmer,Listestemmer,Liberal Alliance,2
Tønder,1,Bredebro,I_Jon_Bak_Lindhardt_Fabricius,Jon Bak Lindhardt Fabricius,Liberal Alliance,16
Tønder,1,Bredebro,I_Birthe_Frikke,Birthe Frikke,Liberal Alliance,0
Tønder,1,Bredebro,I_Bent_Frikke,Bent Frikke,Liberal Alliance,0
Tønder,1,Bredebro,L_Listestemmer,Listestemmer,Borgerlisten,4
Tønder,1,Bredebro,"L_Thomas_Ørting_Jørgensen,_Tønder","Thomas Ørting Jørgensen, Tønder",Borgerlisten,16
Tønder,1,Bredebro,"L_Allan_Skjøth,_Toftlund","Allan Skjøth, Toftlund",Borgerlisten,0
Tønder,1,Bredebro,"L_Anton_Schulz,_Løgumkloster","Anton Schulz, Løgumkloster",Borgerlisten,1
Tønder,1,Bredebro,"L_Betty_Bevan,_Skærbæk","Betty Bevan, Skærbæk",Borgerlisten,2
Tønder,1,Bredebro,"L_Carl_Thier_Ørting_Jørgensen,_Tønde","Carl Thier Ørting Jørgensen, Tønde",Borgerlisten,7
Tønder,1,Bredebro,"L_Clara_Lorenzen_Kjærgaard,_Brøns","Clara Lorenzen Kjærgaard, Brøns",Borgerlisten,0
Tønder,1,Bredebro,"L_Flemming_Pedersen,_Astrup","Flemming Pedersen, Astrup",Borgerlisten,0
Tønder,1,Bredebro,"L_Hans_Kristensen,_Lydersholm","Hans Kristensen, Lydersholm",Borgerlisten,0
Tønder,1,Bredebro,"L_Karen_Dalsgaard_Mikkelsen,_Toftlun","Karen Dalsgaard Mikkelsen, Toftlun",Borgerlisten,1
Tønder,1,Bredebro,"L_Kasper_Sørensen,_Tønder","Kasper Sørensen, Tønder",Borgerlisten,0
