Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aakirkebykredsen,0. Christiansø,Partiliste,Socialdemokratiet,13
Aakirkebykredsen,0. Christiansø,Lea Wermelin,Socialdemokratiet,6
Aakirkebykredsen,0. Christiansø,Steen Frandsen,Socialdemokratiet,0
Aakirkebykredsen,0. Christiansø,Lars Goldschmidt,Socialdemokratiet,0
Aakirkebykredsen,0. Christiansø,Partiliste,Radikale Venstre,3
Aakirkebykredsen,0. Christiansø,Birger Nissen,Radikale Venstre,0
Aakirkebykredsen,0. Christiansø,Niels Ebbesen,Radikale Venstre,0
Aakirkebykredsen,0. Christiansø,Gerd Lyng,Radikale Venstre,0
Aakirkebykredsen,0. Christiansø,David Christensen,Radikale Venstre,0
Aakirkebykredsen,0. Christiansø,Partiliste,Det Konservative Folkeparti,5
Aakirkebykredsen,0. Christiansø,Henriette Søvind,Det Konservative Folkeparti,0
Aakirkebykredsen,0. Christiansø,Diana-Ester B. Eriksen,Det Konservative Folkeparti,0
Aakirkebykredsen,0. Christiansø,Sebastian Larvad,Det Konservative Folkeparti,0
Aakirkebykredsen,0. Christiansø,Partiliste,Nye Borgerlige,0
Aakirkebykredsen,0. Christiansø,Jakob Buchwald Busk,Nye Borgerlige,1
Aakirkebykredsen,0. Christiansø,Partiliste,SF - Socialistisk Folkeparti,8
Aakirkebykredsen,0. Christiansø,Thomas Garfort,SF - Socialistisk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Andreas Grosbøll,SF - Socialistisk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Partiliste,Liberal Alliance,1
Aakirkebykredsen,0. Christiansø,Clara Malmqvist,Liberal Alliance,0
Aakirkebykredsen,0. Christiansø,Mette Vinqvist,Liberal Alliance,0
Aakirkebykredsen,0. Christiansø,Partiliste,KD - Kristendemokraterne,0
Aakirkebykredsen,0. Christiansø,Bjarne Hartung Kirkegaard,KD - Kristendemokraterne,1
Aakirkebykredsen,0. Christiansø,Partiliste,Moderaterne,4
Aakirkebykredsen,0. Christiansø,Stine Rosenquist,Moderaterne,0
Aakirkebykredsen,0. Christiansø,Lars Christian Funk,Moderaterne,0
Aakirkebykredsen,0. Christiansø,Partiliste,Dansk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Mette Sode Hansen,Dansk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Rene Danielsson,Dansk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Sabine Nicoline Lyngberg,Dansk Folkeparti,0
Aakirkebykredsen,0. Christiansø,Partiliste,Frie Grønne,0
Aakirkebykredsen,0. Christiansø,Stine Zink Kaasgaard,Frie Grønne,0
Aakirkebykredsen,0. Christiansø,Partiliste,"Venstre, Danmarks Liberale Parti",2
Aakirkebykredsen,0. Christiansø,Peter Juel-Jensen,"Venstre, Danmarks Liberale Parti",0
Aakirkebykredsen,0. Christiansø,Birthe Tindbæk Bredo,"Venstre, Danmarks Liberale Parti",0
Aakirkebykredsen,0. Christiansø,Julie Pauch Nymark,"Venstre, Danmarks Liberale Parti",0
Aakirkebykredsen,0. Christiansø,Partiliste,Danmarksdemokraterne,5
Aakirkebykredsen,0. Christiansø,Vibeke Brønnum,Danmarksdemokraterne,0
Aakirkebykredsen,0. Christiansø,Partiliste,Enhedslisten - De Rød-Grønne,3
Aakirkebykredsen,0. Christiansø,Laura Kofod,Enhedslisten - De Rød-Grønne,0
Aakirkebykredsen,0. Christiansø,Morten Riis,Enhedslisten - De Rød-Grønne,0
Aakirkebykredsen,0. Christiansø,Partiliste,Alternativet,4
Aakirkebykredsen,0. Christiansø,Martin Kelleher-Petersen,Alternativet,1
Aakirkebykredsen,0. Christiansø,Caroline Meyer White,Alternativet,2
Aakirkebykredsen,0. Christiansø,Charlotte Petersen,(Uden for parti),0
Aakirkebykredsen,1. Allinge,Partiliste,Socialdemokratiet,364
Aakirkebykredsen,1. Allinge,Lea Wermelin,Socialdemokratiet,300
Aakirkebykredsen,1. Allinge,Steen Frandsen,Socialdemokratiet,38
Aakirkebykredsen,1. Allinge,Lars Goldschmidt,Socialdemokratiet,20
Aakirkebykredsen,1. Allinge,Partiliste,Radikale Venstre,14
Aakirkebykredsen,1. Allinge,Birger Nissen,Radikale Venstre,0
Aakirkebykredsen,1. Allinge,Niels Ebbesen,Radikale Venstre,3
Aakirkebykredsen,1. Allinge,Gerd Lyng,Radikale Venstre,2
Aakirkebykredsen,1. Allinge,David Christensen,Radikale Venstre,2
Aakirkebykredsen,1. Allinge,Partiliste,Det Konservative Folkeparti,43
Aakirkebykredsen,1. Allinge,Henriette Søvind,Det Konservative Folkeparti,28
Aakirkebykredsen,1. Allinge,Diana-Ester B. Eriksen,Det Konservative Folkeparti,1
Aakirkebykredsen,1. Allinge,Sebastian Larvad,Det Konservative Folkeparti,4
Aakirkebykredsen,1. Allinge,Partiliste,Nye Borgerlige,32
Aakirkebykredsen,1. Allinge,Jakob Buchwald Busk,Nye Borgerlige,12
Aakirkebykredsen,1. Allinge,Partiliste,SF - Socialistisk Folkeparti,106
Aakirkebykredsen,1. Allinge,Thomas Garfort,SF - Socialistisk Folkeparti,15
Aakirkebykredsen,1. Allinge,Andreas Grosbøll,SF - Socialistisk Folkeparti,12
Aakirkebykredsen,1. Allinge,Partiliste,Liberal Alliance,63
Aakirkebykredsen,1. Allinge,Clara Malmqvist,Liberal Alliance,10
Aakirkebykredsen,1. Allinge,Mette Vinqvist,Liberal Alliance,9
Aakirkebykredsen,1. Allinge,Partiliste,KD - Kristendemokraterne,22
Aakirkebykredsen,1. Allinge,Bjarne Hartung Kirkegaard,KD - Kristendemokraterne,19
Aakirkebykredsen,1. Allinge,Partiliste,Moderaterne,108
Aakirkebykredsen,1. Allinge,Stine Rosenquist,Moderaterne,15
Aakirkebykredsen,1. Allinge,Lars Christian Funk,Moderaterne,2
Aakirkebykredsen,1. Allinge,Partiliste,Dansk Folkeparti,30
Aakirkebykredsen,1. Allinge,Mette Sode Hansen,Dansk Folkeparti,4
Aakirkebykredsen,1. Allinge,Rene Danielsson,Dansk Folkeparti,65
Aakirkebykredsen,1. Allinge,Sabine Nicoline Lyngberg,Dansk Folkeparti,3
Aakirkebykredsen,1. Allinge,Partiliste,Frie Grønne,2
Aakirkebykredsen,1. Allinge,Stine Zink Kaasgaard,Frie Grønne,1
Aakirkebykredsen,1. Allinge,Partiliste,"Venstre, Danmarks Liberale Parti",52
Aakirkebykredsen,1. Allinge,Peter Juel-Jensen,"Venstre, Danmarks Liberale Parti",317
Aakirkebykredsen,1. Allinge,Birthe Tindbæk Bredo,"Venstre, Danmarks Liberale Parti",2
Aakirkebykredsen,1. Allinge,Julie Pauch Nymark,"Venstre, Danmarks Liberale Parti",7
Aakirkebykredsen,1. Allinge,Partiliste,Danmarksdemokraterne,124
Aakirkebykredsen,1. Allinge,Vibeke Brønnum,Danmarksdemokraterne,16
Aakirkebykredsen,1. Allinge,Partiliste,Enhedslisten - De Rød-Grønne,91
Aakirkebykredsen,1. Allinge,Laura Kofod,Enhedslisten - De Rød-Grønne,31
Aakirkebykredsen,1. Allinge,Morten Riis,Enhedslisten - De Rød-Grønne,37
Aakirkebykredsen,1. Allinge,Partiliste,Alternativet,45
Aakirkebykredsen,1. Allinge,Martin Kelleher-Petersen,Alternativet,8
Aakirkebykredsen,1. Allinge,Caroline Meyer White,Alternativet,21
Aakirkebykredsen,1. Allinge,Charlotte Petersen,(Uden for parti),3
Aakirkebykredsen,2. Østermarie,Partiliste,Socialdemokratiet,278
Aakirkebykredsen,2. Østermarie,Lea Wermelin,Socialdemokratiet,164
Aakirkebykredsen,2. Østermarie,Steen Frandsen,Socialdemokratiet,29
Aakirkebykredsen,2. Østermarie,Lars Goldschmidt,Socialdemokratiet,14
Aakirkebykredsen,2. Østermarie,Partiliste,Radikale Venstre,15
Aakirkebykredsen,2. Østermarie,Birger Nissen,Radikale Venstre,4
Aakirkebykredsen,2. Østermarie,Niels Ebbesen,Radikale Venstre,1
Aakirkebykredsen,2. Østermarie,Gerd Lyng,Radikale Venstre,1
Aakirkebykredsen,2. Østermarie,David Christensen,Radikale Venstre,4
Aakirkebykredsen,2. Østermarie,Partiliste,Det Konservative Folkeparti,42
Aakirkebykredsen,2. Østermarie,Henriette Søvind,Det Konservative Folkeparti,45
Aakirkebykredsen,2. Østermarie,Diana-Ester B. Eriksen,Det Konservative Folkeparti,4
Aakirkebykredsen,2. Østermarie,Sebastian Larvad,Det Konservative Folkeparti,3
Aakirkebykredsen,2. Østermarie,Partiliste,Nye Borgerlige,34
Aakirkebykredsen,2. Østermarie,Jakob Buchwald Busk,Nye Borgerlige,8
Aakirkebykredsen,2. Østermarie,Partiliste,SF - Socialistisk Folkeparti,93
Aakirkebykredsen,2. Østermarie,Thomas Garfort,SF - Socialistisk Folkeparti,15
Aakirkebykredsen,2. Østermarie,Andreas Grosbøll,SF - Socialistisk Folkeparti,22
Aakirkebykredsen,2. Østermarie,Partiliste,Liberal Alliance,52
Aakirkebykredsen,2. Østermarie,Clara Malmqvist,Liberal Alliance,11
Aakirkebykredsen,2. Østermarie,Mette Vinqvist,Liberal Alliance,3
Aakirkebykredsen,2. Østermarie,Partiliste,KD - Kristendemokraterne,22
Aakirkebykredsen,2. Østermarie,Bjarne Hartung Kirkegaard,KD - Kristendemokraterne,24
Aakirkebykredsen,2. Østermarie,Partiliste,Moderaterne,91
Aakirkebykredsen,2. Østermarie,Stine Rosenquist,Moderaterne,16
Aakirkebykredsen,2. Østermarie,Lars Christian Funk,Moderaterne,6
Aakirkebykredsen,2. Østermarie,Partiliste,Dansk Folkeparti,30
Aakirkebykredsen,2. Østermarie,Mette Sode Hansen,Dansk Folkeparti,5
