Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Nyborgkredsen,1. Aunslevhallen,Partiliste,Socialdemokratiet,205
Nyborgkredsen,1. Aunslevhallen,Lasse Haugaard Pedersen,Socialdemokratiet,31
Nyborgkredsen,1. Aunslevhallen,Trine Bramsen,Socialdemokratiet,25
Nyborgkredsen,1. Aunslevhallen,Bjørn Brandenborg,Socialdemokratiet,9
Nyborgkredsen,1. Aunslevhallen,Sara Emil Baaring,Socialdemokratiet,16
Nyborgkredsen,1. Aunslevhallen,Mads Madsen Henriksen,Socialdemokratiet,5
Nyborgkredsen,1. Aunslevhallen,Thomas Skriver Jensen,Socialdemokratiet,12
Nyborgkredsen,1. Aunslevhallen,Dan Jørgensen,Socialdemokratiet,11
Nyborgkredsen,1. Aunslevhallen,Kim Aas,Socialdemokratiet,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Radikale Venstre,8
Nyborgkredsen,1. Aunslevhallen,Jan Werner Mathiasen,Radikale Venstre,2
Nyborgkredsen,1. Aunslevhallen,Hanne Ringgaard Møller,Radikale Venstre,1
Nyborgkredsen,1. Aunslevhallen,Rasmus Helveg Petersen,Radikale Venstre,5
Nyborgkredsen,1. Aunslevhallen,Niels Grønlund,Radikale Venstre,1
Nyborgkredsen,1. Aunslevhallen,Kim Lei-Jensen,Radikale Venstre,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Det Konservative Folkeparti,9
Nyborgkredsen,1. Aunslevhallen,Mai Mercado,Det Konservative Folkeparti,11
Nyborgkredsen,1. Aunslevhallen,Kristian Guldfeldt,Det Konservative Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Anders Johansson,Det Konservative Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,Joachim Hoffmann-Petersen,Det Konservative Folkeparti,2
Nyborgkredsen,1. Aunslevhallen,Roya Moore,Det Konservative Folkeparti,3
Nyborgkredsen,1. Aunslevhallen,Anne Fiber,Det Konservative Folkeparti,4
Nyborgkredsen,1. Aunslevhallen,Tobias Bennedsen,Det Konservative Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,John Hoppe,Det Konservative Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,Emil Holbech Hansen,Det Konservative Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Nye Borgerlige,42
Nyborgkredsen,1. Aunslevhallen,Mikkel Bjørn,Nye Borgerlige,6
Nyborgkredsen,1. Aunslevhallen,Rebecha Foged,Nye Borgerlige,0
Nyborgkredsen,1. Aunslevhallen,Jonas René Jensen,Nye Borgerlige,0
Nyborgkredsen,1. Aunslevhallen,Malte Jäger,Nye Borgerlige,4
Nyborgkredsen,1. Aunslevhallen,Melanie Jørgensen,Nye Borgerlige,0
Nyborgkredsen,1. Aunslevhallen,Henrik Tørnqvist Lauridsen,Nye Borgerlige,3
Nyborgkredsen,1. Aunslevhallen,Lars Lillebæk,Nye Borgerlige,0
Nyborgkredsen,1. Aunslevhallen,Nicolaj Holm Pedersen,Nye Borgerlige,0
Nyborgkredsen,1. Aunslevhallen,Partiliste,SF - Socialistisk Folkeparti,41
Nyborgkredsen,1. Aunslevhallen,Karsten Hønge,SF - Socialistisk Folkeparti,21
Nyborgkredsen,1. Aunslevhallen,Lise Müller,SF - Socialistisk Folkeparti,13
Nyborgkredsen,1. Aunslevhallen,Katrine Wulff,SF - Socialistisk Folkeparti,9
Nyborgkredsen,1. Aunslevhallen,Nynne Printz,SF - Socialistisk Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,Jonas Hulgaard Ammundsen,SF - Socialistisk Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,Partiliste,Liberal Alliance,50
Nyborgkredsen,1. Aunslevhallen,Katrine Daugaard,Liberal Alliance,15
Nyborgkredsen,1. Aunslevhallen,Anders Kirkeby,Liberal Alliance,2
Nyborgkredsen,1. Aunslevhallen,Silke Anna Hein,Liberal Alliance,1
Nyborgkredsen,1. Aunslevhallen,Christoffer Munk,Liberal Alliance,3
Nyborgkredsen,1. Aunslevhallen,Sinus Kremmer,Liberal Alliance,0
Nyborgkredsen,1. Aunslevhallen,Partiliste,KD - Kristendemokraterne,4
Nyborgkredsen,1. Aunslevhallen,Michelle West,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Gert Dyrn,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Jenan Jamel Bozo,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Simon Lavdal,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Maria av Skardi,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Anders Friis Knudsen,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Niclas Aarestrup,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Torben Bundgaard,KD - Kristendemokraterne,0
Nyborgkredsen,1. Aunslevhallen,Partiliste,Moderaterne,73
Nyborgkredsen,1. Aunslevhallen,Rosa Eriksen,Moderaterne,14
Nyborgkredsen,1. Aunslevhallen,Carsten Damgaard Møller,Moderaterne,2
Nyborgkredsen,1. Aunslevhallen,Kenneth Bjerg Andersen,Moderaterne,4
Nyborgkredsen,1. Aunslevhallen,H.C. Wulff,Moderaterne,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Dansk Folkeparti,34
Nyborgkredsen,1. Aunslevhallen,Frank Sørensen,Dansk Folkeparti,5
Nyborgkredsen,1. Aunslevhallen,Alex Ahrendtsen,Dansk Folkeparti,8
Nyborgkredsen,1. Aunslevhallen,Lars Kolling,Dansk Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Cheanne Nielsen,Dansk Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Signe Vedersø Keldorff,Dansk Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Charlotte Møller-Madsen,Dansk Folkeparti,0
Nyborgkredsen,1. Aunslevhallen,Dorthe Ullemose,Dansk Folkeparti,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Frie Grønne,0
Nyborgkredsen,1. Aunslevhallen,Nishan Ganesh,Frie Grønne,3
Nyborgkredsen,1. Aunslevhallen,Nicholas Nyrop Vinthen,Frie Grønne,0
Nyborgkredsen,1. Aunslevhallen,Partiliste,"Venstre, Danmarks Liberale Parti",68
Nyborgkredsen,1. Aunslevhallen,Bo Sandberg,"Venstre, Danmarks Liberale Parti",3
Nyborgkredsen,1. Aunslevhallen,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",20
Nyborgkredsen,1. Aunslevhallen,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",58
Nyborgkredsen,1. Aunslevhallen,Nikolaj Leed Henriksen,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,1. Aunslevhallen,Araz Khan,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,1. Aunslevhallen,Thomas Kristoffersen,"Venstre, Danmarks Liberale Parti",1
Nyborgkredsen,1. Aunslevhallen,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",12
Nyborgkredsen,1. Aunslevhallen,Pia Offer Madsen,"Venstre, Danmarks Liberale Parti",0
Nyborgkredsen,1. Aunslevhallen,Partiliste,Danmarksdemokraterne,124
Nyborgkredsen,1. Aunslevhallen,Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,11
Nyborgkredsen,1. Aunslevhallen,Bent Juul Sørensen,Danmarksdemokraterne,4
Nyborgkredsen,1. Aunslevhallen,Nikolaj Vang,Danmarksdemokraterne,3
Nyborgkredsen,1. Aunslevhallen,Martin Jason Adelgaard,Danmarksdemokraterne,6
Nyborgkredsen,1. Aunslevhallen,Vivian Lindberg Larsen,Danmarksdemokraterne,5
Nyborgkredsen,1. Aunslevhallen,Partiliste,Enhedslisten - De Rød-Grønne,24
Nyborgkredsen,1. Aunslevhallen,Torsten Ringgaard,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,1. Aunslevhallen,Victoria Velásquez,Enhedslisten - De Rød-Grønne,6
Nyborgkredsen,1. Aunslevhallen,Reza Javid,Enhedslisten - De Rød-Grønne,2
Nyborgkredsen,1. Aunslevhallen,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,1
Nyborgkredsen,1. Aunslevhallen,Camilla Dalum Jensen,Enhedslisten - De Rød-Grønne,1
Nyborgkredsen,1. Aunslevhallen,Victoria Bøgh Salo,Enhedslisten - De Rød-Grønne,0
Nyborgkredsen,1. Aunslevhallen,Niels Bjarne Lund,Enhedslisten - De Rød-Grønne,1
Nyborgkredsen,1. Aunslevhallen,Partiliste,Alternativet,19
Nyborgkredsen,1. Aunslevhallen,Marianne Lassen,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Simon Nyborg Jensen,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Anna Astrid Høy-Nielsen,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Kasper Krebs,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Linda Frølund Hansen,Alternativet,2
Nyborgkredsen,1. Aunslevhallen,Martin Kjærulff,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Bodil Marie Helbo,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Henrik Boye,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Mette Rahbek,Alternativet,0
Nyborgkredsen,1. Aunslevhallen,Ole Dupont Kofod,Alternativet,0
