Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Lyngbykredsen,1. Lyngby Midt,Partiliste,Socialdemokratiet,545
Lyngbykredsen,1. Lyngby Midt,Maria Gudme,Socialdemokratiet,32
Lyngbykredsen,1. Lyngby Midt,Jeppe Bruus,Socialdemokratiet,45
Lyngbykredsen,1. Lyngby Midt,Morten Bødskov,Socialdemokratiet,50
Lyngbykredsen,1. Lyngby Midt,Maria Durhuus,Socialdemokratiet,7
Lyngbykredsen,1. Lyngby Midt,Kasper Sand Kjær,Socialdemokratiet,8
Lyngbykredsen,1. Lyngby Midt,Sebastian Schwartz,Socialdemokratiet,6
Lyngbykredsen,1. Lyngby Midt,Mattias Tesfaye,Socialdemokratiet,108
Lyngbykredsen,1. Lyngby Midt,Gunvor Wibroe,Socialdemokratiet,9
Lyngbykredsen,1. Lyngby Midt,Partiliste,Radikale Venstre,95
Lyngbykredsen,1. Lyngby Midt,Stinus Lindgreen,Radikale Venstre,81
Lyngbykredsen,1. Lyngby Midt,Sofie Carsten Nielsen,Radikale Venstre,37
Lyngbykredsen,1. Lyngby Midt,Kashif Ahmad,Radikale Venstre,10
Lyngbykredsen,1. Lyngby Midt,Christina Rittig Falkberg,Radikale Venstre,31
Lyngbykredsen,1. Lyngby Midt,Brian Køster,Radikale Venstre,7
Lyngbykredsen,1. Lyngby Midt,Abbas Razvi,Radikale Venstre,2
Lyngbykredsen,1. Lyngby Midt,Esat Sentürk,Radikale Venstre,1
Lyngbykredsen,1. Lyngby Midt,Hediye Temiz,Radikale Venstre,3
Lyngbykredsen,1. Lyngby Midt,Partiliste,Det Konservative Folkeparti,186
Lyngbykredsen,1. Lyngby Midt,Britt Bager,Det Konservative Folkeparti,73
Lyngbykredsen,1. Lyngby Midt,Hanne Bjørn,Det Konservative Folkeparti,10
Lyngbykredsen,1. Lyngby Midt,Magnus Von Dreiager,Det Konservative Folkeparti,21
Lyngbykredsen,1. Lyngby Midt,Tina Cartey Hansen,Det Konservative Folkeparti,6
Lyngbykredsen,1. Lyngby Midt,Rasmus Jarlov,Det Konservative Folkeparti,109
Lyngbykredsen,1. Lyngby Midt,Michael R. Rugaard,Det Konservative Folkeparti,0
Lyngbykredsen,1. Lyngby Midt,Merete Scheelsbeck,Det Konservative Folkeparti,4
Lyngbykredsen,1. Lyngby Midt,Henrik Sørensen,Det Konservative Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,Nye Borgerlige,64
Lyngbykredsen,1. Lyngby Midt,Ulla Kokfelt,Nye Borgerlige,11
Lyngbykredsen,1. Lyngby Midt,Claus Bøgh Svenningsen,Nye Borgerlige,21
Lyngbykredsen,1. Lyngby Midt,Thomas Bentsen,Nye Borgerlige,1
Lyngbykredsen,1. Lyngby Midt,Alberte Rasmussen,Nye Borgerlige,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,SF - Socialistisk Folkeparti,214
Lyngbykredsen,1. Lyngby Midt,Serdal Benli,SF - Socialistisk Folkeparti,5
Lyngbykredsen,1. Lyngby Midt,Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,11
Lyngbykredsen,1. Lyngby Midt,Sigurd Agersnap,SF - Socialistisk Folkeparti,124
Lyngbykredsen,1. Lyngby Midt,Rasmus Henriksen,SF - Socialistisk Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Sofie F. Villadsen,SF - Socialistisk Folkeparti,19
Lyngbykredsen,1. Lyngby Midt,Niels Haxthausen,SF - Socialistisk Folkeparti,25
Lyngbykredsen,1. Lyngby Midt,Troels Stru Schmidt,SF - Socialistisk Folkeparti,4
Lyngbykredsen,1. Lyngby Midt,Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,0
Lyngbykredsen,1. Lyngby Midt,Partiliste,Liberal Alliance,380
Lyngbykredsen,1. Lyngby Midt,Steffen Larsen,Liberal Alliance,64
Lyngbykredsen,1. Lyngby Midt,Simon Karim Helledie,Liberal Alliance,9
Lyngbykredsen,1. Lyngby Midt,Peter Loft,Liberal Alliance,32
Lyngbykredsen,1. Lyngby Midt,Søren Schmidt-Andersen,Liberal Alliance,3
Lyngbykredsen,1. Lyngby Midt,David Ibsen,Liberal Alliance,2
Lyngbykredsen,1. Lyngby Midt,Jørgen Juhl,Liberal Alliance,2
Lyngbykredsen,1. Lyngby Midt,Louise Siv Ebbesen,Liberal Alliance,22
Lyngbykredsen,1. Lyngby Midt,Danny Malkowski,Liberal Alliance,4
Lyngbykredsen,1. Lyngby Midt,Partiliste,KD - Kristendemokraterne,3
Lyngbykredsen,1. Lyngby Midt,Elif Demir Gökce,KD - Kristendemokraterne,1
Lyngbykredsen,1. Lyngby Midt,Bolette von Westphal,KD - Kristendemokraterne,0
Lyngbykredsen,1. Lyngby Midt,Esben Frette Johnsen,KD - Kristendemokraterne,3
Lyngbykredsen,1. Lyngby Midt,Johnnie V. Gregersen,KD - Kristendemokraterne,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,Moderaterne,407
Lyngbykredsen,1. Lyngby Midt,Monika Rubin,Moderaterne,55
Lyngbykredsen,1. Lyngby Midt,Lars Arne Christensen,Moderaterne,41
Lyngbykredsen,1. Lyngby Midt,Rasmus Lund-Nielsen,Moderaterne,43
Lyngbykredsen,1. Lyngby Midt,Ammar Ali,Moderaterne,12
Lyngbykredsen,1. Lyngby Midt,Rasmus Skindbjerg Hinrichs,Moderaterne,3
Lyngbykredsen,1. Lyngby Midt,Anastasia Valentin Rasmussen,Moderaterne,14
Lyngbykredsen,1. Lyngby Midt,Partiliste,Dansk Folkeparti,32
Lyngbykredsen,1. Lyngby Midt,Michael Pihl,Dansk Folkeparti,2
Lyngbykredsen,1. Lyngby Midt,Rita Rahbek Russell,Dansk Folkeparti,0
Lyngbykredsen,1. Lyngby Midt,Michael Jensen,Dansk Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Lars Prier,Dansk Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Morten Messerschmidt,Dansk Folkeparti,53
Lyngbykredsen,1. Lyngby Midt,Mikkel Dencker,Dansk Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Cecilie Winther Kristensen,Dansk Folkeparti,4
Lyngbykredsen,1. Lyngby Midt,Susanne Damsgaard,Dansk Folkeparti,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,Frie Grønne,21
Lyngbykredsen,1. Lyngby Midt,Aqeel Akhtar,Frie Grønne,3
Lyngbykredsen,1. Lyngby Midt,Asham Agha Nadeem,Frie Grønne,0
Lyngbykredsen,1. Lyngby Midt,Nour El Zeftawy,Frie Grønne,1
Lyngbykredsen,1. Lyngby Midt,Sabrina Raaschou Brammer,Frie Grønne,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,"Venstre, Danmarks Liberale Parti",335
Lyngbykredsen,1. Lyngby Midt,Casper Pedersen,"Venstre, Danmarks Liberale Parti",17
Lyngbykredsen,1. Lyngby Midt,Karen Ellemann,"Venstre, Danmarks Liberale Parti",137
Lyngbykredsen,1. Lyngby Midt,Anders Bo Larsen,"Venstre, Danmarks Liberale Parti",4
Lyngbykredsen,1. Lyngby Midt,Lennart Hartmann Nielsen,"Venstre, Danmarks Liberale Parti",2
Lyngbykredsen,1. Lyngby Midt,Mathias Rinaldo,"Venstre, Danmarks Liberale Parti",1
Lyngbykredsen,1. Lyngby Midt,Astrid Søborg,"Venstre, Danmarks Liberale Parti",26
Lyngbykredsen,1. Lyngby Midt,Kim Valentin,"Venstre, Danmarks Liberale Parti",30
Lyngbykredsen,1. Lyngby Midt,Ricki Vejsmose,"Venstre, Danmarks Liberale Parti",3
Lyngbykredsen,1. Lyngby Midt,Partiliste,Danmarksdemokraterne,77
Lyngbykredsen,1. Lyngby Midt,Michael Rosenmark,Danmarksdemokraterne,1
Lyngbykredsen,1. Lyngby Midt,Charlotte Munch,Danmarksdemokraterne,3
Lyngbykredsen,1. Lyngby Midt,Mette Qwinten,Danmarksdemokraterne,1
Lyngbykredsen,1. Lyngby Midt,Partiliste,Enhedslisten - De Rød-Grønne,159
