Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Indre Bykredsen,11. 3. Indre By,Partiliste,Socialdemokratiet,772
Indre Bykredsen,11. 3. Indre By,Nikoline Prehn,Socialdemokratiet,42
Indre Bykredsen,11. 3. Indre By,Yildiz Akdogan,Socialdemokratiet,53
Indre Bykredsen,11. 3. Indre By,Ida Auken,Socialdemokratiet,187
Indre Bykredsen,11. 3. Indre By,Halima El Abassi,Socialdemokratiet,6
Indre Bykredsen,11. 3. Indre By,Jarl Feyling,Socialdemokratiet,3
Indre Bykredsen,11. 3. Indre By,Peter Hummelgaard,Socialdemokratiet,102
Indre Bykredsen,11. 3. Indre By,Lone Larsen,Socialdemokratiet,2
Indre Bykredsen,11. 3. Indre By,Jørgen Mørup Pedersen,Socialdemokratiet,0
Indre Bykredsen,11. 3. Indre By,Lars Aslan Rasmussen,Socialdemokratiet,40
Indre Bykredsen,11. 3. Indre By,Mette Reissmann,Socialdemokratiet,40
Indre Bykredsen,11. 3. Indre By,Pernille Rosenkrantz-Theil,Socialdemokratiet,82
Indre Bykredsen,11. 3. Indre By,Lars Werge,Socialdemokratiet,6
Indre Bykredsen,11. 3. Indre By,Partiliste,Radikale Venstre,510
Indre Bykredsen,11. 3. Indre By,Clara Halvorsen,Radikale Venstre,62
Indre Bykredsen,11. 3. Indre By,Samira Nawa,Radikale Venstre,206
Indre Bykredsen,11. 3. Indre By,Ruben Kidde,Radikale Venstre,72
Indre Bykredsen,11. 3. Indre By,Klaus Bondam,Radikale Venstre,46
Indre Bykredsen,11. 3. Indre By,Thomas Rohden,Radikale Venstre,117
Indre Bykredsen,11. 3. Indre By,Jes Vissing Tiedemann,Radikale Venstre,8
Indre Bykredsen,11. 3. Indre By,Marie Kampmann,Radikale Venstre,19
Indre Bykredsen,11. 3. Indre By,Emilie Normann,Radikale Venstre,7
Indre Bykredsen,11. 3. Indre By,Carolina Magdalene Maier,Radikale Venstre,30
Indre Bykredsen,11. 3. Indre By,Michael Rachlin,Radikale Venstre,10
Indre Bykredsen,11. 3. Indre By,Peter Zinckernagel,Radikale Venstre,6
Indre Bykredsen,11. 3. Indre By,Anders Højsted,Radikale Venstre,0
Indre Bykredsen,11. 3. Indre By,Partiliste,Det Konservative Folkeparti,363
Indre Bykredsen,11. 3. Indre By,Peter Stakemann,Det Konservative Folkeparti,17
Indre Bykredsen,11. 3. Indre By,Katarina Ammitzbøll,Det Konservative Folkeparti,50
Indre Bykredsen,11. 3. Indre By,Allan Beier,Det Konservative Folkeparti,3
Indre Bykredsen,11. 3. Indre By,Helle Bonnesen,Det Konservative Folkeparti,83
Indre Bykredsen,11. 3. Indre By,Nikolaj Bøgh,Det Konservative Folkeparti,28
Indre Bykredsen,11. 3. Indre By,Rico Djernis,Det Konservative Folkeparti,4
Indre Bykredsen,11. 3. Indre By,Helle Jønch,Det Konservative Folkeparti,2
Indre Bykredsen,11. 3. Indre By,Anders Havelund Krøyer,Det Konservative Folkeparti,19
Indre Bykredsen,11. 3. Indre By,Nicola Emily Larsen,Det Konservative Folkeparti,13
Indre Bykredsen,11. 3. Indre By,Laura Lindahl,Det Konservative Folkeparti,19
Indre Bykredsen,11. 3. Indre By,Martin Wood Pedersen,Det Konservative Folkeparti,8
Indre Bykredsen,11. 3. Indre By,Casper Øhlers,Det Konservative Folkeparti,24
Indre Bykredsen,11. 3. Indre By,Partiliste,Nye Borgerlige,103
Indre Bykredsen,11. 3. Indre By,Niels Peder Ravn,Nye Borgerlige,14
Indre Bykredsen,11. 3. Indre By,Henrik Ræder Clausen,Nye Borgerlige,1
Indre Bykredsen,11. 3. Indre By,Daniel Pinderup,Nye Borgerlige,2
Indre Bykredsen,11. 3. Indre By,Ketil Wathne Rasmussen,Nye Borgerlige,1
Indre Bykredsen,11. 3. Indre By,Denise Rostgaard,Nye Borgerlige,11
Indre Bykredsen,11. 3. Indre By,Partiliste,SF - Socialistisk Folkeparti,510
Indre Bykredsen,11. 3. Indre By,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,399
Indre Bykredsen,11. 3. Indre By,Lisbeth Bech-Nielsen,SF - Socialistisk Folkeparti,70
Indre Bykredsen,11. 3. Indre By,Carl Valentin,SF - Socialistisk Folkeparti,41
Indre Bykredsen,11. 3. Indre By,Halime Oguz,SF - Socialistisk Folkeparti,30
Indre Bykredsen,11. 3. Indre By,Balder Mørk Andersen,SF - Socialistisk Folkeparti,20
Indre Bykredsen,11. 3. Indre By,Andreas Bæk,SF - Socialistisk Folkeparti,12
Indre Bykredsen,11. 3. Indre By,Melissa Skovgaard Jensen,SF - Socialistisk Folkeparti,3
Indre Bykredsen,11. 3. Indre By,Line Petersen,SF - Socialistisk Folkeparti,4
Indre Bykredsen,11. 3. Indre By,Klaus Mygind,SF - Socialistisk Folkeparti,7
Indre Bykredsen,11. 3. Indre By,Peder Holk Svendsen,SF - Socialistisk Folkeparti,5
Indre Bykredsen,11. 3. Indre By,Sadek Al-Amood,SF - Socialistisk Folkeparti,9
Indre Bykredsen,11. 3. Indre By,Cecilie Louise Balbay Holdt,SF - Socialistisk Folkeparti,16
Indre Bykredsen,11. 3. Indre By,Partiliste,Liberal Alliance,989
Indre Bykredsen,11. 3. Indre By,Ole Birk Olesen,Liberal Alliance,212
Indre Bykredsen,11. 3. Indre By,Charlotte Nellemann,Liberal Alliance,28
Indre Bykredsen,11. 3. Indre By,Alexander Ryle,Liberal Alliance,63
Indre Bykredsen,11. 3. Indre By,Hira Nadeem,Liberal Alliance,11
Indre Bykredsen,11. 3. Indre By,Martin Sibast Laugesen,Liberal Alliance,7
Indre Bykredsen,11. 3. Indre By,Joanne Bywater,Liberal Alliance,10
Indre Bykredsen,11. 3. Indre By,Per Nørgaard Andersen,Liberal Alliance,4
Indre Bykredsen,11. 3. Indre By,Claus Willén,Liberal Alliance,2
Indre Bykredsen,11. 3. Indre By,Christian Riegels Hjorth,Liberal Alliance,5
Indre Bykredsen,11. 3. Indre By,Partiliste,KD - Kristendemokraterne,15
Indre Bykredsen,11. 3. Indre By,Jesper Housgaard,KD - Kristendemokraterne,1
Indre Bykredsen,11. 3. Indre By,Jacob Bang,KD - Kristendemokraterne,0
Indre Bykredsen,11. 3. Indre By,Tina Mørk,KD - Kristendemokraterne,0
Indre Bykredsen,11. 3. Indre By,Nanna Bock,KD - Kristendemokraterne,0
Indre Bykredsen,11. 3. Indre By,Gunnar Bjørn Thomsen,KD - Kristendemokraterne,0
Indre Bykredsen,11. 3. Indre By,Partiliste,Moderaterne,969
Indre Bykredsen,11. 3. Indre By,Jon Stephensen,Moderaterne,59
Indre Bykredsen,11. 3. Indre By,Lean Milo,Moderaterne,43
Indre Bykredsen,11. 3. Indre By,Nanna W. Gotfredsen,Moderaterne,60
Indre Bykredsen,11. 3. Indre By,Louise Davidsen,Moderaterne,17
Indre Bykredsen,11. 3. Indre By,Marina Andersen,Moderaterne,15
Indre Bykredsen,11. 3. Indre By,Johan Kahl,Moderaterne,18
Indre Bykredsen,11. 3. Indre By,Lars Philipsen Prahm,Moderaterne,9
Indre Bykredsen,11. 3. Indre By,Jørgen Kjøller,Moderaterne,4
Indre Bykredsen,11. 3. Indre By,Ellen Emilie,Moderaterne,36
Indre Bykredsen,11. 3. Indre By,Partiliste,Dansk Folkeparti,73
Indre Bykredsen,11. 3. Indre By,Paw Karslund,Dansk Folkeparti,1
Indre Bykredsen,11. 3. Indre By,Brian Bruun,Dansk Folkeparti,1
Indre Bykredsen,11. 3. Indre By,Kenneth Kristensen Berth,Dansk Folkeparti,8
Indre Bykredsen,11. 3. Indre By,John Bo Hansen,Dansk Folkeparti,0
Indre Bykredsen,11. 3. Indre By,Helene Brix,Dansk Folkeparti,2
Indre Bykredsen,11. 3. Indre By,Jannie Bøgh,Dansk Folkeparti,4
Indre Bykredsen,11. 3. Indre By,Partiliste,Frie Grønne,59
Indre Bykredsen,11. 3. Indre By,Sikandar Siddique,Frie Grønne,54
Indre Bykredsen,11. 3. Indre By,Elise Bjerkrheim,Frie Grønne,4
Indre Bykredsen,11. 3. Indre By,Rajesh Holmen,Frie Grønne,7
Indre Bykredsen,11. 3. Indre By,Rashid Ali,Frie Grønne,4
Indre Bykredsen,11. 3. Indre By,Sazan Garmiyani,Frie Grønne,5
Indre Bykredsen,11. 3. Indre By,Daniel Tomicic,Frie Grønne,8
Indre Bykredsen,11. 3. Indre By,Elena Bjerregaard Ryan,Frie Grønne,0
Indre Bykredsen,11. 3. Indre By,Iben Kirstine Parmann,Frie Grønne,3
Indre Bykredsen,11. 3. Indre By,Partiliste,"Venstre, Danmarks Liberale Parti",566
Indre Bykredsen,11. 3. Indre By,Bo Sandroos,"Venstre, Danmarks Liberale Parti",11
Indre Bykredsen,11. 3. Indre By,René Bredal,"Venstre, Danmarks Liberale Parti",0
Indre Bykredsen,11. 3. Indre By,Claus Buch,"Venstre, Danmarks Liberale Parti",9
Indre Bykredsen,11. 3. Indre By,Anders Fausbøll,"Venstre, Danmarks Liberale Parti",26
Indre Bykredsen,11. 3. Indre By,Martin Geertsen,"Venstre, Danmarks Liberale Parti",45
Indre Bykredsen,11. 3. Indre By,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",99
Indre Bykredsen,11. 3. Indre By,Michael Lange,"Venstre, Danmarks Liberale Parti",11
Indre Bykredsen,11. 3. Indre By,Anne Rasmussen,"Venstre, Danmarks Liberale Parti",11
Indre Bykredsen,11. 3. Indre By,Alexandra Sasha,"Venstre, Danmarks Liberale Parti",75
Indre Bykredsen,11. 3. Indre By,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",0
Indre Bykredsen,11. 3. Indre By,Linea Søgaard-Lidell,"Venstre, Danmarks Liberale Parti",109
Indre Bykredsen,11. 3. Indre By,Søren Sørensen,"Venstre, Danmarks Liberale Parti",1
Indre Bykredsen,11. 3. Indre By,Partiliste,Danmarksdemokraterne,76
Indre Bykredsen,11. 3. Indre By,Claus Gisselmann,Danmarksdemokraterne,4
Indre Bykredsen,11. 3. Indre By,Therese Skaarup,Danmarksdemokraterne,10
Indre Bykredsen,11. 3. Indre By,Partiliste,Enhedslisten - De Rød-Grønne,777
Indre Bykredsen,11. 3. Indre By,Jette Gottlieb,Enhedslisten - De Rød-Grønne,42
Indre Bykredsen,11. 3. Indre By,Pelle Dragsted,Enhedslisten - De Rød-Grønne,426
Indre Bykredsen,11. 3. Indre By,Rosa Lund,Enhedslisten - De Rød-Grønne,242
Indre Bykredsen,11. 3. Indre By,Leila Stockmarr,Enhedslisten - De Rød-Grønne,80
Indre Bykredsen,11. 3. Indre By,Ibrahim Benli,Enhedslisten - De Rød-Grønne,25
Indre Bykredsen,11. 3. Indre By,Louis Jacobsen,Enhedslisten - De Rød-Grønne,12
Indre Bykredsen,11. 3. Indre By,Anna Berg,Enhedslisten - De Rød-Grønne,7
Indre Bykredsen,11. 3. Indre By,Clara Turms,Enhedslisten - De Rød-Grønne,76
Indre Bykredsen,11. 3. Indre By,Emil Samaras,Enhedslisten - De Rød-Grønne,8
Indre Bykredsen,11. 3. Indre By,Mette Bloch Hansen,Enhedslisten - De Rød-Grønne,2
Indre Bykredsen,11. 3. Indre By,David Rønne,Enhedslisten - De Rød-Grønne,2
Indre Bykredsen,11. 3. Indre By,Dorthe Hecht,Enhedslisten - De Rød-Grønne,2
Indre Bykredsen,11. 3. Indre By,Partiliste,Alternativet,518
Indre Bykredsen,11. 3. Indre By,Franciska Rosenkilde,Alternativet,499
Indre Bykredsen,11. 3. Indre By,Troels Chr. Jakobsen,Alternativet,14
Indre Bykredsen,11. 3. Indre By,Christina Olumeko,Alternativet,119
Indre Bykredsen,11. 3. Indre By,Jonathan Ries,Alternativet,7
Indre Bykredsen,11. 3. Indre By,Birgitte Kehler Holst,Alternativet,17
Indre Bykredsen,11. 3. Indre By,Jan Kristoffersen,Alternativet,27
Indre Bykredsen,11. 3. Indre By,Mette Bram,Alternativet,16
Indre Bykredsen,11. 3. Indre By,Noah Sturis,Alternativet,18
Indre Bykredsen,11. 3. Indre By,Annika Martins,Alternativet,4
Indre Bykredsen,11. 3. Indre By,Lars Corvinius Olesen,Alternativet,12
Indre Bykredsen,11. 3. Indre By,Jan Schumann,Alternativet,1
Indre Bykredsen,11. 3. Indre By,Kim Hjerrild,Alternativet,8
Indre Bykredsen,11. 3. Indre By,Carsten Olesen,Alternativet,6
Indre Bykredsen,11. 3. Indre By,Flemming Blicher,(Uden for parti),10
Indre Bykredsen,11. 3. Indre By,Tom Gillesberg,(Uden for parti),9
Indre Bykredsen,12. 3. Nord,Partiliste,Socialdemokratiet,461
Indre Bykredsen,12. 3. Nord,Nikoline Prehn,Socialdemokratiet,19
Indre Bykredsen,12. 3. Nord,Yildiz Akdogan,Socialdemokratiet,29
Indre Bykredsen,12. 3. Nord,Ida Auken,Socialdemokratiet,140
Indre Bykredsen,12. 3. Nord,Halima El Abassi,Socialdemokratiet,3
Indre Bykredsen,12. 3. Nord,Jarl Feyling,Socialdemokratiet,1
Indre Bykredsen,12. 3. Nord,Peter Hummelgaard,Socialdemokratiet,46
Indre Bykredsen,12. 3. Nord,Lone Larsen,Socialdemokratiet,3
Indre Bykredsen,12. 3. Nord,Jørgen Mørup Pedersen,Socialdemokratiet,1
Indre Bykredsen,12. 3. Nord,Lars Aslan Rasmussen,Socialdemokratiet,18
Indre Bykredsen,12. 3. Nord,Mette Reissmann,Socialdemokratiet,30
Indre Bykredsen,12. 3. Nord,Pernille Rosenkrantz-Theil,Socialdemokratiet,62
Indre Bykredsen,12. 3. Nord,Lars Werge,Socialdemokratiet,2
Indre Bykredsen,12. 3. Nord,Partiliste,Radikale Venstre,249
Indre Bykredsen,12. 3. Nord,Clara Halvorsen,Radikale Venstre,24
Indre Bykredsen,12. 3. Nord,Samira Nawa,Radikale Venstre,92
Indre Bykredsen,12. 3. Nord,Ruben Kidde,Radikale Venstre,47
Indre Bykredsen,12. 3. Nord,Klaus Bondam,Radikale Venstre,16
