Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aalborg Vestkredsen,14. Vesterkærets Skole,Partiliste,Socialdemokratiet,275
Aalborg Vestkredsen,14. Vesterkærets Skole,Morten Ryom,Socialdemokratiet,47
Aalborg Vestkredsen,14. Vesterkærets Skole,Mette Frederiksen,Socialdemokratiet,542
Aalborg Vestkredsen,14. Vesterkærets Skole,Ane Halsboe-Jørgensen,Socialdemokratiet,36
Aalborg Vestkredsen,14. Vesterkærets Skole,Per Husted,Socialdemokratiet,4
Aalborg Vestkredsen,14. Vesterkærets Skole,Morten Klessen,Socialdemokratiet,16
Aalborg Vestkredsen,14. Vesterkærets Skole,Simon Kollerup,Socialdemokratiet,5
Aalborg Vestkredsen,14. Vesterkærets Skole,Bjarne Laustsen,Socialdemokratiet,27
Aalborg Vestkredsen,14. Vesterkærets Skole,Flemming Møller Mortensen,Socialdemokratiet,51
Aalborg Vestkredsen,14. Vesterkærets Skole,Rasmus Prehn,Socialdemokratiet,11
Aalborg Vestkredsen,14. Vesterkærets Skole,Partiliste,Radikale Venstre,48
Aalborg Vestkredsen,14. Vesterkærets Skole,Julius Bjørn Honoré,Radikale Venstre,5
Aalborg Vestkredsen,14. Vesterkærets Skole,Daniel Nyboe Andersen,Radikale Venstre,28
Aalborg Vestkredsen,14. Vesterkærets Skole,Bjarne Axelsen,Radikale Venstre,4
Aalborg Vestkredsen,14. Vesterkærets Skole,Christian Friis Bach,Radikale Venstre,11
Aalborg Vestkredsen,14. Vesterkærets Skole,Charlotte Amdi Burgess,Radikale Venstre,5
Aalborg Vestkredsen,14. Vesterkærets Skole,Pia Elberg,Radikale Venstre,0
Aalborg Vestkredsen,14. Vesterkærets Skole,Steffen Holme Helledie,Radikale Venstre,6
Aalborg Vestkredsen,14. Vesterkærets Skole,Dorthe Kerschus,Radikale Venstre,3
Aalborg Vestkredsen,14. Vesterkærets Skole,Partiliste,Det Konservative Folkeparti,42
Aalborg Vestkredsen,14. Vesterkærets Skole,Jakob Axel Nielsen,Det Konservative Folkeparti,25
Aalborg Vestkredsen,14. Vesterkærets Skole,Lene Burchardt,Det Konservative Folkeparti,8
Aalborg Vestkredsen,14. Vesterkærets Skole,Mikkel Højsleth,Det Konservative Folkeparti,3
Aalborg Vestkredsen,14. Vesterkærets Skole,Lene Brix Kjelgaard Jensen,Det Konservative Folkeparti,1
Aalborg Vestkredsen,14. Vesterkærets Skole,Mette Jensen,Det Konservative Folkeparti,1
Aalborg Vestkredsen,14. Vesterkærets Skole,Jens-Henrik Kirk,Det Konservative Folkeparti,7
Aalborg Vestkredsen,14. Vesterkærets Skole,Per Larsen,Det Konservative Folkeparti,3
Aalborg Vestkredsen,14. Vesterkærets Skole,Alexander Klitgaard,Det Konservative Folkeparti,4
Aalborg Vestkredsen,14. Vesterkærets Skole,Karsten Skov Petersen,Det Konservative Folkeparti,1
Aalborg Vestkredsen,14. Vesterkærets Skole,Mia Tang,Det Konservative Folkeparti,1
Aalborg Vestkredsen,14. Vesterkærets Skole,Partiliste,Nye Borgerlige,45
Aalborg Vestkredsen,14. Vesterkærets Skole,Kim Edberg Andersen,Nye Borgerlige,16
Aalborg Vestkredsen,14. Vesterkærets Skole,John Bjerg,Nye Borgerlige,0
Aalborg Vestkredsen,14. Vesterkærets Skole,Brian Nielsen,Nye Borgerlige,0
