Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Himmerlandkredsen,1. Støvring,Partiliste,Socialdemokratiet,424
Himmerlandkredsen,1. Støvring,Flemming Møller Mortensen,Socialdemokratiet,301
Himmerlandkredsen,1. Støvring,Mette Frederiksen,Socialdemokratiet,862
Himmerlandkredsen,1. Støvring,Ane Halsboe-Jørgensen,Socialdemokratiet,31
Himmerlandkredsen,1. Støvring,Per Husted,Socialdemokratiet,6
Himmerlandkredsen,1. Støvring,Morten Klessen,Socialdemokratiet,13
Himmerlandkredsen,1. Støvring,Simon Kollerup,Socialdemokratiet,15
Himmerlandkredsen,1. Støvring,Bjarne Laustsen,Socialdemokratiet,222
Himmerlandkredsen,1. Støvring,Rasmus Prehn,Socialdemokratiet,13
Himmerlandkredsen,1. Støvring,Morten Ryom,Socialdemokratiet,22
Himmerlandkredsen,1. Støvring,Partiliste,Radikale Venstre,88
Himmerlandkredsen,1. Støvring,Pia Elberg,Radikale Venstre,18
Himmerlandkredsen,1. Støvring,Daniel Nyboe Andersen,Radikale Venstre,19
Himmerlandkredsen,1. Støvring,Bjarne Axelsen,Radikale Venstre,4
Himmerlandkredsen,1. Støvring,Christian Friis Bach,Radikale Venstre,27
Himmerlandkredsen,1. Støvring,Charlotte Amdi Burgess,Radikale Venstre,2
Himmerlandkredsen,1. Støvring,Steffen Holme Helledie,Radikale Venstre,7
Himmerlandkredsen,1. Støvring,Julius Bjørn Honoré,Radikale Venstre,10
Himmerlandkredsen,1. Støvring,Dorthe Kerschus,Radikale Venstre,7
Himmerlandkredsen,1. Støvring,Partiliste,Det Konservative Folkeparti,148
Himmerlandkredsen,1. Støvring,Mikkel Højsleth,Det Konservative Folkeparti,154
Himmerlandkredsen,1. Støvring,Lene Burchardt,Det Konservative Folkeparti,42
Himmerlandkredsen,1. Støvring,Lene Brix Kjelgaard Jensen,Det Konservative Folkeparti,1
Himmerlandkredsen,1. Støvring,Mette Jensen,Det Konservative Folkeparti,2
Himmerlandkredsen,1. Støvring,Jens-Henrik Kirk,Det Konservative Folkeparti,11
Himmerlandkredsen,1. Støvring,Per Larsen,Det Konservative Folkeparti,28
Himmerlandkredsen,1. Støvring,Alexander Klitgaard,Det Konservative Folkeparti,2
Himmerlandkredsen,1. Støvring,Jakob Axel Nielsen,Det Konservative Folkeparti,35
Himmerlandkredsen,1. Støvring,Karsten Skov Petersen,Det Konservative Folkeparti,1
Himmerlandkredsen,1. Støvring,Mia Tang,Det Konservative Folkeparti,7
Himmerlandkredsen,1. Støvring,Partiliste,Nye Borgerlige,83
Himmerlandkredsen,1. Støvring,Kim Edberg Andersen,Nye Borgerlige,86
Himmerlandkredsen,1. Støvring,Lars Rem,Nye Borgerlige,3
Himmerlandkredsen,1. Støvring,John Bjerg,Nye Borgerlige,2
Himmerlandkredsen,1. Støvring,Brian Nielsen,Nye Borgerlige,1
Himmerlandkredsen,1. Støvring,Sysser Nørholm,Nye Borgerlige,2
Himmerlandkredsen,1. Støvring,Partiliste,SF - Socialistisk Folkeparti,214
Himmerlandkredsen,1. Støvring,Theresa Berg Andersen,SF - Socialistisk Folkeparti,102
Himmerlandkredsen,1. Støvring,Melina Andersen,SF - Socialistisk Folkeparti,12
Himmerlandkredsen,1. Støvring,Benjamin Jørgensen,SF - Socialistisk Folkeparti,1
Himmerlandkredsen,1. Støvring,Thorkil Olesen,SF - Socialistisk Folkeparti,1
