Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,Socialdemokratiet,126
Egedalkredsen,1. Ledøje Forsamlingshus,Matilde Powers,Socialdemokratiet,15
Egedalkredsen,1. Ledøje Forsamlingshus,Fie Hækkerup,Socialdemokratiet,6
Egedalkredsen,1. Ledøje Forsamlingshus,Miki Dam Larsen,Socialdemokratiet,4
Egedalkredsen,1. Ledøje Forsamlingshus,Louise Mehnke,Socialdemokratiet,3
Egedalkredsen,1. Ledøje Forsamlingshus,Henrik Møller,Socialdemokratiet,1
Egedalkredsen,1. Ledøje Forsamlingshus,Rasmus Stoklund,Socialdemokratiet,4
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,Radikale Venstre,8
Egedalkredsen,1. Ledøje Forsamlingshus,Tine Hessner,Radikale Venstre,0
Egedalkredsen,1. Ledøje Forsamlingshus,Martin Lidegaard,Radikale Venstre,12
Egedalkredsen,1. Ledøje Forsamlingshus,Christian Holm Donatzky,Radikale Venstre,2
Egedalkredsen,1. Ledøje Forsamlingshus,Christina Thorholm,Radikale Venstre,1
Egedalkredsen,1. Ledøje Forsamlingshus,Jacob Netteberg,Radikale Venstre,0
Egedalkredsen,1. Ledøje Forsamlingshus,Maria Katarina Nielsen,Radikale Venstre,0
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,Det Konservative Folkeparti,28
Egedalkredsen,1. Ledøje Forsamlingshus,Egil Hulgaard,Det Konservative Folkeparti,4
Egedalkredsen,1. Ledøje Forsamlingshus,Mette Abildgaard,Det Konservative Folkeparti,24
Egedalkredsen,1. Ledøje Forsamlingshus,Birgitte Bergman,Det Konservative Folkeparti,1
Egedalkredsen,1. Ledøje Forsamlingshus,Nikolaj Frederiksen,Det Konservative Folkeparti,0
Egedalkredsen,1. Ledøje Forsamlingshus,Emma Juul Hansen,Det Konservative Folkeparti,1
Egedalkredsen,1. Ledøje Forsamlingshus,Christoffer Buster Reinhardt,Det Konservative Folkeparti,1
Egedalkredsen,1. Ledøje Forsamlingshus,Niels Martin Viuff,Det Konservative Folkeparti,4
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,Nye Borgerlige,21
Egedalkredsen,1. Ledøje Forsamlingshus,Mette Thiesen,Nye Borgerlige,6
Egedalkredsen,1. Ledøje Forsamlingshus,Søren Højbjerg,Nye Borgerlige,0
Egedalkredsen,1. Ledøje Forsamlingshus,Claus Bruncke,Nye Borgerlige,0
Egedalkredsen,1. Ledøje Forsamlingshus,Per Olsen,Nye Borgerlige,0
Egedalkredsen,1. Ledøje Forsamlingshus,Søren Regenberg,Nye Borgerlige,0
Egedalkredsen,1. Ledøje Forsamlingshus,Carsten Winther,Nye Borgerlige,0
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,SF - Socialistisk Folkeparti,36
Egedalkredsen,1. Ledøje Forsamlingshus,Peter Westermann,SF - Socialistisk Folkeparti,3
Egedalkredsen,1. Ledøje Forsamlingshus,Marianne Bigum,SF - Socialistisk Folkeparti,10
Egedalkredsen,1. Ledøje Forsamlingshus,Marianne Stannum,SF - Socialistisk Folkeparti,0
Egedalkredsen,1. Ledøje Forsamlingshus,Silje Brynildsen,SF - Socialistisk Folkeparti,5
Egedalkredsen,1. Ledøje Forsamlingshus,Jens Skov,SF - Socialistisk Folkeparti,2
Egedalkredsen,1. Ledøje Forsamlingshus,Stefan B. Skrubbeltrang,SF - Socialistisk Folkeparti,0
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,Liberal Alliance,56
Egedalkredsen,1. Ledøje Forsamlingshus,Steffen W. Frølund,Liberal Alliance,6
Egedalkredsen,1. Ledøje Forsamlingshus,Kim Bjørnstrup,Liberal Alliance,5
Egedalkredsen,1. Ledøje Forsamlingshus,Lars Høyer Holmqvist,Liberal Alliance,0
Egedalkredsen,1. Ledøje Forsamlingshus,Steffen Sjørslev,Liberal Alliance,2
Egedalkredsen,1. Ledøje Forsamlingshus,Marianne Porsborg,Liberal Alliance,1
Egedalkredsen,1. Ledøje Forsamlingshus,Robert Mørck,Liberal Alliance,1
Egedalkredsen,1. Ledøje Forsamlingshus,Kira Danholm,Liberal Alliance,1
Egedalkredsen,1. Ledøje Forsamlingshus,Josephine Svane,Liberal Alliance,1
Egedalkredsen,1. Ledøje Forsamlingshus,Partiliste,KD - Kristendemokraterne,0
Egedalkredsen,1. Ledøje Forsamlingshus,Henrik Forsberg,KD - Kristendemokraterne,0
Egedalkredsen,1. Ledøje Forsamlingshus,Stig Grenov,KD - Kristendemokraterne,0
