Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Faxekredsen,1. Haslev 01,Partiliste,Socialdemokratiet,693
Faxekredsen,1. Haslev 01,Tanja Larsson,Socialdemokratiet,228
Faxekredsen,1. Haslev 01,Kaare Dybvad Bek,Socialdemokratiet,18
Faxekredsen,1. Haslev 01,Brian Bressendorff,Socialdemokratiet,20
Faxekredsen,1. Haslev 01,Frederik Enevoldsen,Socialdemokratiet,3
Faxekredsen,1. Haslev 01,Mette Gjerskov,Socialdemokratiet,17
Faxekredsen,1. Haslev 01,Magnus Heunicke,Socialdemokratiet,246
Faxekredsen,1. Haslev 01,Thorkild Holmboe-Hay,Socialdemokratiet,2
Faxekredsen,1. Haslev 01,Jeppe Kofod,Socialdemokratiet,21
Faxekredsen,1. Haslev 01,Astrid Krag,Socialdemokratiet,41
Faxekredsen,1. Haslev 01,Rasmus Horn Langhoff,Socialdemokratiet,11
Faxekredsen,1. Haslev 01,Kasper Roug,Socialdemokratiet,5
Faxekredsen,1. Haslev 01,Frederik Vad,Socialdemokratiet,5
Faxekredsen,1. Haslev 01,Partiliste,Radikale Venstre,35
Faxekredsen,1. Haslev 01,Line Krogh Lay,Radikale Venstre,17
Faxekredsen,1. Haslev 01,Zenia Stampe,Radikale Venstre,14
Faxekredsen,1. Haslev 01,Anne Sophie Callesen,Radikale Venstre,5
Faxekredsen,1. Haslev 01,Edris Qasimi,Radikale Venstre,0
Faxekredsen,1. Haslev 01,Hikmet Altun,Radikale Venstre,2
Faxekredsen,1. Haslev 01,Kristian Stokholm,Radikale Venstre,1
Faxekredsen,1. Haslev 01,Troels Brandt,Radikale Venstre,0
Faxekredsen,1. Haslev 01,Lukas Lunøe,Radikale Venstre,2
Faxekredsen,1. Haslev 01,Jeppe Trolle,Radikale Venstre,0
Faxekredsen,1. Haslev 01,Partiliste,Det Konservative Folkeparti,147
Faxekredsen,1. Haslev 01,Regitze Harslund Sancoeur,Det Konservative Folkeparti,14
Faxekredsen,1. Haslev 01,Mads C. Andersen,Det Konservative Folkeparti,10
Faxekredsen,1. Haslev 01,Claus Dyremose,Det Konservative Folkeparti,2
Faxekredsen,1. Haslev 01,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,20
Faxekredsen,1. Haslev 01,Andreas Karlsen,Det Konservative Folkeparti,13
Faxekredsen,1. Haslev 01,Annette Juhler Kjær,Det Konservative Folkeparti,3
Faxekredsen,1. Haslev 01,Rune Kristensen,Det Konservative Folkeparti,9
Faxekredsen,1. Haslev 01,Camillo Krog,Det Konservative Folkeparti,0
Faxekredsen,1. Haslev 01,Stine Pilt Olsen,Det Konservative Folkeparti,1
Faxekredsen,1. Haslev 01,Helle Laursen Petersen,Det Konservative Folkeparti,3
Faxekredsen,1. Haslev 01,Mads Silberg,Det Konservative Folkeparti,2
Faxekredsen,1. Haslev 01,Jacob Stryhn,Det Konservative Folkeparti,3
Faxekredsen,1. Haslev 01,Partiliste,Nye Borgerlige,198
Faxekredsen,1. Haslev 01,Peter Seier Christensen,Nye Borgerlige,15
Faxekredsen,1. Haslev 01,Claus Bedemann,Nye Borgerlige,9
Faxekredsen,1. Haslev 01,Henriette Ergemann,Nye Borgerlige,7
Faxekredsen,1. Haslev 01,Ulrik Nick Lassen,Nye Borgerlige,4
Faxekredsen,1. Haslev 01,Githa Nelander,Nye Borgerlige,8
Faxekredsen,1. Haslev 01,Tonny Voldby Pedersen,Nye Borgerlige,2
Faxekredsen,1. Haslev 01,Jan Bigum Warming,Nye Borgerlige,4
Faxekredsen,1. Haslev 01,Partiliste,SF - Socialistisk Folkeparti,114
Faxekredsen,1. Haslev 01,Jacob Mark,SF - Socialistisk Folkeparti,346
Faxekredsen,1. Haslev 01,Astrid Carøe,SF - Socialistisk Folkeparti,10
Faxekredsen,1. Haslev 01,Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,21
Faxekredsen,1. Haslev 01,Claus Jørgensen,SF - Socialistisk Folkeparti,1
Faxekredsen,1. Haslev 01,Gitte Henriksen,SF - Socialistisk Folkeparti,1
Faxekredsen,1. Haslev 01,Jeanne Rygas Bergmansen,SF - Socialistisk Folkeparti,2
Faxekredsen,1. Haslev 01,Michael Graakjær,SF - Socialistisk Folkeparti,1
Faxekredsen,1. Haslev 01,Kenneth Werby,SF - Socialistisk Folkeparti,0
Faxekredsen,1. Haslev 01,Mads Olsen,SF - Socialistisk Folkeparti,1
Faxekredsen,1. Haslev 01,Partiliste,Liberal Alliance,292
Faxekredsen,1. Haslev 01,Lars-Christian Brask,Liberal Alliance,30
Faxekredsen,1. Haslev 01,Sandra Elisabeth Skalvig,Liberal Alliance,5
Faxekredsen,1. Haslev 01,Nikolaj Vester,Liberal Alliance,4
Faxekredsen,1. Haslev 01,Nicolai Sandager,Liberal Alliance,7
Faxekredsen,1. Haslev 01,Frederik Grünfeld,Liberal Alliance,8
Faxekredsen,1. Haslev 01,Sander P. Larsen,Liberal Alliance,2
Faxekredsen,1. Haslev 01,Flemming Sørensen,Liberal Alliance,0
