Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Guldborgsundkredsen,1. Byen,Partiliste,Socialdemokratiet,584
Guldborgsundkredsen,1. Byen,Thorkild Holmboe-Hay,Socialdemokratiet,193
Guldborgsundkredsen,1. Byen,Kaare Dybvad Bek,Socialdemokratiet,13
Guldborgsundkredsen,1. Byen,Brian Bressendorff,Socialdemokratiet,3
Guldborgsundkredsen,1. Byen,Frederik Enevoldsen,Socialdemokratiet,3
Guldborgsundkredsen,1. Byen,Mette Gjerskov,Socialdemokratiet,9
Guldborgsundkredsen,1. Byen,Magnus Heunicke,Socialdemokratiet,99
Guldborgsundkredsen,1. Byen,Jeppe Kofod,Socialdemokratiet,8
Guldborgsundkredsen,1. Byen,Astrid Krag,Socialdemokratiet,38
Guldborgsundkredsen,1. Byen,Rasmus Horn Langhoff,Socialdemokratiet,3
Guldborgsundkredsen,1. Byen,Tanja Larsson,Socialdemokratiet,4
Guldborgsundkredsen,1. Byen,Kasper Roug,Socialdemokratiet,60
Guldborgsundkredsen,1. Byen,Frederik Vad,Socialdemokratiet,6
Guldborgsundkredsen,1. Byen,Partiliste,Radikale Venstre,35
Guldborgsundkredsen,1. Byen,Edris Qasimi,Radikale Venstre,2
Guldborgsundkredsen,1. Byen,Zenia Stampe,Radikale Venstre,11
Guldborgsundkredsen,1. Byen,Anne Sophie Callesen,Radikale Venstre,3
Guldborgsundkredsen,1. Byen,Line Krogh Lay,Radikale Venstre,2
Guldborgsundkredsen,1. Byen,Hikmet Altun,Radikale Venstre,1
Guldborgsundkredsen,1. Byen,Kristian Stokholm,Radikale Venstre,3
Guldborgsundkredsen,1. Byen,Troels Brandt,Radikale Venstre,0
Guldborgsundkredsen,1. Byen,Lukas Lunøe,Radikale Venstre,0
Guldborgsundkredsen,1. Byen,Jeppe Trolle,Radikale Venstre,2
Guldborgsundkredsen,1. Byen,Partiliste,Det Konservative Folkeparti,80
Guldborgsundkredsen,1. Byen,Stine Pilt Olsen,Det Konservative Folkeparti,13
Guldborgsundkredsen,1. Byen,Mads C. Andersen,Det Konservative Folkeparti,3
Guldborgsundkredsen,1. Byen,Claus Dyremose,Det Konservative Folkeparti,1
Guldborgsundkredsen,1. Byen,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,5
Guldborgsundkredsen,1. Byen,Andreas Karlsen,Det Konservative Folkeparti,2
Guldborgsundkredsen,1. Byen,Annette Juhler Kjær,Det Konservative Folkeparti,0
Guldborgsundkredsen,1. Byen,Rune Kristensen,Det Konservative Folkeparti,22
Guldborgsundkredsen,1. Byen,Camillo Krog,Det Konservative Folkeparti,32
Guldborgsundkredsen,1. Byen,Helle Laursen Petersen,Det Konservative Folkeparti,0
Guldborgsundkredsen,1. Byen,Regitze Harslund Sancoeur,Det Konservative Folkeparti,2
