Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Roskildekredsen,1. Roskilde Bymidte,Partiliste,Socialdemokratiet,489
Roskildekredsen,1. Roskilde Bymidte,Mette Gjerskov,Socialdemokratiet,178
Roskildekredsen,1. Roskilde Bymidte,Kaare Dybvad Bek,Socialdemokratiet,32
Roskildekredsen,1. Roskilde Bymidte,Brian Bressendorff,Socialdemokratiet,0
Roskildekredsen,1. Roskilde Bymidte,Frederik Enevoldsen,Socialdemokratiet,3
Roskildekredsen,1. Roskilde Bymidte,Magnus Heunicke,Socialdemokratiet,86
Roskildekredsen,1. Roskilde Bymidte,Thorkild Holmboe-Hay,Socialdemokratiet,2
Roskildekredsen,1. Roskilde Bymidte,Jeppe Kofod,Socialdemokratiet,18
Roskildekredsen,1. Roskilde Bymidte,Astrid Krag,Socialdemokratiet,40
Roskildekredsen,1. Roskilde Bymidte,Rasmus Horn Langhoff,Socialdemokratiet,1
Roskildekredsen,1. Roskilde Bymidte,Tanja Larsson,Socialdemokratiet,5
Roskildekredsen,1. Roskilde Bymidte,Kasper Roug,Socialdemokratiet,2
Roskildekredsen,1. Roskilde Bymidte,Frederik Vad,Socialdemokratiet,16
Roskildekredsen,1. Roskilde Bymidte,Partiliste,Radikale Venstre,72
Roskildekredsen,1. Roskilde Bymidte,Zenia Stampe,Radikale Venstre,77
Roskildekredsen,1. Roskilde Bymidte,Anne Sophie Callesen,Radikale Venstre,17
Roskildekredsen,1. Roskilde Bymidte,Edris Qasimi,Radikale Venstre,3
Roskildekredsen,1. Roskilde Bymidte,Line Krogh Lay,Radikale Venstre,9
Roskildekredsen,1. Roskilde Bymidte,Hikmet Altun,Radikale Venstre,5
Roskildekredsen,1. Roskilde Bymidte,Kristian Stokholm,Radikale Venstre,1
Roskildekredsen,1. Roskilde Bymidte,Troels Brandt,Radikale Venstre,0
Roskildekredsen,1. Roskilde Bymidte,Lukas Lunøe,Radikale Venstre,6
Roskildekredsen,1. Roskilde Bymidte,Jeppe Trolle,Radikale Venstre,8
Roskildekredsen,1. Roskilde Bymidte,Partiliste,Det Konservative Folkeparti,118
Roskildekredsen,1. Roskilde Bymidte,Annette Juhler Kjær,Det Konservative Folkeparti,66
Roskildekredsen,1. Roskilde Bymidte,Mads C. Andersen,Det Konservative Folkeparti,6
Roskildekredsen,1. Roskilde Bymidte,Claus Dyremose,Det Konservative Folkeparti,5
Roskildekredsen,1. Roskilde Bymidte,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,7
Roskildekredsen,1. Roskilde Bymidte,Andreas Karlsen,Det Konservative Folkeparti,2
Roskildekredsen,1. Roskilde Bymidte,Rune Kristensen,Det Konservative Folkeparti,2
Roskildekredsen,1. Roskilde Bymidte,Camillo Krog,Det Konservative Folkeparti,0
Roskildekredsen,1. Roskilde Bymidte,Stine Pilt Olsen,Det Konservative Folkeparti,2
Roskildekredsen,1. Roskilde Bymidte,Helle Laursen Petersen,Det Konservative Folkeparti,1
Roskildekredsen,1. Roskilde Bymidte,Regitze Harslund Sancoeur,Det Konservative Folkeparti,0
Roskildekredsen,1. Roskilde Bymidte,Mads Silberg,Det Konservative Folkeparti,1
Roskildekredsen,1. Roskilde Bymidte,Jacob Stryhn,Det Konservative Folkeparti,2
Roskildekredsen,1. Roskilde Bymidte,Partiliste,Nye Borgerlige,40
Roskildekredsen,1. Roskilde Bymidte,Peter Seier Christensen,Nye Borgerlige,11
Roskildekredsen,1. Roskilde Bymidte,Claus Bedemann,Nye Borgerlige,2
Roskildekredsen,1. Roskilde Bymidte,Henriette Ergemann,Nye Borgerlige,1
Roskildekredsen,1. Roskilde Bymidte,Ulrik Nick Lassen,Nye Borgerlige,1
Roskildekredsen,1. Roskilde Bymidte,Githa Nelander,Nye Borgerlige,0
Roskildekredsen,1. Roskilde Bymidte,Tonny Voldby Pedersen,Nye Borgerlige,0
Roskildekredsen,1. Roskilde Bymidte,Jan Bigum Warming,Nye Borgerlige,0
Roskildekredsen,1. Roskilde Bymidte,Partiliste,SF - Socialistisk Folkeparti,169
Roskildekredsen,1. Roskilde Bymidte,Jacob Mark,SF - Socialistisk Folkeparti,249
Roskildekredsen,1. Roskilde Bymidte,Astrid Carøe,SF - Socialistisk Folkeparti,21
