kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Bornholm,1,Allinge,,Anne Jensen,Socialdemokratiet,6
Bornholm,2,Østermarie,,Anne Jensen,Socialdemokratiet,25
Bornholm,3,Svaneke,,Anne Jensen,Socialdemokratiet,5
Bornholm,4,Nexø,,Anne Jensen,Socialdemokratiet,8
Bornholm,5,Pedersker,,Anne Jensen,Socialdemokratiet,7
Bornholm,6,Aakirkeby,,Anne Jensen,Socialdemokratiet,27
Bornholm,7,Klemensker,,Anne Jensen,Socialdemokratiet,11
Bornholm,8,Rønne,,Anne Jensen,Socialdemokratiet,47
Bornholm,9,Hasle,,Anne Jensen,Socialdemokratiet,7
Bornholm,1,Allinge,,Bente Helms,Socialdemokratiet,10
Bornholm,2,Østermarie,,Bente Helms,Socialdemokratiet,3
Bornholm,3,Svaneke,,Bente Helms,Socialdemokratiet,5
Bornholm,4,Nexø,,Bente Helms,Socialdemokratiet,8
Bornholm,5,Pedersker,,Bente Helms,Socialdemokratiet,5
Bornholm,6,Aakirkeby,,Bente Helms,Socialdemokratiet,11
Bornholm,7,Klemensker,,Bente Helms,Socialdemokratiet,21
Bornholm,8,Rønne,,Bente Helms,Socialdemokratiet,40
Bornholm,9,Hasle,,Bente Helms,Socialdemokratiet,18
Bornholm,1,Allinge,,Claus Larsen-Jensen,Socialdemokratiet,19
Bornholm,2,Østermarie,,Claus Larsen-Jensen,Socialdemokratiet,16
Bornholm,3,Svaneke,,Claus Larsen-Jensen,Socialdemokratiet,10
Bornholm,4,Nexø,,Claus Larsen-Jensen,Socialdemokratiet,34
Bornholm,5,Pedersker,,Claus Larsen-Jensen,Socialdemokratiet,29
Bornholm,6,Aakirkeby,,Claus Larsen-Jensen,Socialdemokratiet,48
Bornholm,7,Klemensker,,Claus Larsen-Jensen,Socialdemokratiet,14
Bornholm,8,Rønne,,Claus Larsen-Jensen,Socialdemokratiet,118
Bornholm,9,Hasle,,Claus Larsen-Jensen,Socialdemokratiet,24
Bornholm,1,Allinge,,Frank Granlyst,Socialdemokratiet,24
Bornholm,2,Østermarie,,Frank Granlyst,Socialdemokratiet,6
Bornholm,3,Svaneke,,Frank Granlyst,Socialdemokratiet,4
Bornholm,4,Nexø,,Frank Granlyst,Socialdemokratiet,5
Bornholm,5,Pedersker,,Frank Granlyst,Socialdemokratiet,6
Bornholm,6,Aakirkeby,,Frank Granlyst,Socialdemokratiet,1
Bornholm,7,Klemensker,,Frank Granlyst,Socialdemokratiet,1
Bornholm,8,Rønne,,Frank Granlyst,Socialdemokratiet,16
Bornholm,9,Hasle,,Frank Granlyst,Socialdemokratiet,13
Bornholm,1,Allinge,,HC Holmstrand,Socialdemokratiet,2
Bornholm,2,Østermarie,,HC Holmstrand,Socialdemokratiet,0
