kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Gentofte,1,Jægersborg,A_Listestemmer,Listestemmer,Socialdemokratiet,96
Gentofte,1,Jægersborg,A_Søren_Heisel,Søren Heisel,Socialdemokratiet,83
Gentofte,1,Jægersborg,A_Anne_Hjorth,Anne Hjorth,Socialdemokratiet,49
Gentofte,1,Jægersborg,A_Halima_El_Abassi,Halima El Abassi,Socialdemokratiet,38
Gentofte,1,Jægersborg,A_Gitte_H._Terndrup,Gitte H. Terndrup,Socialdemokratiet,11
Gentofte,1,Jægersborg,A_Kevin_Høj,Kevin Høj,Socialdemokratiet,3
Gentofte,1,Jægersborg,A_Susan_Wiinblad,Susan Wiinblad,Socialdemokratiet,8
Gentofte,1,Jægersborg,A_Lars_Bo_Winther,Lars Bo Winther,Socialdemokratiet,5
Gentofte,1,Jægersborg,A_Thomas_Ellegaard,Thomas Ellegaard,Socialdemokratiet,25
Gentofte,1,Jægersborg,B_Listestemmer,Listestemmer,Radikale Venstre,95
Gentofte,1,Jægersborg,B_Kristine_Kryger,Kristine Kryger,Radikale Venstre,85
Gentofte,1,Jægersborg,B_Ane_Palsberg,Ane Palsberg,Radikale Venstre,36
Gentofte,1,Jægersborg,B_Marie_Brixtofte,Marie Brixtofte,Radikale Venstre,123
Gentofte,1,Jægersborg,B_Anders_Hartzen,Anders Hartzen,Radikale Venstre,4
Gentofte,1,Jægersborg,B_Kasper_Brejnholt_Bak,Kasper Brejnholt Bak,Radikale Venstre,9
Gentofte,1,Jægersborg,B_Martin_Iversen,Martin Iversen,Radikale Venstre,1
Gentofte,1,Jægersborg,B_Sven_Tovborg_Jensen,Sven Tovborg Jensen,Radikale Venstre,2
Gentofte,1,Jægersborg,B_Else_Lindberg,Else Lindberg,Radikale Venstre,3
Gentofte,1,Jægersborg,B_Carsten_Lassen,Carsten Lassen,Radikale Venstre,0
Gentofte,1,Jægersborg,B_Melitta_Naegeli,Melitta Naegeli,Radikale Venstre,0
Gentofte,1,Jægersborg,B_Anders_Jensen,Anders Jensen,Radikale Venstre,0
Gentofte,1,Jægersborg,B_Morten_Ladefoged,Morten Ladefoged,Radikale Venstre,2
Gentofte,1,Jægersborg,B_Ummy_Hamyar,Ummy Hamyar,Radikale Venstre,6
Gentofte,1,Jægersborg,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,590
Gentofte,1,Jægersborg,C_Michael_Fenger,Michael Fenger,Det Konservative Folkeparti,1036
Gentofte,1,Jægersborg,C_Pia_Nyring,Pia Nyring,Det Konservative Folkeparti,141
Gentofte,1,Jægersborg,C_Andreas_Weidinger,Andreas Weidinger,Det Konservative Folkeparti,164
Gentofte,1,Jægersborg,C_Katja_S._Johansen,Katja S. Johansen,Det Konservative Folkeparti,44
Gentofte,1,Jægersborg,C_Jesper_Marcus,Jesper Marcus,Det Konservative Folkeparti,46
Gentofte,1,Jægersborg,C_Karen_Riis_Kjølbye,Karen Riis Kjølbye,Det Konservative Folkeparti,30
Gentofte,1,Jægersborg,C_Christian_Eppers,Christian Eppers,Det Konservative Folkeparti,2
Gentofte,1,Jægersborg,C_Christina_Wex,Christina Wex,Det Konservative Folkeparti,53
Gentofte,1,Jægersborg,C_Niels_Lund,Niels Lund,Det Konservative Folkeparti,26
Gentofte,1,Jægersborg,C_Britta_Riis,Britta Riis,Det Konservative Folkeparti,76
Gentofte,1,Jægersborg,C_Teit_Andersen,Teit Andersen,Det Konservative Folkeparti,75
Gentofte,1,Jægersborg,C_Marianne_Bugge_Zederkof,Marianne Bugge Zederkof,Det Konservative Folkeparti,11
Gentofte,1,Jægersborg,C_Stig_Wall,Stig Wall,Det Konservative Folkeparti,79
Gentofte,1,Jægersborg,C_Per_Bruun_Andersen,Per Bruun Andersen,Det Konservative Folkeparti,10
Gentofte,1,Jægersborg,C_Valdemar_H._Høiris,Valdemar H. Høiris,Det Konservative Folkeparti,17
Gentofte,1,Jægersborg,C_Claus_Høegh-Guldberg,Claus Høegh-Guldberg,Det Konservative Folkeparti,9
Gentofte,1,Jægersborg,C_Jesper_Kamp_Nielsen,Jesper Kamp Nielsen,Det Konservative Folkeparti,19
Gentofte,1,Jægersborg,C_Malene_Brandt,Malene Brandt,Det Konservative Folkeparti,27
Gentofte,1,Jægersborg,C_Anton_Brüniche-Olsen,Anton Brüniche-Olsen,Det Konservative Folkeparti,23
Gentofte,1,Jægersborg,C_Ann_Sophie_Friis,Ann Sophie Friis,Det Konservative Folkeparti,27
Gentofte,1,Jægersborg,C_Jonas_Parello-Plesner,Jonas Parello-Plesner,Det Konservative Folkeparti,34
Gentofte,1,Jægersborg,C_Michala_Gale_Sehested,Michala Gale Sehested,Det Konservative Folkeparti,19
Gentofte,1,Jægersborg,C_Charlotte_Libach,Charlotte Libach,Det Konservative Folkeparti,15
Gentofte,1,Jægersborg,D_Listestemmer,Listestemmer,Nye Borgerlige,46
Gentofte,1,Jægersborg,D_Thomas_S._Bentsen,Thomas S. Bentsen,Nye Borgerlige,27
Gentofte,1,Jægersborg,D_Henrik_Engel_Elborough,Henrik Engel Elborough,Nye Borgerlige,2
Gentofte,1,Jægersborg,D_Kenneth_K._Olsen,Kenneth K. Olsen,Nye Borgerlige,1
Gentofte,1,Jægersborg,D_Ivan_Léon_Siehr,Ivan Léon Siehr,Nye Borgerlige,0
Gentofte,1,Jægersborg,D_Flemming_Bækkeskov,Flemming Bækkeskov,Nye Borgerlige,9
