kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Haderslev,1,Gram,A_Listestemmer,Listestemmer,Socialdemokratiet,105
Haderslev,1,Gram,A_Henrik_Rønnow,Henrik Rønnow,Socialdemokratiet,145
Haderslev,1,Gram,A_Julie_Juhler,Julie Juhler,Socialdemokratiet,7
Haderslev,1,Gram,A_Lone_E._Ravn,Lone E. Ravn,Socialdemokratiet,13
Haderslev,1,Gram,A_Finn_Lykkeskov,Finn Lykkeskov,Socialdemokratiet,3
Haderslev,1,Gram,A_Jens_Christian_Gjesing,Jens Christian Gjesing,Socialdemokratiet,22
Haderslev,1,Gram,A_Bent_Vedsted_Rønne,Bent Vedsted Rønne,Socialdemokratiet,2
Haderslev,1,Gram,A_Marie_Skødt,Marie Skødt,Socialdemokratiet,14
Haderslev,1,Gram,A_Bo_Morthorst_Rasmussen,Bo Morthorst Rasmussen,Socialdemokratiet,2
Haderslev,1,Gram,A_Claus_Dall,Claus Dall,Socialdemokratiet,4
Haderslev,1,Gram,A_Kurt_Schmidt_Nielsen,Kurt Schmidt Nielsen,Socialdemokratiet,7
Haderslev,1,Gram,A_Rune_Robert_Friis,Rune Robert Friis,Socialdemokratiet,2
Haderslev,1,Gram,A_Claus_A._M._Byg,Claus A. M. Byg,Socialdemokratiet,4
Haderslev,1,Gram,A_Bent_K._Andersen,Bent K. Andersen,Socialdemokratiet,1
Haderslev,1,Gram,A_Karin_Anker,Karin Anker,Socialdemokratiet,7
Haderslev,1,Gram,A_Cecilie_Haaland,Cecilie Haaland,Socialdemokratiet,10
Haderslev,1,Gram,A_Betina_Lau,Betina Lau,Socialdemokratiet,2
Haderslev,1,Gram,A_Kim_Kabelka,Kim Kabelka,Socialdemokratiet,0
Haderslev,1,Gram,A_Alex_Bødiker,Alex Bødiker,Socialdemokratiet,2
Haderslev,1,Gram,A_Maria_Damgaard,Maria Damgaard,Socialdemokratiet,2
Haderslev,1,Gram,A_Michael_Mouritzen,Michael Mouritzen,Socialdemokratiet,1
Haderslev,1,Gram,A_Keld_Pedersen,Keld Pedersen,Socialdemokratiet,6
Haderslev,1,Gram,B_Listestemmer,Listestemmer,Radikale Venstre,8
Haderslev,1,Gram,B_Børge_Koch,Børge Koch,Radikale Venstre,15
Haderslev,1,Gram,B_Jon_Skriver,Jon Skriver,Radikale Venstre,4
Haderslev,1,Gram,B_Alaa_Shaker,Alaa Shaker,Radikale Venstre,1
Haderslev,1,Gram,B_Marianne_Johansen_Møller,Marianne Johansen Møller,Radikale Venstre,2
Haderslev,1,Gram,B_Tom_Knudsen,Tom Knudsen,Radikale Venstre,0
Haderslev,1,Gram,B_Asbjørn_Nielsen,Asbjørn Nielsen,Radikale Venstre,0
Haderslev,1,Gram,B_Kristina_Heiden,Kristina Heiden,Radikale Venstre,4
Haderslev,1,Gram,B_Luc_Tan_Le,Luc Tan Le,Radikale Venstre,1
Haderslev,1,Gram,B_Søren_Nielsen,Søren Nielsen,Radikale Venstre,1
Haderslev,1,Gram,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,32
Haderslev,1,Gram,"C_Kjeld_Thrane,_Haderslev","Kjeld Thrane, Haderslev",Det Konservative Folkeparti,29
Haderslev,1,Gram,"C_Tina_Rosenkilde,_Vojens","Tina Rosenkilde, Vojens",Det Konservative Folkeparti,10
Haderslev,1,Gram,"C_Martin_K._Christiansen,_Haderslev","Martin K. Christiansen, Haderslev",Det Konservative Folkeparti,6
Haderslev,1,Gram,"C_Jannie_B._Westergaard,Over_Kestrup","Jannie B. Westergaard,Over Kestrup",Det Konservative Folkeparti,10
Haderslev,1,Gram,"C_Kim_Soblis_Koch,_Haderslev","Kim Soblis Koch, Haderslev",Det Konservative Folkeparti,0
Haderslev,1,Gram,"C_Kristina_W._Møller,_Haderslev","Kristina W. Møller, Haderslev",Det Konservative Folkeparti,1
Haderslev,1,Gram,"C_Jens_Asmussen,_Haderslev","Jens Asmussen, Haderslev",Det Konservative Folkeparti,2
Haderslev,1,Gram,D_Listestemmer,Listestemmer,Nye Borgerlige,33
Haderslev,1,Gram,"D_Benny_Bonde,_Haderslev","Benny Bonde, Haderslev",Nye Borgerlige,22
Haderslev,1,Gram,"D_Thomas_Vedsted,_Gram","Thomas Vedsted, Gram",Nye Borgerlige,73
Haderslev,1,Gram,"D_Poul_M._Jensen,_Haderslev","Poul M. Jensen, Haderslev",Nye Borgerlige,0
Haderslev,1,Gram,"D_Jesper_Falkenløve,_Vojens","Jesper Falkenløve, Vojens",Nye Borgerlige,1
Haderslev,1,Gram,"D_Erik_Horshauge,_Haderslev","Erik Horshauge, Haderslev",Nye Borgerlige,1
Haderslev,1,Gram,"D_Lars_J._Gundestrup,_Kelstrup","Lars J. Gundestrup, Kelstrup",Nye Borgerlige,1
Haderslev,1,Gram,"D_Preben_Lind,_Vojens","Preben Lind, Vojens",Nye Borgerlige,1
Haderslev,1,Gram,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,18
Haderslev,1,Gram,"F_Hanne_Pedersen,_Haderslev","Hanne Pedersen, Haderslev",SF - Socialistisk Folkeparti,16
Haderslev,1,Gram,"F_Aniké_Lund,_Kelstrup","Aniké Lund, Kelstrup",SF - Socialistisk Folkeparti,2
Haderslev,1,Gram,"F_Leif_Storgaard_Pedersen,_Hoptrup","Leif Storgaard Pedersen, Hoptrup",SF - Socialistisk Folkeparti,8
Haderslev,1,Gram,"F_Martin_Holm_Rønne,_Haderslev","Martin Holm Rønne, Haderslev",SF - Socialistisk Folkeparti,1
Haderslev,1,Gram,"F_Lene_Wildfang,_Haderslev","Lene Wildfang, Haderslev",SF - Socialistisk Folkeparti,0
Haderslev,1,Gram,"F_Tobias_Jørgensen,_Mølby","Tobias Jørgensen, Mølby",SF - Socialistisk Folkeparti,0
Haderslev,1,Gram,"F_Bent_Iversen,_Haderslev","Bent Iversen, Haderslev",SF - Socialistisk Folkeparti,5
Haderslev,1,Gram,"F_Pia_Ibsen_Andersen,_Hoptrup","Pia Ibsen Andersen, Hoptrup",SF - Socialistisk Folkeparti,0
Haderslev,1,Gram,"F_Anton_Niemann_Jensen,_Haderslev","Anton Niemann Jensen, Haderslev",SF - Socialistisk Folkeparti,0
Haderslev,1,Gram,"F_Kresten_Andersen,_Vojens","Kresten Andersen, Vojens",SF - Socialistisk Folkeparti,1
