kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Herning,1,Herning,A_Listestemmer,Listestemmer,Socialdemokratiet,750
Herning,1,Herning,A_Tommy_Tønning,Tommy Tønning,Socialdemokratiet,312
Herning,1,Herning,A_Lone_Børlum,Lone Børlum,Socialdemokratiet,290
Herning,1,Herning,A_Vinnie_Borbjerg,Vinnie Borbjerg,Socialdemokratiet,68
Herning,1,Herning,A_Mille_Pedersen,Mille Pedersen,Socialdemokratiet,125
Herning,1,Herning,A_Mona_Burgdorf_Herskind,Mona Burgdorf Herskind,Socialdemokratiet,107
Herning,1,Herning,A_Henrik_Jensen,Henrik Jensen,Socialdemokratiet,23
Herning,1,Herning,A_Jeanette_Kæseler_Hoffmann,Jeanette Kæseler Hoffmann,Socialdemokratiet,50
Herning,1,Herning,A_Heinrich_Berwald,Heinrich Berwald,Socialdemokratiet,25
Herning,1,Herning,A_Jan_Kraft_Henriksen,Jan Kraft Henriksen,Socialdemokratiet,9
Herning,1,Herning,A_Jens_Martin_Christensen,Jens Martin Christensen,Socialdemokratiet,18
Herning,1,Herning,A_Tove_Brydsø_Jensen,Tove Brydsø Jensen,Socialdemokratiet,17
Herning,1,Herning,A_Jens_Brun_Pedersen,Jens Brun Pedersen,Socialdemokratiet,11
Herning,1,Herning,A_Jens_Henry_Jensen,Jens Henry Jensen,Socialdemokratiet,8
Herning,1,Herning,A_Carsten_Siggaard,Carsten Siggaard,Socialdemokratiet,10
Herning,1,Herning,A_Troels_Thylstrup,Troels Thylstrup,Socialdemokratiet,90
Herning,1,Herning,A_Flemming_Marinussen,Flemming Marinussen,Socialdemokratiet,8
Herning,1,Herning,A_Arulanantharajah_Thillainadarasa,Arulanantharajah Thillainadarasa,Socialdemokratiet,243
Herning,1,Herning,A_Marius_Kristensen,Marius Kristensen,Socialdemokratiet,33
Herning,1,Herning,B_Listestemmer,Listestemmer,Radikale Venstre,135
Herning,1,Herning,"B_Johs._Poulsen,_Hammerum-Gjellerup","Johs. Poulsen, Hammerum-Gjellerup",Radikale Venstre,508
Herning,1,Herning,"B_Kristina_Taaning,_Kibæk","Kristina Taaning, Kibæk",Radikale Venstre,89
Herning,1,Herning,"B_Philip_Vivet,_Herning","Philip Vivet, Herning",Radikale Venstre,173
Herning,1,Herning,"B_Thomas_Thisted,_Skarrild","Thomas Thisted, Skarrild",Radikale Venstre,21
Herning,1,Herning,"B_Bodil_Grove_Christensen,_Aulum","Bodil Grove Christensen, Aulum",Radikale Venstre,1
Herning,1,Herning,"B_Tommy_Ib_Sandgaard,_Sunds","Tommy Ib Sandgaard, Sunds",Radikale Venstre,17
Herning,1,Herning,"B_Bue_Poulsen,_Herning","Bue Poulsen, Herning",Radikale Venstre,19
Herning,1,Herning,"B_Kristina_S_Kaspersen,_Sinding","Kristina S Kaspersen, Sinding",Radikale Venstre,29
Herning,1,Herning,"B_Jan_Bill_Henschke,_Studsgård","Jan Bill Henschke, Studsgård",Radikale Venstre,3
Herning,1,Herning,"B_Aksel_Lynge_Andersen,_Haderup","Aksel Lynge Andersen, Haderup",Radikale Venstre,0
Herning,1,Herning,"B_Hanne_Frølund,_Herning","Hanne Frølund, Herning",Radikale Venstre,11
