kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Hillerød,1,Royal Stage,A_Listestemmer,Listestemmer,Socialdemokratiet,333
Hillerød,1,Royal Stage,A_Kirsten_Jensen,Kirsten Jensen,Socialdemokratiet,543
Hillerød,1,Royal Stage,A_Thomas_Brücker,Thomas Brücker,Socialdemokratiet,36
Hillerød,1,Royal Stage,A_Louise_Colding,Louise Colding,Socialdemokratiet,32
Hillerød,1,Royal Stage,A_Susanne_Due_Kristensen,Susanne Due Kristensen,Socialdemokratiet,42
Hillerød,1,Royal Stage,A_Jamil_Cheheibar,Jamil Cheheibar,Socialdemokratiet,18
Hillerød,1,Royal Stage,A_Mie_Lausten,Mie Lausten,Socialdemokratiet,94
Hillerød,1,Royal Stage,A_Vivi_Wøldike,Vivi Wøldike,Socialdemokratiet,26
Hillerød,1,Royal Stage,A_Mathilde_Clauson-Kaas,Mathilde Clauson-Kaas,Socialdemokratiet,68
Hillerød,1,Royal Stage,A_Mustafa_Adham,Mustafa Adham,Socialdemokratiet,9
Hillerød,1,Royal Stage,A_Niels_Nedergaard,Niels Nedergaard,Socialdemokratiet,12
Hillerød,1,Royal Stage,A_Jens_Græsted,Jens Græsted,Socialdemokratiet,12
Hillerød,1,Royal Stage,A_Emil_Colding_Sørensen,Emil Colding Sørensen,Socialdemokratiet,20
Hillerød,1,Royal Stage,A_Ingo_Hvid,Ingo Hvid,Socialdemokratiet,13
Hillerød,1,Royal Stage,A_Heidi_Liljedahl,Heidi Liljedahl,Socialdemokratiet,3
Hillerød,1,Royal Stage,A_Kenneth_Østed,Kenneth Østed,Socialdemokratiet,4
Hillerød,1,Royal Stage,A_Nanna_Kjær,Nanna Kjær,Socialdemokratiet,27
Hillerød,1,Royal Stage,A_Peder_Bisgaard,Peder Bisgaard,Socialdemokratiet,35
Hillerød,1,Royal Stage,B_Listestemmer,Listestemmer,Radikale Venstre,116
Hillerød,1,Royal Stage,"B_Christina_Thorholm,_Nødebo","Christina Thorholm, Nødebo",Radikale Venstre,93
Hillerød,1,Royal Stage,"B_Jørgen_Suhr,_Hillerød_Vest","Jørgen Suhr, Hillerød Vest",Radikale Venstre,64
Hillerød,1,Royal Stage,"B_Charlotte_Kaufmanas,_Hillerød_Øst","Charlotte Kaufmanas, Hillerød Øst",Radikale Venstre,10
Hillerød,1,Royal Stage,"B_Mette_Grønvaldt,_Hillerød_Øst","Mette Grønvaldt, Hillerød Øst",Radikale Venstre,22
Hillerød,1,Royal Stage,"B_Anne_Lintrup,_Hillerød_C","Anne Lintrup, Hillerød C",Radikale Venstre,34
Hillerød,1,Royal Stage,"B_Lasse_K._Rasmussen,_Bendstrup","Lasse K. Rasmussen, Bendstrup",Radikale Venstre,1
Hillerød,1,Royal Stage,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,328
Hillerød,1,Royal Stage,C_Peter_Ingemann_Bentsen,Peter Ingemann Bentsen,Det Konservative Folkeparti,90
Hillerød,1,Royal Stage,C_Nikolaj_Frederiksen,Nikolaj Frederiksen,Det Konservative Folkeparti,55
Hillerød,1,Royal Stage,C_Stine_Østlund,Stine Østlund,Det Konservative Folkeparti,51
Hillerød,1,Royal Stage,C_Christoffer_Lorenzen,Christoffer Lorenzen,Det Konservative Folkeparti,199
Hillerød,1,Royal Stage,C_Kate_Horsbøl,Kate Horsbøl,Det Konservative Folkeparti,46
Hillerød,1,Royal Stage,C_Jonas_Lyberg_Kofod,Jonas Lyberg Kofod,Det Konservative Folkeparti,28
Hillerød,1,Royal Stage,C_Lars_Bennetzen,Lars Bennetzen,Det Konservative Folkeparti,8
Hillerød,1,Royal Stage,C_Jannick_Holm,Jannick Holm,Det Konservative Folkeparti,10
Hillerød,1,Royal Stage,C_Lars_W._Hansen,Lars W. Hansen,Det Konservative Folkeparti,15
Hillerød,1,Royal Stage,C_Brian_Nedergaard,Brian Nedergaard,Det Konservative Folkeparti,12
Hillerød,1,Royal Stage,C_Anders_Theisen,Anders Theisen,Det Konservative Folkeparti,17
Hillerød,1,Royal Stage,C_Manuel_Vigilius,Manuel Vigilius,Det Konservative Folkeparti,16
Hillerød,1,Royal Stage,C_Niels_Bang-Ebbestrup,Niels Bang-Ebbestrup,Det Konservative Folkeparti,6
Hillerød,1,Royal Stage,C_Henrik_Taankvist,Henrik Taankvist,Det Konservative Folkeparti,0
Hillerød,1,Royal Stage,C_Anni_Nielsen,Anni Nielsen,Det Konservative Folkeparti,0
Hillerød,1,Royal Stage,C_Poul_Rohlin_Nielsen,Poul Rohlin Nielsen,Det Konservative Folkeparti,2
Hillerød,1,Royal Stage,D_Listestemmer,Listestemmer,Nye Borgerlige,91
Hillerød,1,Royal Stage,D_Morten_Bille,Morten Bille,Nye Borgerlige,90
Hillerød,1,Royal Stage,D_John_S._Falch,John S. Falch,Nye Borgerlige,1
Hillerød,1,Royal Stage,D_Martin_Vinther,Martin Vinther,Nye Borgerlige,21
Hillerød,1,Royal Stage,D_Kenn_Hadberg,Kenn Hadberg,Nye Borgerlige,3
Hillerød,1,Royal Stage,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,191
Hillerød,1,Royal Stage,F_Lars_Elbrandt,Lars Elbrandt,SF - Socialistisk Folkeparti,117
Hillerød,1,Royal Stage,F_Janne_Lunding_Olsen,Janne Lunding Olsen,SF - Socialistisk Folkeparti,73
Hillerød,1,Royal Stage,F_Mads_Munk_Hansen,Mads Munk Hansen,SF - Socialistisk Folkeparti,80
Hillerød,1,Royal Stage,F_Rasmus_Alexander_Meyer,Rasmus Alexander Meyer,SF - Socialistisk Folkeparti,12
Hillerød,1,Royal Stage,F_Flemming_Thornæs,Flemming Thornæs,SF - Socialistisk Folkeparti,19
Hillerød,1,Royal Stage,F_Rikke_Macholm,Rikke Macholm,SF - Socialistisk Folkeparti,40
Hillerød,1,Royal Stage,F_Michael_Liesk,Michael Liesk,SF - Socialistisk Folkeparti,41
Hillerød,1,Royal Stage,F_Silje_Brynildsen,Silje Brynildsen,SF - Socialistisk Folkeparti,3
Hillerød,1,Royal Stage,F_Søren_Lerche,Søren Lerche,SF - Socialistisk Folkeparti,173
Hillerød,1,Royal Stage,F_Laila_Dall,Laila Dall,SF - Socialistisk Folkeparti,11
Hillerød,1,Royal Stage,F_Peter_Langer,Peter Langer,SF - Socialistisk Folkeparti,59
Hillerød,1,Royal Stage,I_Listestemmer,Listestemmer,Liberal Alliance,38
Hillerød,1,Royal Stage,I_Elisabeth_Stieper_Tofte,Elisabeth Stieper Tofte,Liberal Alliance,54
Hillerød,1,Royal Stage,I_Ulrik_Ringgaard_Mathorne,Ulrik Ringgaard Mathorne,Liberal Alliance,4
Hillerød,1,Royal Stage,I_Martin_Plambæk,Martin Plambæk,Liberal Alliance,5
Hillerød,1,Royal Stage,K_Listestemmer,Listestemmer,Kristendemokraterne,12
Hillerød,1,Royal Stage,K_Henrik_Forsberg,Henrik Forsberg,Kristendemokraterne,16
Hillerød,1,Royal Stage,O_Listestemmer,Listestemmer,Dansk Folkeparti,47
Hillerød,1,Royal Stage,O_Lars_Ole_Skovgaard_Larsen,Lars Ole Skovgaard Larsen,Dansk Folkeparti,47
Hillerød,1,Royal Stage,O_Jette_Juul,Jette Juul,Dansk Folkeparti,37
Hillerød,1,Royal Stage,O_Henning_Westermann,Henning Westermann,Dansk Folkeparti,6
Hillerød,1,Royal Stage,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",224
Hillerød,1,Royal Stage,"V_Klaus_Markussen,_Hillerød","Klaus Markussen, Hillerød","Venstre, Danmarks Liberale Parti",239
Hillerød,1,Royal Stage,"V_Dan_Riise,_Skævinge","Dan Riise, Skævinge","Venstre, Danmarks Liberale Parti",55
Hillerød,1,Royal Stage,"V_Peter_Frederiksen,_Uvelse","Peter Frederiksen, Uvelse","Venstre, Danmarks Liberale Parti",4
Hillerød,1,Royal Stage,"V_Annette_Rieva,_Alsønderup","Annette Rieva, Alsønderup","Venstre, Danmarks Liberale Parti",42
Hillerød,1,Royal Stage,"V_Øzgen_Yücel,_Hillerød","Øzgen Yücel, Hillerød","Venstre, Danmarks Liberale Parti",47
Hillerød,1,Royal Stage,"V_Hanne_Kirkegaard,_Hillerød","Hanne Kirkegaard, Hillerød","Venstre, Danmarks Liberale Parti",38
Hillerød,1,Royal Stage,"V_Thomas_Elong,_Hillerød","Thomas Elong, Hillerød","Venstre, Danmarks Liberale Parti",134
Hillerød,1,Royal Stage,"V_Ole_Roed_Jakobsen,_Meløse","Ole Roed Jakobsen, Meløse","Venstre, Danmarks Liberale Parti",8
Hillerød,1,Royal Stage,"V_Louise_Diamant,_Hillerød","Louise Diamant, Hillerød","Venstre, Danmarks Liberale Parti",4
Hillerød,1,Royal Stage,"V_Dragan_Popovic,_Hillerød","Dragan Popovic, Hillerød","Venstre, Danmarks Liberale Parti",113
Hillerød,1,Royal Stage,"V_Pernille_Svarre,_Alsønderup","Pernille Svarre, Alsønderup","Venstre, Danmarks Liberale Parti",37
Hillerød,1,Royal Stage,"V_Frederik_Bang,_Hillerød","Frederik Bang, Hillerød","Venstre, Danmarks Liberale Parti",11
Hillerød,1,Royal Stage,"V_Peter_Lennø,_Hillerød","Peter Lennø, Hillerød","Venstre, Danmarks Liberale Parti",4
Hillerød,1,Royal Stage,"V_Mathias_Skarby,_Nørre_Herlev","Mathias Skarby, Nørre Herlev","Venstre, Danmarks Liberale Parti",4
Hillerød,1,Royal Stage,"V_Camilla_Kerlauge,_Hillerød","Camilla Kerlauge, Hillerød","Venstre, Danmarks Liberale Parti",14
Hillerød,1,Royal Stage,"V_Ole_Stark,_Harløse","Ole Stark, Harløse","Venstre, Danmarks Liberale Parti",6
Hillerød,1,Royal Stage,"V_Thomas_Petersen,_Hillerød","Thomas Petersen, Hillerød","Venstre, Danmarks Liberale Parti",8
Hillerød,1,Royal Stage,"V_René_Hamberg,_Hillerød","René Hamberg, Hillerød","Venstre, Danmarks Liberale Parti",2
Hillerød,1,Royal Stage,"V_Jens_Estrup,_Ullerød","Jens Estrup, Ullerød","Venstre, Danmarks Liberale Parti",5
Hillerød,1,Royal Stage,"V_René_Christensen,_Hillerød","René Christensen, Hillerød","Venstre, Danmarks Liberale Parti",3
Hillerød,1,Royal Stage,"V_Lorna_Birgitte_Rudd,_Nødebo","Lorna Birgitte Rudd, Nødebo","Venstre, Danmarks Liberale Parti",4
Hillerød,1,Royal Stage,"V_Sven_Lynge,_St._Lyngby","Sven Lynge, St. Lyngby","Venstre, Danmarks Liberale Parti",0
Hillerød,1,Royal Stage,"V_Torben_Rønne_Petersen,_Gørløse","Torben Rønne Petersen, Gørløse","Venstre, Danmarks Liberale Parti",0
Hillerød,1,Royal Stage,Æ_Listestemmer,Listestemmer,Frihedslisten,7
Hillerød,1,Royal Stage,Æ_Bjarne_Holm,Bjarne Holm,Frihedslisten,9
Hillerød,1,Royal Stage,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,155
Hillerød,1,Royal Stage,Ø_Tue_Tortzen,Tue Tortzen,Enhedslisten - De Rød-Grønne,140
Hillerød,1,Royal Stage,Ø_Sabri_Yilmaz,Sabri Yilmaz,Enhedslisten - De Rød-Grønne,26
Hillerød,1,Royal Stage,Ø_Anne_Mette_Isabel_Nielsen,Anne Mette Isabel Nielsen,Enhedslisten - De Rød-Grønne,49
Hillerød,1,Royal Stage,Ø_Hildur_Johnson,Hildur Johnson,Enhedslisten - De Rød-Grønne,37
Hillerød,1,Royal Stage,Ø_Karl_Erik_Rasmussen,Karl Erik Rasmussen,Enhedslisten - De Rød-Grønne,7
Hillerød,2,Hillerødsholmsskolen,A_Listestemmer,Listestemmer,Socialdemokratiet,281
Hillerød,2,Hillerødsholmsskolen,A_Kirsten_Jensen,Kirsten Jensen,Socialdemokratiet,476
Hillerød,2,Hillerødsholmsskolen,A_Thomas_Brücker,Thomas Brücker,Socialdemokratiet,25
Hillerød,2,Hillerødsholmsskolen,A_Louise_Colding,Louise Colding,Socialdemokratiet,34
Hillerød,2,Hillerødsholmsskolen,A_Susanne_Due_Kristensen,Susanne Due Kristensen,Socialdemokratiet,30
Hillerød,2,Hillerødsholmsskolen,A_Jamil_Cheheibar,Jamil Cheheibar,Socialdemokratiet,17
Hillerød,2,Hillerødsholmsskolen,A_Mie_Lausten,Mie Lausten,Socialdemokratiet,15
Hillerød,2,Hillerødsholmsskolen,A_Vivi_Wøldike,Vivi Wøldike,Socialdemokratiet,15
Hillerød,2,Hillerødsholmsskolen,A_Mathilde_Clauson-Kaas,Mathilde Clauson-Kaas,Socialdemokratiet,39
Hillerød,2,Hillerødsholmsskolen,A_Mustafa_Adham,Mustafa Adham,Socialdemokratiet,8
Hillerød,2,Hillerødsholmsskolen,A_Niels_Nedergaard,Niels Nedergaard,Socialdemokratiet,1
Hillerød,2,Hillerødsholmsskolen,A_Jens_Græsted,Jens Græsted,Socialdemokratiet,5
Hillerød,2,Hillerødsholmsskolen,A_Emil_Colding_Sørensen,Emil Colding Sørensen,Socialdemokratiet,13
Hillerød,2,Hillerødsholmsskolen,A_Ingo_Hvid,Ingo Hvid,Socialdemokratiet,32
Hillerød,2,Hillerødsholmsskolen,A_Heidi_Liljedahl,Heidi Liljedahl,Socialdemokratiet,5
Hillerød,2,Hillerødsholmsskolen,A_Kenneth_Østed,Kenneth Østed,Socialdemokratiet,0
Hillerød,2,Hillerødsholmsskolen,A_Nanna_Kjær,Nanna Kjær,Socialdemokratiet,12
Hillerød,2,Hillerødsholmsskolen,A_Peder_Bisgaard,Peder Bisgaard,Socialdemokratiet,24
Hillerød,2,Hillerødsholmsskolen,B_Listestemmer,Listestemmer,Radikale Venstre,77
Hillerød,2,Hillerødsholmsskolen,"B_Christina_Thorholm,_Nødebo","Christina Thorholm, Nødebo",Radikale Venstre,86
Hillerød,2,Hillerødsholmsskolen,"B_Jørgen_Suhr,_Hillerød_Vest","Jørgen Suhr, Hillerød Vest",Radikale Venstre,71
Hillerød,2,Hillerødsholmsskolen,"B_Charlotte_Kaufmanas,_Hillerød_Øst","Charlotte Kaufmanas, Hillerød Øst",Radikale Venstre,5
