kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Horsens,1,Sønderbro,A_Listestemmer,Listestemmer,Socialdemokratiet,252
Horsens,1,Sønderbro,A_Peter_Sørensen,Peter Sørensen,Socialdemokratiet,483
Horsens,1,Sønderbro,A_Andreas_Boesen,Andreas Boesen,Socialdemokratiet,52
Horsens,1,Sønderbro,A_Susan_Gyldenkilde,Susan Gyldenkilde,Socialdemokratiet,65
Horsens,1,Sønderbro,A_Niels_Peter_Bøgballe,Niels Peter Bøgballe,Socialdemokratiet,11
Horsens,1,Sønderbro,A_Lone_Blume,Lone Blume,Socialdemokratiet,20
Horsens,1,Sønderbro,A_Thomas_Monberg_Andersen,Thomas Monberg Andersen,Socialdemokratiet,39
Horsens,1,Sønderbro,A_Dennis_Hansen,Dennis Hansen,Socialdemokratiet,7
Horsens,1,Sønderbro,A_Bo_Skov_Johansen,Bo Skov Johansen,Socialdemokratiet,2
Horsens,1,Sønderbro,A_Fahreta_Kadic,Fahreta Kadic,Socialdemokratiet,29
Horsens,1,Sønderbro,A_Lone_Skriver,Lone Skriver,Socialdemokratiet,3
Horsens,1,Sønderbro,A_Piratheep_Rabindranath,Piratheep Rabindranath,Socialdemokratiet,133
Horsens,1,Sønderbro,A_Per_Andersen,Per Andersen,Socialdemokratiet,10
Horsens,1,Sønderbro,A_Nicolai_Krølbøll_Markussen,Nicolai Krølbøll Markussen,Socialdemokratiet,29
Horsens,1,Sønderbro,A_Peter_Sohn,Peter Sohn,Socialdemokratiet,17
Horsens,1,Sønderbro,A_Jeanette_Handberg,Jeanette Handberg,Socialdemokratiet,7
Horsens,1,Sønderbro,A_Anders_Vaagan,Anders Vaagan,Socialdemokratiet,32
Horsens,1,Sønderbro,A_Assia_Zouaoui,Assia Zouaoui,Socialdemokratiet,4
Horsens,1,Sønderbro,A_Lars_Skytte_Nielsen,Lars Skytte Nielsen,Socialdemokratiet,10
Horsens,1,Sønderbro,A_Jan_Koborg_Olsen,Jan Koborg Olsen,Socialdemokratiet,3
Horsens,1,Sønderbro,A_Heidi_Skovbølling_Holm,Heidi Skovbølling Holm,Socialdemokratiet,6
Horsens,1,Sønderbro,A_Anders_Bruun_Rasmussen,Anders Bruun Rasmussen,Socialdemokratiet,14
Horsens,1,Sønderbro,A_Birgitte_Timmermann_Nielsen,Birgitte Timmermann Nielsen,Socialdemokratiet,25
Horsens,1,Sønderbro,A_Raluca_Balogh,Raluca Balogh,Socialdemokratiet,15
Horsens,1,Sønderbro,A_Dan_Jeppesen,Dan Jeppesen,Socialdemokratiet,4
Horsens,1,Sønderbro,A_Jørn_Kildall,Jørn Kildall,Socialdemokratiet,3
Horsens,1,Sønderbro,A_Birthe_Knudsen,Birthe Knudsen,Socialdemokratiet,1
Horsens,1,Sønderbro,A_Saliem_H._Bader,Saliem H. Bader,Socialdemokratiet,25
Horsens,1,Sønderbro,A_Claus_Kvist_Hansen,Claus Kvist Hansen,Socialdemokratiet,4
Horsens,1,Sønderbro,A_Torben_Engholm,Torben Engholm,Socialdemokratiet,5
Horsens,1,Sønderbro,A_Kjeld_Søndergaard,Kjeld Søndergaard,Socialdemokratiet,1
Horsens,1,Sønderbro,B_Listestemmer,Listestemmer,Radikale Venstre,28
Horsens,1,Sønderbro,B_Niels_Voetmann_Jepsen,Niels Voetmann Jepsen,Radikale Venstre,17
Horsens,1,Sønderbro,B_Rikke_Christensen,Rikke Christensen,Radikale Venstre,18
Horsens,1,Sønderbro,B_Camilla_Rytter_Aaquist,Camilla Rytter Aaquist,Radikale Venstre,25
Horsens,1,Sønderbro,B_Børge_Sørensen,Børge Sørensen,Radikale Venstre,0
Horsens,1,Sønderbro,B_Jeannette_Refstrup,Jeannette Refstrup,Radikale Venstre,0
Horsens,1,Sønderbro,B_Sinnet_Ellehauge_Haag,Sinnet Ellehauge Haag,Radikale Venstre,2
Horsens,1,Sønderbro,B_Helle_Bækkelund_Sørensen,Helle Bækkelund Sørensen,Radikale Venstre,6
Horsens,1,Sønderbro,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,56
Horsens,1,Sønderbro,"C_Esben_Hedeager,_Horsens","Esben Hedeager, Horsens",Det Konservative Folkeparti,74
Horsens,1,Sønderbro,"C_Annette_Schulz_Jensen,_Serridslev","Annette Schulz Jensen, Serridslev",Det Konservative Folkeparti,31
Horsens,1,Sønderbro,"C_Jesper_Lienhøft,_Sattrup","Jesper Lienhøft, Sattrup",Det Konservative Folkeparti,1
Horsens,1,Sønderbro,"C_Anders_Krojgaard_Lund,_Stensballe","Anders Krojgaard Lund, Stensballe",Det Konservative Folkeparti,19
Horsens,1,Sønderbro,"C_Jens_Adamsen,_Horsens","Jens Adamsen, Horsens",Det Konservative Folkeparti,9
Horsens,1,Sønderbro,"C_Flemming_Ejlersen,_Stensballe","Flemming Ejlersen, Stensballe",Det Konservative Folkeparti,13
Horsens,1,Sønderbro,D_Listestemmer,Listestemmer,Nye Borgerlige,44
Horsens,1,Sønderbro,D_Søren_Lind_Jensen,Søren Lind Jensen,Nye Borgerlige,26
Horsens,1,Sønderbro,D_Jan_Skat_Riishøj,Jan Skat Riishøj,Nye Borgerlige,6
Horsens,1,Sønderbro,D_Annatina_S._J._Svensson,Annatina S. J. Svensson,Nye Borgerlige,6
Horsens,1,Sønderbro,D_Daniel_H._Willadsen,Daniel H. Willadsen,Nye Borgerlige,1
Horsens,1,Sønderbro,D_Christoffer_Thygesen,Christoffer Thygesen,Nye Borgerlige,4
Horsens,1,Sønderbro,D_Fred-Inge_Olsen,Fred-Inge Olsen,Nye Borgerlige,2
Horsens,1,Sønderbro,D_Sebastian_Højer_Andersen,Sebastian Højer Andersen,Nye Borgerlige,0
Horsens,1,Sønderbro,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,61
Horsens,1,Sønderbro,F_Paw_Amdisen,Paw Amdisen,SF - Socialistisk Folkeparti,51
Horsens,1,Sønderbro,F_Pernille_Holm,Pernille Holm,SF - Socialistisk Folkeparti,42
Horsens,1,Sønderbro,F_Adnan_Nikontovic,Adnan Nikontovic,SF - Socialistisk Folkeparti,20
Horsens,1,Sønderbro,F_Bettina_Mortensen,Bettina Mortensen,SF - Socialistisk Folkeparti,13
Horsens,1,Sønderbro,F_Per_Kirkeby,Per Kirkeby,SF - Socialistisk Folkeparti,9
Horsens,1,Sønderbro,F_Torben_Thomsen,Torben Thomsen,SF - Socialistisk Folkeparti,1
Horsens,1,Sønderbro,F_Margit_Erdmann,Margit Erdmann,SF - Socialistisk Folkeparti,0
Horsens,1,Sønderbro,F_Kirsten_Andersen,Kirsten Andersen,SF - Socialistisk Folkeparti,0
Horsens,1,Sønderbro,H_Listestemmer,Listestemmer,Miljølisten Horsens,8
Horsens,1,Sønderbro,H_Anni_Jakobsen,Anni Jakobsen,Miljølisten Horsens,11
Horsens,1,Sønderbro,I_Listestemmer,Listestemmer,Liberal Alliance,11
Horsens,1,Sønderbro,"I_Jakob_Bille,_Stensballe","Jakob Bille, Stensballe",Liberal Alliance,21
Horsens,1,Sønderbro,"I_Niki_Paaske_Jensen,_Østerhåb","Niki Paaske Jensen, Østerhåb",Liberal Alliance,7
Horsens,1,Sønderbro,"I_Claus_Lassen,_Torsted","Claus Lassen, Torsted",Liberal Alliance,4
Horsens,1,Sønderbro,"I_Steffen_Jespersen,_Østbyen","Steffen Jespersen, Østbyen",Liberal Alliance,1
Horsens,1,Sønderbro,"I_Magnus_Nielsen,_Horsens_C","Magnus Nielsen, Horsens C",Liberal Alliance,9
Horsens,1,Sønderbro,K_Listestemmer,Listestemmer,Kristendemokraterne,2
Horsens,1,Sønderbro,"K_Matthias_Ripley_Eilsøe,_Horsens","Matthias Ripley Eilsøe, Horsens",Kristendemokraterne,0
Horsens,1,Sønderbro,"K_Simon_Overby_Kristensen,_Brædstrup","Simon Overby Kristensen, Brædstrup",Kristendemokraterne,3
Horsens,1,Sønderbro,M_Listestemmer,Listestemmer,Maren Spliid Gruppen,1
Horsens,1,Sønderbro,M_Birgit_Skovgaard,Birgit Skovgaard,Maren Spliid Gruppen,8
Horsens,1,Sønderbro,M_Henrik_Poulsen,Henrik Poulsen,Maren Spliid Gruppen,0
Horsens,1,Sønderbro,O_Listestemmer,Listestemmer,Dansk Folkeparti,65
Horsens,1,Sønderbro,O_Michael_Nedersøe,Michael Nedersøe,Dansk Folkeparti,79
Horsens,1,Sønderbro,O_Louise_Lange,Louise Lange,Dansk Folkeparti,13
Horsens,1,Sønderbro,O_Dennis_Rosenberg_Ulrich,Dennis Rosenberg Ulrich,Dansk Folkeparti,8
Horsens,1,Sønderbro,O_Kim_Bach_Hansen,Kim Bach Hansen,Dansk Folkeparti,7
Horsens,1,Sønderbro,O_Dan_Andreasen,Dan Andreasen,Dansk Folkeparti,2
Horsens,1,Sønderbro,O_Susanna_Uhrskov,Susanna Uhrskov,Dansk Folkeparti,0
Horsens,1,Sønderbro,O_Ole_Brandt_Hansen,Ole Brandt Hansen,Dansk Folkeparti,0
Horsens,1,Sønderbro,O_Susan_Reinholdt,Susan Reinholdt,Dansk Folkeparti,0
Horsens,1,Sønderbro,O_Søren_Laursen,Søren Laursen,Dansk Folkeparti,0
Horsens,1,Sønderbro,O_Michael_Bjerg_Hansen,Michael Bjerg Hansen,Dansk Folkeparti,3
Horsens,1,Sønderbro,P_Listestemmer,Listestemmer,Frie Danske,1
Horsens,1,Sønderbro,"P_Jens_Tirsvad,_Horsens","Jens Tirsvad, Horsens",Frie Danske,4
Horsens,1,Sønderbro,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",119
Horsens,1,Sønderbro,V_Martin_Ravn,Martin Ravn,"Venstre, Danmarks Liberale Parti",232
Horsens,1,Sønderbro,V_Jørgen_Korshøj,Jørgen Korshøj,"Venstre, Danmarks Liberale Parti",7
Horsens,1,Sønderbro,V_Bjarke_Ilkjær,Bjarke Ilkjær,"Venstre, Danmarks Liberale Parti",9
Horsens,1,Sønderbro,V_Jesper_Bendtsen,Jesper Bendtsen,"Venstre, Danmarks Liberale Parti",1
Horsens,1,Sønderbro,V_Irene_Simonsen,Irene Simonsen,"Venstre, Danmarks Liberale Parti",45
Horsens,1,Sønderbro,V_Ole_Dahl_Kristensen,Ole Dahl Kristensen,"Venstre, Danmarks Liberale Parti",11
Horsens,1,Sønderbro,V_Stephan_Arnold,Stephan Arnold,"Venstre, Danmarks Liberale Parti",9
Horsens,1,Sønderbro,V_Finn_Pedersen,Finn Pedersen,"Venstre, Danmarks Liberale Parti",7
Horsens,1,Sønderbro,V_Niels_Povlsgaard,Niels Povlsgaard,"Venstre, Danmarks Liberale Parti",10
Horsens,1,Sønderbro,V_Allan_Hjorth,Allan Hjorth,"Venstre, Danmarks Liberale Parti",12
