kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Kalundborg,1,Snertinge,A_Listestemmer,Listestemmer,Socialdemokratiet,136
Kalundborg,1,Snertinge,A_Tina_Beck-Nilsson,Tina Beck-Nilsson,Socialdemokratiet,97
Kalundborg,1,Snertinge,A_Kirsten_Rask,Kirsten Rask,Socialdemokratiet,18
Kalundborg,1,Snertinge,A_Gunver_Jensen,Gunver Jensen,Socialdemokratiet,31
Kalundborg,1,Snertinge,A_Nikolaj_Lykke_Vad,Nikolaj Lykke Vad,Socialdemokratiet,13
Kalundborg,1,Snertinge,A_Kristine_Vesterskov_Olsen,Kristine Vesterskov Olsen,Socialdemokratiet,12
Kalundborg,1,Snertinge,A_Esben_Hansen,Esben Hansen,Socialdemokratiet,7
Kalundborg,1,Snertinge,A_Hanne_Olesen,Hanne Olesen,Socialdemokratiet,3
Kalundborg,1,Snertinge,A_Marianne_Madsen,Marianne Madsen,Socialdemokratiet,6
Kalundborg,1,Snertinge,A_Aase_Due,Aase Due,Socialdemokratiet,5
Kalundborg,1,Snertinge,A_Jonas_Henriksen,Jonas Henriksen,Socialdemokratiet,0
Kalundborg,1,Snertinge,A_Sylvester_Agbedoglo,Sylvester Agbedoglo,Socialdemokratiet,4
Kalundborg,1,Snertinge,A_Kathrin_Kok,Kathrin Kok,Socialdemokratiet,4
Kalundborg,1,Snertinge,A_Michael_Ahrenkiel,Michael Ahrenkiel,Socialdemokratiet,5
Kalundborg,1,Snertinge,A_Steffen_Bagger,Steffen Bagger,Socialdemokratiet,3
Kalundborg,1,Snertinge,A_Per_Kjær_Erichsen,Per Kjær Erichsen,Socialdemokratiet,6
Kalundborg,1,Snertinge,A_Robin_Ringvig_Larsen,Robin Ringvig Larsen,Socialdemokratiet,1
Kalundborg,1,Snertinge,B_Listestemmer,Listestemmer,Radikale Venstre,13
Kalundborg,1,Snertinge,"B_Hans_Munk,_Røsnæs","Hans Munk, Røsnæs",Radikale Venstre,9
Kalundborg,1,Snertinge,"B_Michael_Augustine,_Værslev","Michael Augustine, Værslev",Radikale Venstre,2
Kalundborg,1,Snertinge,"B_Mette_Hvid_Brockmann,_Havnsø","Mette Hvid Brockmann, Havnsø",Radikale Venstre,46
Kalundborg,1,Snertinge,"B_Jeppe_Sørensen,_Kalundborg","Jeppe Sørensen, Kalundborg",Radikale Venstre,2
Kalundborg,1,Snertinge,"B_Ejnar_Jensen,_Sønderød","Ejnar Jensen, Sønderød",Radikale Venstre,0
Kalundborg,1,Snertinge,"B_Mia_Reesen,_Kærby","Mia Reesen, Kærby",Radikale Venstre,2
Kalundborg,1,Snertinge,"B_Povl_Barfod,_Røsnæs","Povl Barfod, Røsnæs",Radikale Venstre,0
Kalundborg,1,Snertinge,"B_Teresemarie_Lisiux,_Kalundborg","Teresemarie Lisiux, Kalundborg",Radikale Venstre,2
Kalundborg,1,Snertinge,"B_Eline_Poulsen_Nielsen,_Høng","Eline Poulsen Nielsen, Høng",Radikale Venstre,0
Kalundborg,1,Snertinge,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,34
Kalundborg,1,Snertinge,"C_Jesper_Wienmann_Hansen,_Høng","Jesper Wienmann Hansen, Høng",Det Konservative Folkeparti,9
Kalundborg,1,Snertinge,"C_Jesper_Hansen,_Kalundborg","Jesper Hansen, Kalundborg",Det Konservative Folkeparti,21
Kalundborg,1,Snertinge,"C_Ulrik_Pitzner-Christiansen,_Høng","Ulrik Pitzner-Christiansen, Høng",Det Konservative Folkeparti,4
Kalundborg,1,Snertinge,"C_Victor_Hvistendal,_Snertinge","Victor Hvistendal, Snertinge",Det Konservative Folkeparti,12
Kalundborg,1,Snertinge,"C_Ole_Lauritzen,_Kalundborg","Ole Lauritzen, Kalundborg",Det Konservative Folkeparti,0
Kalundborg,1,Snertinge,"C_Anne_Grete_Madsen,_Svebølle","Anne Grete Madsen, Svebølle",Det Konservative Folkeparti,1
Kalundborg,1,Snertinge,"C_Mette_Schmidt,_Ubby","Mette Schmidt, Ubby",Det Konservative Folkeparti,4
Kalundborg,1,Snertinge,D_Listestemmer,Listestemmer,Nye Borgerlige,47
Kalundborg,1,Snertinge,D_Tonny_Voldby_Pedersen,Tonny Voldby Pedersen,Nye Borgerlige,21
Kalundborg,1,Snertinge,D_Henriette_Ergemann,Henriette Ergemann,Nye Borgerlige,50
Kalundborg,1,Snertinge,D_Anders_Kjærulff,Anders Kjærulff,Nye Borgerlige,8
Kalundborg,1,Snertinge,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,23
Kalundborg,1,Snertinge,"F_Thomas_M._Hiorth,_Svebølle","Thomas M. Hiorth, Svebølle",SF - Socialistisk Folkeparti,32
Kalundborg,1,Snertinge,"F_Jonas_Ghiyati,_Raklev","Jonas Ghiyati, Raklev",SF - Socialistisk Folkeparti,12
Kalundborg,1,Snertinge,"F_Eva_Levinsen,_Røsnæs","Eva Levinsen, Røsnæs",SF - Socialistisk Folkeparti,5
Kalundborg,1,Snertinge,"F_Morten_Larsen,_Kalundborg","Morten Larsen, Kalundborg",SF - Socialistisk Folkeparti,1
Kalundborg,1,Snertinge,"F_Stella_G._Larsen,_Kalundborg","Stella G. Larsen, Kalundborg",SF - Socialistisk Folkeparti,4
Kalundborg,1,Snertinge,"F_Kristina_Püschl,_Kalundborg","Kristina Püschl, Kalundborg",SF - Socialistisk Folkeparti,4
Kalundborg,1,Snertinge,"F_Mogens_Volden,_Bjergsted","Mogens Volden, Bjergsted",SF - Socialistisk Folkeparti,10
Kalundborg,1,Snertinge,"F_Anne_Lise_Vinther,_Reerslev","Anne Lise Vinther, Reerslev",SF - Socialistisk Folkeparti,0
Kalundborg,1,Snertinge,"F_Dannie_Cuber,_Kalundborg","Dannie Cuber, Kalundborg",SF - Socialistisk Folkeparti,2
Kalundborg,1,Snertinge,"F_Rune_Halskov,_Gørlev","Rune Halskov, Gørlev",SF - Socialistisk Folkeparti,0
Kalundborg,1,Snertinge,H_Listestemmer,Listestemmer,Demokratisk Fællesliste,2
Kalundborg,1,Snertinge,H_Gert_Larsen,Gert Larsen,Demokratisk Fællesliste,10
Kalundborg,1,Snertinge,H_Allan_Orris,Allan Orris,Demokratisk Fællesliste,10
Kalundborg,1,Snertinge,H_Tina_Mathiesen,Tina Mathiesen,Demokratisk Fællesliste,1
Kalundborg,1,Snertinge,H_Katja_Kristjansen,Katja Kristjansen,Demokratisk Fællesliste,2
Kalundborg,1,Snertinge,H_Olejørk_Olsen,Olejørk Olsen,Demokratisk Fællesliste,3
Kalundborg,1,Snertinge,H_Lars_Christian_Nielsen,Lars Christian Nielsen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Mikkel_Norman_Knudsen,Mikkel Norman Knudsen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Kristina_Klint_Pedersen,Kristina Klint Pedersen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Lone_Andersen,Lone Andersen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Ole_Andersen,Ole Andersen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_René_Jensen,René Jensen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_John_Klavsen,John Klavsen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Lasse_Mathiesen,Lasse Mathiesen,Demokratisk Fællesliste,1
Kalundborg,1,Snertinge,H_Laura_Bysted,Laura Bysted,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Lisbeth_Filthuth,Lisbeth Filthuth,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Gitte_Klavsen,Gitte Klavsen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Anders_Jacobsen,Anders Jacobsen,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,H_Lene_Hornbæk,Lene Hornbæk,Demokratisk Fællesliste,0
Kalundborg,1,Snertinge,I_Listestemmer,Listestemmer,Liberal Alliance,2
Kalundborg,1,Snertinge,"I_Lasse_Jensen,_Høng","Lasse Jensen, Høng",Liberal Alliance,0
Kalundborg,1,Snertinge,O_Listestemmer,Listestemmer,Dansk Folkeparti,53
Kalundborg,1,Snertinge,O_Peter_Jacobsen,Peter Jacobsen,Dansk Folkeparti,52
Kalundborg,1,Snertinge,O_Martin_Schwartzbach,Martin Schwartzbach,Dansk Folkeparti,8
Kalundborg,1,Snertinge,O_Anne_Marie_Hansen,Anne Marie Hansen,Dansk Folkeparti,27
Kalundborg,1,Snertinge,O_Hans_Kurt_Jørgensen,Hans Kurt Jørgensen,Dansk Folkeparti,3
Kalundborg,1,Snertinge,O_Peer_Justesen,Peer Justesen,Dansk Folkeparti,1
Kalundborg,1,Snertinge,O_John_Vind,John Vind,Dansk Folkeparti,21
Kalundborg,1,Snertinge,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",49
Kalundborg,1,Snertinge,V_Martin_Damm,Martin Damm,"Venstre, Danmarks Liberale Parti",209
Kalundborg,1,Snertinge,V_Gitte_Johansen,Gitte Johansen,"Venstre, Danmarks Liberale Parti",7
Kalundborg,1,Snertinge,V_Anne_E._Jensen,Anne E. Jensen,"Venstre, Danmarks Liberale Parti",5
Kalundborg,1,Snertinge,V_Kristian_Kallenbach,Kristian Kallenbach,"Venstre, Danmarks Liberale Parti",357
Kalundborg,1,Snertinge,V_Jacqueline_Hersing,Jacqueline Hersing,"Venstre, Danmarks Liberale Parti",10
Kalundborg,1,Snertinge,V_Søren_Vang_Fischer,Søren Vang Fischer,"Venstre, Danmarks Liberale Parti",0
Kalundborg,1,Snertinge,V_Jakob_Beck_Jensen,Jakob Beck Jensen,"Venstre, Danmarks Liberale Parti",4
Kalundborg,1,Snertinge,V_Karl-Åge_Hornshøj_Poulsen,Karl-Åge Hornshøj Poulsen,"Venstre, Danmarks Liberale Parti",3
Kalundborg,1,Snertinge,V_Bodil_Hellemann,Bodil Hellemann,"Venstre, Danmarks Liberale Parti",4
Kalundborg,1,Snertinge,V_Cathrine_Sinding,Cathrine Sinding,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,V_Niels-Erik_Sørensen,Niels-Erik Sørensen,"Venstre, Danmarks Liberale Parti",8
Kalundborg,1,Snertinge,V_Andreas_Hastrup,Andreas Hastrup,"Venstre, Danmarks Liberale Parti",5
Kalundborg,1,Snertinge,V_Thomas_Pedersen,Thomas Pedersen,"Venstre, Danmarks Liberale Parti",0
Kalundborg,1,Snertinge,V_Dan_Hansen,Dan Hansen,"Venstre, Danmarks Liberale Parti",0
Kalundborg,1,Snertinge,V_Peter_Rasmussen,Peter Rasmussen,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,V_Mustapha_Badr,Mustapha Badr,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,V_Thor_Johannessen,Thor Johannessen,"Venstre, Danmarks Liberale Parti",0
Kalundborg,1,Snertinge,V_Torben_Toft_Andersen,Torben Toft Andersen,"Venstre, Danmarks Liberale Parti",3
Kalundborg,1,Snertinge,V_Mads_Olsen,Mads Olsen,"Venstre, Danmarks Liberale Parti",3
Kalundborg,1,Snertinge,V_Søren_Bang_Knudsen,Søren Bang Knudsen,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,V_Claus_Toftegaard,Claus Toftegaard,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,V_Jimmy_Sørensen,Jimmy Sørensen,"Venstre, Danmarks Liberale Parti",1
Kalundborg,1,Snertinge,Æ_Listestemmer,Listestemmer,Frihedslisten,3
Kalundborg,1,Snertinge,"Æ_Bente_Jilsø,_Høng","Bente Jilsø, Høng",Frihedslisten,8
Kalundborg,1,Snertinge,"Æ_Hasse_Jensen,_Værslev","Hasse Jensen, Værslev",Frihedslisten,4
Kalundborg,1,Snertinge,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,54
Kalundborg,1,Snertinge,"Ø_Niels_Erik_Danielsen,_Høng","Niels Erik Danielsen, Høng",Enhedslisten - De Rød-Grønne,23
Kalundborg,1,Snertinge,"Ø_Regine_Andreasen,_Høng","Regine Andreasen, Høng",Enhedslisten - De Rød-Grønne,18
Kalundborg,1,Snertinge,"Ø_Jørgen_Randløv_Madsen,_Dianalund","Jørgen Randløv Madsen, Dianalund",Enhedslisten - De Rød-Grønne,3
Kalundborg,1,Snertinge,"Ø_Susanne_Brix_Fransen,_Kalundborg","Susanne Brix Fransen, Kalundborg",Enhedslisten - De Rød-Grønne,21
Kalundborg,1,Snertinge,"Ø_Jens_Pihlkjær_Christensen,_Buerup","Jens Pihlkjær Christensen, Buerup",Enhedslisten - De Rød-Grønne,2
Kalundborg,2,Sejerø,A_Listestemmer,Listestemmer,Socialdemokratiet,16
Kalundborg,2,Sejerø,A_Tina_Beck-Nilsson,Tina Beck-Nilsson,Socialdemokratiet,9
Kalundborg,2,Sejerø,A_Kirsten_Rask,Kirsten Rask,Socialdemokratiet,2
Kalundborg,2,Sejerø,A_Gunver_Jensen,Gunver Jensen,Socialdemokratiet,1
