kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Lolland,1,Errindlev,A_Listestemmer,Listestemmer,Socialdemokratiet,34
Lolland,1,Errindlev,A_Holger_Schou_Rasmussen,Holger Schou Rasmussen,Socialdemokratiet,85
Lolland,1,Errindlev,A_Vibeke_Grave,Vibeke Grave,Socialdemokratiet,7
Lolland,1,Errindlev,A_Steffen_Rasmussen,Steffen Rasmussen,Socialdemokratiet,1
Lolland,1,Errindlev,A_Thomas_Østergaard,Thomas Østergaard,Socialdemokratiet,1
Lolland,1,Errindlev,A_Leif_Utermöhl,Leif Utermöhl,Socialdemokratiet,0
Lolland,1,Errindlev,A_Martin_Boesen,Martin Boesen,Socialdemokratiet,15
Lolland,1,Errindlev,A_Michael_Knudsen,Michael Knudsen,Socialdemokratiet,1
Lolland,1,Errindlev,A_Gry_Hernø,Gry Hernø,Socialdemokratiet,2
Lolland,1,Errindlev,A_Klaus_Frederik_Svensson,Klaus Frederik Svensson,Socialdemokratiet,0
Lolland,1,Errindlev,A_Jørgen_Rassi_Rasmussen,Jørgen Rassi Rasmussen,Socialdemokratiet,0
Lolland,1,Errindlev,A_Morten_Nielsen,Morten Nielsen,Socialdemokratiet,1
Lolland,1,Errindlev,A_Muj_Berisha,Muj Berisha,Socialdemokratiet,1
Lolland,1,Errindlev,A_Heidi_Marqweis,Heidi Marqweis,Socialdemokratiet,2
Lolland,1,Errindlev,A_Niels_Christian_Devantier,Niels Christian Devantier,Socialdemokratiet,0
Lolland,1,Errindlev,A_Diana_Leicht_Christensen,Diana Leicht Christensen,Socialdemokratiet,2
Lolland,1,Errindlev,A_Thomas_Ploug-Madsen,Thomas Ploug-Madsen,Socialdemokratiet,0
Lolland,1,Errindlev,A_Dan_Brinckmann,Dan Brinckmann,Socialdemokratiet,1
Lolland,1,Errindlev,A_Kenneth_Reick_Nielsen,Kenneth Reick Nielsen,Socialdemokratiet,0
Lolland,1,Errindlev,A_Lasse_Falster,Lasse Falster,Socialdemokratiet,1
Lolland,1,Errindlev,A_Ann-Britt_Lærkedahl,Ann-Britt Lærkedahl,Socialdemokratiet,6
Lolland,1,Errindlev,A_Bodil_Waagensen,Bodil Waagensen,Socialdemokratiet,1
Lolland,1,Errindlev,B_Listestemmer,Listestemmer,Radikale Venstre,1
Lolland,1,Errindlev,B_Kristian_Stokholm,Kristian Stokholm,Radikale Venstre,0
Lolland,1,Errindlev,B_Claus_Brandt_Kristensen,Claus Brandt Kristensen,Radikale Venstre,0
Lolland,1,Errindlev,B_Talat_Hussain,Talat Hussain,Radikale Venstre,0
Lolland,1,Errindlev,B_Kenan_Bajric,Kenan Bajric,Radikale Venstre,0
Lolland,1,Errindlev,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,8
Lolland,1,Errindlev,"C_Henrik_Jacobsen,_Maribo","Henrik Jacobsen, Maribo",Det Konservative Folkeparti,6
Lolland,1,Errindlev,"C_Anna_Arnecke,_Nakskov","Anna Arnecke, Nakskov",Det Konservative Folkeparti,1
Lolland,1,Errindlev,"C_Anne_Hopkins,_Dannemare","Anne Hopkins, Dannemare",Det Konservative Folkeparti,0
Lolland,1,Errindlev,"C_Martin_Stentebjerg,_Holeby","Martin Stentebjerg, Holeby",Det Konservative Folkeparti,7
Lolland,1,Errindlev,"C_Klaus_Møller,_Nakskov","Klaus Møller, Nakskov",Det Konservative Folkeparti,0
Lolland,1,Errindlev,"C_Roman_Smigielski,_Holeby","Roman Smigielski, Holeby",Det Konservative Folkeparti,2
Lolland,1,Errindlev,"C_Erik_Poulsen,_Rødby","Erik Poulsen, Rødby",Det Konservative Folkeparti,2
Lolland,1,Errindlev,"C_Lars_Buhl,_Rødby","Lars Buhl, Rødby",Det Konservative Folkeparti,1
Lolland,1,Errindlev,D_Listestemmer,Listestemmer,Nye Borgerlige,9
Lolland,1,Errindlev,D_Anne_Raft,Anne Raft,Nye Borgerlige,6
Lolland,1,Errindlev,D_Steen_Nielsen,Steen Nielsen,Nye Borgerlige,3
Lolland,1,Errindlev,D_Jørgen_Mortensen,Jørgen Mortensen,Nye Borgerlige,0
Lolland,1,Errindlev,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,9
Lolland,1,Errindlev,F_Lars_Christiansen,Lars Christiansen,SF - Socialistisk Folkeparti,4
Lolland,1,Errindlev,F_Frank_Gravesen,Frank Gravesen,SF - Socialistisk Folkeparti,0
Lolland,1,Errindlev,F_Jørgen_Olsen,Jørgen Olsen,SF - Socialistisk Folkeparti,0
Lolland,1,Errindlev,F_Goran_Smailagic,Goran Smailagic,SF - Socialistisk Folkeparti,0
Lolland,1,Errindlev,F_Casper_Løje_Pedersen,Casper Løje Pedersen,SF - Socialistisk Folkeparti,1
Lolland,1,Errindlev,H_Listestemmer,Listestemmer,Din Stemme,2
Lolland,1,Errindlev,"H_Henning_Alfred_Rasmussen,_Bursø","Henning Alfred Rasmussen, Bursø",Din Stemme,21
Lolland,1,Errindlev,"H_Marie-Louise_Brehm_Nielsen,_Sølles","Marie-Louise Brehm Nielsen, Sølles",Din Stemme,2
Lolland,1,Errindlev,"H_Birgit_Møgelmose,_Vestenskov","Birgit Møgelmose, Vestenskov",Din Stemme,0
Lolland,1,Errindlev,"H_Anette_Knoblauch,_Søllested","Anette Knoblauch, Søllested",Din Stemme,0
Lolland,1,Errindlev,"H_Peter_Friis,_Nakskov","Peter Friis, Nakskov",Din Stemme,0
Lolland,1,Errindlev,"H_Erhardt_Tonnesen,_Holeby","Erhardt Tonnesen, Holeby",Din Stemme,4
Lolland,1,Errindlev,"H_Jette_Hansen,_Nakskov","Jette Hansen, Nakskov",Din Stemme,0
Lolland,1,Errindlev,"H_Halil_Saitovic,_Nakskov","Halil Saitovic, Nakskov",Din Stemme,0
Lolland,1,Errindlev,"H_Stine_Skøtt_Olsen,_Bandholm","Stine Skøtt Olsen, Bandholm",Din Stemme,0
Lolland,1,Errindlev,J_Listestemmer,Listestemmer,Vestfronten,0
Lolland,1,Errindlev,"J_Anders_Bo,_Nakskov","Anders Bo, Nakskov",Vestfronten,0
Lolland,1,Errindlev,"J_Torben_Hansen,_Nakskov","Torben Hansen, Nakskov",Vestfronten,0
Lolland,1,Errindlev,"J_Susanna_Antoniussen,_Nakskov","Susanna Antoniussen, Nakskov",Vestfronten,0
Lolland,1,Errindlev,L_Listestemmer,Listestemmer,Lokallisten Lolland,3
Lolland,1,Errindlev,L_Leo_Christensen,Leo Christensen,Lokallisten Lolland,0
Lolland,1,Errindlev,L_Tomoko_Nielsen,Tomoko Nielsen,Lokallisten Lolland,5
Lolland,1,Errindlev,L_Niels_Nielsen,Niels Nielsen,Lokallisten Lolland,1
Lolland,1,Errindlev,L_Jørgen_Andersen,Jørgen Andersen,Lokallisten Lolland,0
Lolland,1,Errindlev,L_Linda_Sommer,Linda Sommer,Lokallisten Lolland,3
Lolland,1,Errindlev,L_Karsten_Vie,Karsten Vie,Lokallisten Lolland,0
Lolland,1,Errindlev,L_Jonas_Sylvester_Kaspersen,Jonas Sylvester Kaspersen,Lokallisten Lolland,1
Lolland,1,Errindlev,N_Listestemmer,Listestemmer,Nakskov listen,0
