kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Mariagerfjord,2,Assens,A_Listestemmer,Listestemmer,Socialdemokratiet,111
Mariagerfjord,2,Assens,A_Leif_Skaarup,Leif Skaarup,Socialdemokratiet,116
Mariagerfjord,2,Assens,A_Per_Husted,Per Husted,Socialdemokratiet,43
Mariagerfjord,2,Assens,A_Edin_Hajder,Edin Hajder,Socialdemokratiet,6
Mariagerfjord,2,Assens,A_Mette_Binderup,Mette Binderup,Socialdemokratiet,8
Mariagerfjord,2,Assens,A_Karen_Østergaard,Karen Østergaard,Socialdemokratiet,17
Mariagerfjord,2,Assens,A_Lene_Nielsen,Lene Nielsen,Socialdemokratiet,5
Mariagerfjord,2,Assens,A_Trine_Blaabjerg_Petersen,Trine Blaabjerg Petersen,Socialdemokratiet,5
Mariagerfjord,2,Assens,A_Peter_Muhl,Peter Muhl,Socialdemokratiet,5
Mariagerfjord,2,Assens,A_Rikke_Fonnesbæk,Rikke Fonnesbæk,Socialdemokratiet,0
Mariagerfjord,2,Assens,A_Jane_Grøn,Jane Grøn,Socialdemokratiet,17
Mariagerfjord,2,Assens,A_Jens_Riise_Dalgaard,Jens Riise Dalgaard,Socialdemokratiet,0
Mariagerfjord,2,Assens,A_Dorthe_Boddum,Dorthe Boddum,Socialdemokratiet,1
Mariagerfjord,2,Assens,A_Pia_Brøndum,Pia Brøndum,Socialdemokratiet,47
Mariagerfjord,2,Assens,A_Niels_Peter_Christoffersen,Niels Peter Christoffersen,Socialdemokratiet,1
Mariagerfjord,2,Assens,A_Faketa_Leto,Faketa Leto,Socialdemokratiet,12
Mariagerfjord,2,Assens,A_Helle_Qvist_Toft,Helle Qvist Toft,Socialdemokratiet,1
Mariagerfjord,2,Assens,A_Per_Søndergaard_Mathiesen,Per Søndergaard Mathiesen,Socialdemokratiet,2
Mariagerfjord,2,Assens,A_Alexander_A._Hansen,Alexander A. Hansen,Socialdemokratiet,16
Mariagerfjord,2,Assens,A_Jesper_Helbo_Vinther,Jesper Helbo Vinther,Socialdemokratiet,0
Mariagerfjord,2,Assens,A_Peter_Ruberg_Kristensen,Peter Ruberg Kristensen,Socialdemokratiet,2
Mariagerfjord,2,Assens,A_Thomas_Høj,Thomas Høj,Socialdemokratiet,15
Mariagerfjord,2,Assens,A_Ole_Jakobsen,Ole Jakobsen,Socialdemokratiet,0
Mariagerfjord,2,Assens,B_Listestemmer,Listestemmer,Radikale Venstre,3
Mariagerfjord,2,Assens,"B_Jens_Lykke,_Hobro","Jens Lykke, Hobro",Radikale Venstre,7
Mariagerfjord,2,Assens,"B_Heidi_Vive,_Hobro","Heidi Vive, Hobro",Radikale Venstre,2
Mariagerfjord,2,Assens,"B_Thorbjørn_Aagaard,_Hadsund","Thorbjørn Aagaard, Hadsund",Radikale Venstre,2
Mariagerfjord,2,Assens,"B_Peter_Carstensen,_Valsgård","Peter Carstensen, Valsgård",Radikale Venstre,0
Mariagerfjord,2,Assens,"B_Maren_Tang,_Rostrup","Maren Tang, Rostrup",Radikale Venstre,0
Mariagerfjord,2,Assens,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,16
Mariagerfjord,2,Assens,"C_Jens-Henrik_Kirk,_Mariager","Jens-Henrik Kirk, Mariager",Det Konservative Folkeparti,22
Mariagerfjord,2,Assens,"C_Christian_Johnson,_Hobro","Christian Johnson, Hobro",Det Konservative Folkeparti,4
Mariagerfjord,2,Assens,"C_Jytte_Birkkjær,_Hadsund","Jytte Birkkjær, Hadsund",Det Konservative Folkeparti,1
Mariagerfjord,2,Assens,"C_Lise-Lotte_Wagner,_Hobro","Lise-Lotte Wagner, Hobro",Det Konservative Folkeparti,0
Mariagerfjord,2,Assens,"C_Laura_Holm,_Norup","Laura Holm, Norup",Det Konservative Folkeparti,163
Mariagerfjord,2,Assens,"C_Simon_Linde,_Mariager","Simon Linde, Mariager",Det Konservative Folkeparti,3
Mariagerfjord,2,Assens,"C_Belinda_Vendelbo,_Veddum","Belinda Vendelbo, Veddum",Det Konservative Folkeparti,3
Mariagerfjord,2,Assens,"C_Bent_Verner_Madsen,_Helberskov","Bent Verner Madsen, Helberskov",Det Konservative Folkeparti,0
Mariagerfjord,2,Assens,"C_Karsten_Elkjær,_Hadsund","Karsten Elkjær, Hadsund",Det Konservative Folkeparti,1
Mariagerfjord,2,Assens,D_Listestemmer,Listestemmer,Nye Borgerlige,22
Mariagerfjord,2,Assens,"D_Per_de_Fries,_Nebstrup","Per de Fries, Nebstrup",Nye Borgerlige,20
Mariagerfjord,2,Assens,"D_Emma_Houe_Mølgaard,_Vebbestrup","Emma Houe Mølgaard, Vebbestrup",Nye Borgerlige,10
Mariagerfjord,2,Assens,"D_Søren_Klein,_Hobro","Søren Klein, Hobro",Nye Borgerlige,2
Mariagerfjord,2,Assens,"D_Finn_Kjems,_Hadsund","Finn Kjems, Hadsund",Nye Borgerlige,4
Mariagerfjord,2,Assens,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,19
Mariagerfjord,2,Assens,"F_Peder_Larsen,_Mariager","Peder Larsen, Mariager",SF - Socialistisk Folkeparti,46
Mariagerfjord,2,Assens,"F_Thorbjørn_Boldsen,_Hobro","Thorbjørn Boldsen, Hobro",SF - Socialistisk Folkeparti,1
Mariagerfjord,2,Assens,"F_Malene_Platz,_Hobro","Malene Platz, Hobro",SF - Socialistisk Folkeparti,5
Mariagerfjord,2,Assens,"F_Dennis_Okkerholm,_Onsild","Dennis Okkerholm, Onsild",SF - Socialistisk Folkeparti,1
Mariagerfjord,2,Assens,"F_Jonna_Lauritsen,_Mariager","Jonna Lauritsen, Mariager",SF - Socialistisk Folkeparti,6
Mariagerfjord,2,Assens,K_Listestemmer,Listestemmer,Kristendemokraterne,0
Mariagerfjord,2,Assens,K_Hanna-Maria_Lyng,Hanna-Maria Lyng,Kristendemokraterne,4
Mariagerfjord,2,Assens,K_Charlotte_Greibe,Charlotte Greibe,Kristendemokraterne,1
Mariagerfjord,2,Assens,M_Listestemmer,Listestemmer,Mariagerfjordlisten,6
Mariagerfjord,2,Assens,"M_Svend_Madsen,_Hobro","Svend Madsen, Hobro",Mariagerfjordlisten,3
Mariagerfjord,2,Assens,"M_Pernille_Roth,_Hadsund","Pernille Roth, Hadsund",Mariagerfjordlisten,9
Mariagerfjord,2,Assens,"M_Marianne_Eiby,_Hobro","Marianne Eiby, Hobro",Mariagerfjordlisten,1
Mariagerfjord,2,Assens,"M_Celina_Toft_Lienhøft,_Hobro","Celina Toft Lienhøft, Hobro",Mariagerfjordlisten,1
Mariagerfjord,2,Assens,"M_Jan_Jakobsen,_Arden","Jan Jakobsen, Arden",Mariagerfjordlisten,0
Mariagerfjord,2,Assens,"M_Flemming_Lienhøft,_Hobro","Flemming Lienhøft, Hobro",Mariagerfjordlisten,0
Mariagerfjord,2,Assens,O_Listestemmer,Listestemmer,Dansk Folkeparti,13
Mariagerfjord,2,Assens,O_Jørgen_Hammer_Sørensen,Jørgen Hammer Sørensen,Dansk Folkeparti,10
