kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Ringsted,1,Ringsted Nørretorv,A_Listestemmer,Listestemmer,Socialdemokratiet,342
Ringsted,1,Ringsted Nørretorv,"A_Per_Flor,_Ringsted","Per Flor, Ringsted",Socialdemokratiet,278
Ringsted,1,Ringsted Nørretorv,"A_Mette_Ahm-Petersen,_Ringsted","Mette Ahm-Petersen, Ringsted",Socialdemokratiet,157
Ringsted,1,Ringsted Nørretorv,"A_Sadik_Zeki_Topcu,_Ringsted","Sadik Zeki Topcu, Ringsted",Socialdemokratiet,88
Ringsted,1,Ringsted Nørretorv,"A_Sine_Reffstrup,_Ringsted","Sine Reffstrup, Ringsted",Socialdemokratiet,142
Ringsted,1,Ringsted Nørretorv,"A_Benny_Christensen,_Ringsted","Benny Christensen, Ringsted",Socialdemokratiet,98
Ringsted,1,Ringsted Nørretorv,"A_Mette_Lundgaard_Hansen,_Ringsted","Mette Lundgaard Hansen, Ringsted",Socialdemokratiet,62
Ringsted,1,Ringsted Nørretorv,"A_Lisbeth_K._Andersen,_Ringsted","Lisbeth K. Andersen, Ringsted",Socialdemokratiet,52
Ringsted,1,Ringsted Nørretorv,"A_Svend-Erik_Jakobsen,_Ringsted","Svend-Erik Jakobsen, Ringsted",Socialdemokratiet,31
Ringsted,1,Ringsted Nørretorv,"A_Steffan_Rasmussen,_Ringsted","Steffan Rasmussen, Ringsted",Socialdemokratiet,7
Ringsted,1,Ringsted Nørretorv,"A_Valentin_Andersen,_Ørslev","Valentin Andersen, Ørslev",Socialdemokratiet,14
Ringsted,1,Ringsted Nørretorv,"A_Jens_Michael_Hansen,_Benløse","Jens Michael Hansen, Benløse",Socialdemokratiet,13
Ringsted,1,Ringsted Nørretorv,"A_Flemming_Skærbæk,_Ringsted","Flemming Skærbæk, Ringsted",Socialdemokratiet,7
Ringsted,1,Ringsted Nørretorv,"A_Kristian_Doose,_Høm","Kristian Doose, Høm",Socialdemokratiet,2
Ringsted,1,Ringsted Nørretorv,B_Listestemmer,Listestemmer,Radikale Venstre,59
Ringsted,1,Ringsted Nørretorv,B_Torben_Lollike,Torben Lollike,Radikale Venstre,118
Ringsted,1,Ringsted Nørretorv,B_Jeanet_Suadicani,Jeanet Suadicani,Radikale Venstre,15
Ringsted,1,Ringsted Nørretorv,B_Martin_Bork,Martin Bork,Radikale Venstre,7
Ringsted,1,Ringsted Nørretorv,B_Helen_Schmidt,Helen Schmidt,Radikale Venstre,29
Ringsted,1,Ringsted Nørretorv,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,263
Ringsted,1,Ringsted Nørretorv,C_Andreas_Karlsen,Andreas Karlsen,Det Konservative Folkeparti,770
Ringsted,1,Ringsted Nørretorv,C_Tina-Mia_Eriksen,Tina-Mia Eriksen,Det Konservative Folkeparti,115
Ringsted,1,Ringsted Nørretorv,C_René_Lund_Sørensen,René Lund Sørensen,Det Konservative Folkeparti,41
Ringsted,1,Ringsted Nørretorv,C_Susanne_Cornelius,Susanne Cornelius,Det Konservative Folkeparti,61
Ringsted,1,Ringsted Nørretorv,C_Thomas_Vangsaa,Thomas Vangsaa,Det Konservative Folkeparti,37
Ringsted,1,Ringsted Nørretorv,C_Pia_Thøgersen,Pia Thøgersen,Det Konservative Folkeparti,38
Ringsted,1,Ringsted Nørretorv,C_Benjamin_Pedersen,Benjamin Pedersen,Det Konservative Folkeparti,220
Ringsted,1,Ringsted Nørretorv,C_Mette_Sjøblom_Skals,Mette Sjøblom Skals,Det Konservative Folkeparti,12
Ringsted,1,Ringsted Nørretorv,C_Ole_Keinicke_Christensen,Ole Keinicke Christensen,Det Konservative Folkeparti,0
Ringsted,1,Ringsted Nørretorv,C_Karin_Egeberg,Karin Egeberg,Det Konservative Folkeparti,5
Ringsted,1,Ringsted Nørretorv,C_Peter_Fisker,Peter Fisker,Det Konservative Folkeparti,7
Ringsted,1,Ringsted Nørretorv,C_Lotte_Holmqvist,Lotte Holmqvist,Det Konservative Folkeparti,8
Ringsted,1,Ringsted Nørretorv,C_Jørgen_Sparring,Jørgen Sparring,Det Konservative Folkeparti,9
Ringsted,1,Ringsted Nørretorv,C_Mette_K._Millard,Mette K. Millard,Det Konservative Folkeparti,4
Ringsted,1,Ringsted Nørretorv,C_Jan_M._Johansen,Jan M. Johansen,Det Konservative Folkeparti,9
Ringsted,1,Ringsted Nørretorv,C_Lene_Wøhlk,Lene Wøhlk,Det Konservative Folkeparti,8
Ringsted,1,Ringsted Nørretorv,C_Jonatan_Nielsen,Jonatan Nielsen,Det Konservative Folkeparti,2
