kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Samsø,1,Tranebjerg,A_Listestemmer,Listestemmer,Socialdemokratiet,70
Samsø,1,Tranebjerg,A_Marcel_Meijer,Marcel Meijer,Socialdemokratiet,403
Samsø,1,Tranebjerg,A_Michael_Kristensen,Michael Kristensen,Socialdemokratiet,41
Samsø,1,Tranebjerg,A_Helle_Hansen,Helle Hansen,Socialdemokratiet,38
Samsø,1,Tranebjerg,A_Karina_Knobelauch,Karina Knobelauch,Socialdemokratiet,39
Samsø,1,Tranebjerg,A_Stefan_Hafstein_Wolffbrandt,Stefan Hafstein Wolffbrandt,Socialdemokratiet,29
Samsø,1,Tranebjerg,A_Robert_V._Rasmussen,Robert V. Rasmussen,Socialdemokratiet,40
Samsø,1,Tranebjerg,A_Pia_Ramsing,Pia Ramsing,Socialdemokratiet,22
Samsø,1,Tranebjerg,A_Anders_Baun_Sørensen,Anders Baun Sørensen,Socialdemokratiet,18
Samsø,1,Tranebjerg,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,51
Samsø,1,Tranebjerg,C_Per_Urban_Olsen,Per Urban Olsen,Det Konservative Folkeparti,303
Samsø,1,Tranebjerg,C_Peter_Askjær,Peter Askjær,Det Konservative Folkeparti,39
Samsø,1,Tranebjerg,C_Martin_Sørensen,Martin Sørensen,Det Konservative Folkeparti,25
Samsø,1,Tranebjerg,C_Louise_Bramstorp,Louise Bramstorp,Det Konservative Folkeparti,7
Samsø,1,Tranebjerg,C_Sigfred_Jensen,Sigfred Jensen,Det Konservative Folkeparti,31
Samsø,1,Tranebjerg,C_Jørn_C._Nissen,Jørn C. Nissen,Det Konservative Folkeparti,27
Samsø,1,Tranebjerg,C_Morten_Ø._Kristensen,Morten Ø. Kristensen,Det Konservative Folkeparti,34
Samsø,1,Tranebjerg,C_Susanne_Andersen,Susanne Andersen,Det Konservative Folkeparti,11
Samsø,1,Tranebjerg,C_Iulian_V._Paiu,Iulian V. Paiu,Det Konservative Folkeparti,11
Samsø,1,Tranebjerg,C_Per_Hingel,Per Hingel,Det Konservative Folkeparti,3
Samsø,1,Tranebjerg,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,23
Samsø,1,Tranebjerg,"F_Ulla_Holm,_Ballen","Ulla Holm, Ballen",SF - Socialistisk Folkeparti,227
Samsø,1,Tranebjerg,"F_Kjeld_Bønkel,_Tranebjerg","Kjeld Bønkel, Tranebjerg",SF - Socialistisk Folkeparti,27
Samsø,1,Tranebjerg,"F_Anne_Grethe_Olsen,_Kolby","Anne Grethe Olsen, Kolby",SF - Socialistisk Folkeparti,7
Samsø,1,Tranebjerg,"F_Lone_Krag,_Ørby","Lone Krag, Ørby",SF - Socialistisk Folkeparti,8
Samsø,1,Tranebjerg,"F_Børge_S._Buur,_Permelille","Børge S. Buur, Permelille",SF - Socialistisk Folkeparti,1
Samsø,1,Tranebjerg,O_Listestemmer,Listestemmer,Dansk Folkeparti,4
Samsø,1,Tranebjerg,"O_Per_Mortensen,_Samsø","Per Mortensen, Samsø",Dansk Folkeparti,20
Samsø,1,Tranebjerg,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",61
Samsø,1,Tranebjerg,V_Søren_Wiese,Søren Wiese,"Venstre, Danmarks Liberale Parti",293
Samsø,1,Tranebjerg,V_Anita_Elgaard_Højholt_Olesen,Anita Elgaard Højholt Olesen,"Venstre, Danmarks Liberale Parti",108
Samsø,1,Tranebjerg,V_Carsten_Bruun,Carsten Bruun,"Venstre, Danmarks Liberale Parti",87
Samsø,1,Tranebjerg,V_Mogens_Exner,Mogens Exner,"Venstre, Danmarks Liberale Parti",17
Samsø,1,Tranebjerg,V_Anja_Guldborg,Anja Guldborg,"Venstre, Danmarks Liberale Parti",19
Samsø,1,Tranebjerg,V_Klaus_Holdorf,Klaus Holdorf,"Venstre, Danmarks Liberale Parti",3
Samsø,1,Tranebjerg,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,47
