kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Skanderborg,1,Ejer Bavnehøj,A_Listestemmer,Listestemmer,Socialdemokratiet,87
Skanderborg,1,Ejer Bavnehøj,"A_Frands_Fischer,_Gl._Rye","Frands Fischer, Gl. Rye",Socialdemokratiet,65
Skanderborg,1,Ejer Bavnehøj,"A_Trine_Frengler,_Herskind","Trine Frengler, Herskind",Socialdemokratiet,1
Skanderborg,1,Ejer Bavnehøj,"A_Frank_W._Damgaard,_Stilling","Frank W. Damgaard, Stilling",Socialdemokratiet,29
Skanderborg,1,Ejer Bavnehøj,"A_Kai_Høstrup,_Ry","Kai Høstrup, Ry",Socialdemokratiet,3
Skanderborg,1,Ejer Bavnehøj,"A_Malene_Illa_Ringberg,_Hørning","Malene Illa Ringberg, Hørning",Socialdemokratiet,5
Skanderborg,1,Ejer Bavnehøj,"A_Karen_Schack_Lindemann,_Galten-Sko","Karen Schack Lindemann, Galten-Sko",Socialdemokratiet,4
Skanderborg,1,Ejer Bavnehøj,"A_Jørgen_Naut,_Skanderborg","Jørgen Naut, Skanderborg",Socialdemokratiet,7
Skanderborg,1,Ejer Bavnehøj,"A_Jesper_Arbo_Frederiksen,_Galten-Sk","Jesper Arbo Frederiksen, Galten-Sk",Socialdemokratiet,2
Skanderborg,1,Ejer Bavnehøj,"A_Anders_Skriver,_Skanderborg","Anders Skriver, Skanderborg",Socialdemokratiet,13
Skanderborg,1,Ejer Bavnehøj,"A_Ole_Drøgemüller,_Galten-Skovby","Ole Drøgemüller, Galten-Skovby",Socialdemokratiet,5
Skanderborg,1,Ejer Bavnehøj,"A_Andreas_Tang-Brock,_Ry","Andreas Tang-Brock, Ry",Socialdemokratiet,2
Skanderborg,1,Ejer Bavnehøj,"A_Jan_Dahl_Hansen,_Hørning","Jan Dahl Hansen, Hørning",Socialdemokratiet,0
Skanderborg,1,Ejer Bavnehøj,"A_Jan_Sønderskov,_Skanderborg","Jan Sønderskov, Skanderborg",Socialdemokratiet,3
Skanderborg,1,Ejer Bavnehøj,"A_Martin_Dybdahl_Andersen,_Stilling","Martin Dybdahl Andersen, Stilling",Socialdemokratiet,2
Skanderborg,1,Ejer Bavnehøj,"A_Lars_Lindencrone_Lavridsen,_Voerla","Lars Lindencrone Lavridsen, Voerla",Socialdemokratiet,1
Skanderborg,1,Ejer Bavnehøj,"A_Tommas_Leth,_Stilling","Tommas Leth, Stilling",Socialdemokratiet,4
Skanderborg,1,Ejer Bavnehøj,"A_Peter_Munk-Pedersen,_Galten","Peter Munk-Pedersen, Galten",Socialdemokratiet,0
Skanderborg,1,Ejer Bavnehøj,B_Listestemmer,Listestemmer,Radikale Venstre,8
Skanderborg,1,Ejer Bavnehøj,"B_Tage_Nielsen,_Galten","Tage Nielsen, Galten",Radikale Venstre,5
Skanderborg,1,Ejer Bavnehøj,"B_Anne_Heeager,_Skanderborg","Anne Heeager, Skanderborg",Radikale Venstre,16
Skanderborg,1,Ejer Bavnehøj,"B_Kristian_Kilt,_Stjær","Kristian Kilt, Stjær",Radikale Venstre,4
Skanderborg,1,Ejer Bavnehøj,"B_Kurt_Myhlert_Olsen,_Ry","Kurt Myhlert Olsen, Ry",Radikale Venstre,0
Skanderborg,1,Ejer Bavnehøj,"B_Christoffer_Schou,_Skovby","Christoffer Schou, Skovby",Radikale Venstre,1
Skanderborg,1,Ejer Bavnehøj,"B_Lærke_Klitgaard,_Ry","Lærke Klitgaard, Ry",Radikale Venstre,3
Skanderborg,1,Ejer Bavnehøj,"B_Rasmus_Bergholdt,_Skovby","Rasmus Bergholdt, Skovby",Radikale Venstre,3
Skanderborg,1,Ejer Bavnehøj,"B_Jens_Anker_Hansen,_Ry","Jens Anker Hansen, Ry",Radikale Venstre,0
Skanderborg,1,Ejer Bavnehøj,"B_Adele_Davis_Boe,_Alken","Adele Davis Boe, Alken",Radikale Venstre,0
Skanderborg,1,Ejer Bavnehøj,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,28
Skanderborg,1,Ejer Bavnehøj,"C_Thomas_Cordtz,_Ry","Thomas Cordtz, Ry",Det Konservative Folkeparti,18
Skanderborg,1,Ejer Bavnehøj,"C_Birgitte_Majgaard,_Galten-Skovby","Birgitte Majgaard, Galten-Skovby",Det Konservative Folkeparti,4
Skanderborg,1,Ejer Bavnehøj,"C_Christian_Wibe-Marker,_Skanderborg","Christian Wibe-Marker, Skanderborg",Det Konservative Folkeparti,13
