kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Sorø,1,Dianalund,A_Listestemmer,Listestemmer,Socialdemokratiet,216
Sorø,1,Dianalund,"A_Anne_Madsen,_Sorø","Anne Madsen, Sorø",Socialdemokratiet,222
Sorø,1,Dianalund,"A_Preben_Lund,_Frederiksberg","Preben Lund, Frederiksberg",Socialdemokratiet,3
Sorø,1,Dianalund,"A_Annette_Raaschou_van_der_Star,_DiL","Annette Raaschou van der Star, DiL",Socialdemokratiet,304
Sorø,1,Dianalund,"A_Ivan_Hansen,_Pedersborg","Ivan Hansen, Pedersborg",Socialdemokratiet,23
Sorø,1,Dianalund,"A_Mona_Kelder_Bouidar,_Frederiksberg","Mona Kelder Bouidar, Frederiksberg",Socialdemokratiet,27
Sorø,1,Dianalund,"A_Bettina_Jensen,_Stenlille","Bettina Jensen, Stenlille",Socialdemokratiet,49
Sorø,1,Dianalund,"A_Flemming_Kjærgaard,_Sorø","Flemming Kjærgaard, Sorø",Socialdemokratiet,2
Sorø,1,Dianalund,"A_Dennis_Gartig,_Frederiksberg","Dennis Gartig, Frederiksberg",Socialdemokratiet,2
Sorø,1,Dianalund,"A_Rene_Schou_Rasmussen,_Sorø","Rene Schou Rasmussen, Sorø",Socialdemokratiet,3
Sorø,1,Dianalund,"A_Christian_Bjerre_Høst,_Ruds_Vedby","Christian Bjerre Høst, Ruds Vedby",Socialdemokratiet,9
Sorø,1,Dianalund,"A_Erling_Larsen,_Dianalund","Erling Larsen, Dianalund",Socialdemokratiet,20
Sorø,1,Dianalund,"A_Thomas_Fredsø,_Sorø","Thomas Fredsø, Sorø",Socialdemokratiet,2
Sorø,1,Dianalund,"A_Tina_Czajkowski,_Pedersborg","Tina Czajkowski, Pedersborg",Socialdemokratiet,0
Sorø,1,Dianalund,"A_Susan_Kierch,_Frederiksberg","Susan Kierch, Frederiksberg",Socialdemokratiet,3
Sorø,1,Dianalund,"A_Jakob_Meibom,_Sorø","Jakob Meibom, Sorø",Socialdemokratiet,2
Sorø,1,Dianalund,"A_Klaus_Gylling,_Sorø","Klaus Gylling, Sorø",Socialdemokratiet,0
Sorø,1,Dianalund,B_Listestemmer,Listestemmer,Radikale Venstre,10
Sorø,1,Dianalund,"B_Sascha_Fich,_Niløse","Sascha Fich, Niløse",Radikale Venstre,30
Sorø,1,Dianalund,"B_Edris_Qasimi,_Pedersborg","Edris Qasimi, Pedersborg",Radikale Venstre,1
Sorø,1,Dianalund,"B_Kurt_Løvlund_Pedersen,_Dianalund","Kurt Løvlund Pedersen, Dianalund",Radikale Venstre,6
Sorø,1,Dianalund,"B_Tomas_Bech_Madsen,_Frederiksberg","Tomas Bech Madsen, Frederiksberg",Radikale Venstre,2
Sorø,1,Dianalund,"B_Freja_Klingstrøm_Aaskoven,_Mk.bjby","Freja Klingstrøm Aaskoven, Mk.bjby",Radikale Venstre,1
Sorø,1,Dianalund,"B_Jan_Woollhead,_Sorø","Jan Woollhead, Sorø",Radikale Venstre,3
Sorø,1,Dianalund,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,128
Sorø,1,Dianalund,"C_Gert_Jørgensen,_Sorø","Gert Jørgensen, Sorø",Det Konservative Folkeparti,312
Sorø,1,Dianalund,"C_Bo_Christensen,_Sorø","Bo Christensen, Sorø",Det Konservative Folkeparti,10
Sorø,1,Dianalund,"C_Mogens_Schwensen,_Dianalund","Mogens Schwensen, Dianalund",Det Konservative Folkeparti,152
Sorø,1,Dianalund,"C_Sofie_Ullerup_Torpegaard,_Fr._Berg","Sofie Ullerup Torpegaard, Fr. Berg",Det Konservative Folkeparti,27
Sorø,1,Dianalund,"C_Carsten_Petersen,_Ruds_Vedby","Carsten Petersen, Ruds Vedby",Det Konservative Folkeparti,4
Sorø,1,Dianalund,"C_Eva_Sell,_Sorø","Eva Sell, Sorø",Det Konservative Folkeparti,16
Sorø,1,Dianalund,"C_Kristian_Egebæk,_Dianalund","Kristian Egebæk, Dianalund",Det Konservative Folkeparti,84
Sorø,1,Dianalund,"C_Janus_Tarp,_Sorø","Janus Tarp, Sorø",Det Konservative Folkeparti,4
Sorø,1,Dianalund,"C_Marianne_Vinding,_Dianalund","Marianne Vinding, Dianalund",Det Konservative Folkeparti,103
Sorø,1,Dianalund,"C_Martin_Belli_Jørgensen,_Slaglille","Martin Belli Jørgensen, Slaglille",Det Konservative Folkeparti,2
Sorø,1,Dianalund,"C_Jens_Jacobsen,_Stenlille","Jens Jacobsen, Stenlille",Det Konservative Folkeparti,4
Sorø,1,Dianalund,"C_Gert_Kuhn_Iversen,_Sorø","Gert Kuhn Iversen, Sorø",Det Konservative Folkeparti,0
Sorø,1,Dianalund,"C_Peter_Nygaard,_Pedersborg","Peter Nygaard, Pedersborg",Det Konservative Folkeparti,14
Sorø,1,Dianalund,"C_Malene_Jauer,_Sorø","Malene Jauer, Sorø",Det Konservative Folkeparti,3
Sorø,1,Dianalund,"C_Søren_Sørensen,_Ruds_Vedby","Søren Sørensen, Ruds Vedby",Det Konservative Folkeparti,11
Sorø,1,Dianalund,"C_Jesper_Danhøj,_Sorø","Jesper Danhøj, Sorø",Det Konservative Folkeparti,0
Sorø,1,Dianalund,D_Listestemmer,Listestemmer,Nye Borgerlige,78
Sorø,1,Dianalund,"D_Susanne_Borggaard,_Stenlille","Susanne Borggaard, Stenlille",Nye Borgerlige,63
Sorø,1,Dianalund,"D_Jørgen_Funk,_Sorø","Jørgen Funk, Sorø",Nye Borgerlige,9
Sorø,1,Dianalund,"D_Lianne_Hansen,_Stenlille","Lianne Hansen, Stenlille",Nye Borgerlige,8
Sorø,1,Dianalund,"D_Karsten_Jürs,_Stenlille","Karsten Jürs, Stenlille",Nye Borgerlige,6
Sorø,1,Dianalund,"D_Henrik_Andersen,_Sorø","Henrik Andersen, Sorø",Nye Borgerlige,4
Sorø,1,Dianalund,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,52
Sorø,1,Dianalund,F_Linda_Nielsen,Linda Nielsen,SF - Socialistisk Folkeparti,30
Sorø,1,Dianalund,F_Kristiane_Nyborg,Kristiane Nyborg,SF - Socialistisk Folkeparti,64
Sorø,1,Dianalund,F_Morten_Suhr,Morten Suhr,SF - Socialistisk Folkeparti,3
Sorø,1,Dianalund,F_Bente_Blanné,Bente Blanné,SF - Socialistisk Folkeparti,14
Sorø,1,Dianalund,F_Anne_Katrine_Blond,Anne Katrine Blond,SF - Socialistisk Folkeparti,3
Sorø,1,Dianalund,F_Jens_Jørgen_Hansen,Jens Jørgen Hansen,SF - Socialistisk Folkeparti,0
Sorø,1,Dianalund,F_Poul_Hangler,Poul Hangler,SF - Socialistisk Folkeparti,0
Sorø,1,Dianalund,F_Helle_Visti_Jensen,Helle Visti Jensen,SF - Socialistisk Folkeparti,0
Sorø,1,Dianalund,F_Jan_E._Pedersen,Jan E. Pedersen,SF - Socialistisk Folkeparti,0
Sorø,1,Dianalund,I_Listestemmer,Listestemmer,Liberal Alliance,12
Sorø,1,Dianalund,I_Nicolai_Sandager,Nicolai Sandager,Liberal Alliance,18
Sorø,1,Dianalund,I_Benjamin_Bernhard_Højland,Benjamin Bernhard Højland,Liberal Alliance,1
Sorø,1,Dianalund,K_Listestemmer,Listestemmer,Kristendemokraterne,16
Sorø,1,Dianalund,K_Tage_Sørensen,Tage Sørensen,Kristendemokraterne,7
Sorø,1,Dianalund,O_Listestemmer,Listestemmer,Dansk Folkeparti,54
Sorø,1,Dianalund,O_Lars_Schmidt,Lars Schmidt,Dansk Folkeparti,103
Sorø,1,Dianalund,O_Lars_Damgaard,Lars Damgaard,Dansk Folkeparti,13
Sorø,1,Dianalund,O_Ellen_Thomsen,Ellen Thomsen,Dansk Folkeparti,19
Sorø,1,Dianalund,O_Vibeke_Danborg,Vibeke Danborg,Dansk Folkeparti,9
Sorø,1,Dianalund,O_Finn_Sørensen,Finn Sørensen,Dansk Folkeparti,5
Sorø,1,Dianalund,Q_Listestemmer,Listestemmer,Frigængerne,1
Sorø,1,Dianalund,"Q_Niels_Aalbæk_Jensen,_Frederiksberg","Niels Aalbæk Jensen, Frederiksberg",Frigængerne,0
Sorø,1,Dianalund,"Q_Pia_Hvid,_Bjernede","Pia Hvid, Bjernede",Frigængerne,3
Sorø,1,Dianalund,"Q_Kristoffer_Lindholt,_Sorø","Kristoffer Lindholt, Sorø",Frigængerne,1
Sorø,1,Dianalund,V_Listestemmer,Listestemmer,"Venstre, Danmarks Liberale Parti",72
Sorø,1,Dianalund,"V_Kasper_Nygaard,_Pedersborg","Kasper Nygaard, Pedersborg","Venstre, Danmarks Liberale Parti",76
Sorø,1,Dianalund,"V_Jens_Nygaard,_Sorø","Jens Nygaard, Sorø","Venstre, Danmarks Liberale Parti",14
Sorø,1,Dianalund,"V_Rolf_Clausen,_Fulby","Rolf Clausen, Fulby","Venstre, Danmarks Liberale Parti",5
Sorø,1,Dianalund,"V_Henrik_Kjølby,_Stenlille","Henrik Kjølby, Stenlille","Venstre, Danmarks Liberale Parti",3
Sorø,1,Dianalund,"V_Ninna_Wiese_Pedersen,_Bjernede","Ninna Wiese Pedersen, Bjernede","Venstre, Danmarks Liberale Parti",13
Sorø,1,Dianalund,"V_Jørgen_Larsen,_Dianalund","Jørgen Larsen, Dianalund","Venstre, Danmarks Liberale Parti",33
Sorø,1,Dianalund,"V_Stephen_Møller_Hansen,_Sorø","Stephen Møller Hansen, Sorø","Venstre, Danmarks Liberale Parti",6
Sorø,1,Dianalund,"V_Jakob_Spliid,_Frederiksberg","Jakob Spliid, Frederiksberg","Venstre, Danmarks Liberale Parti",35
Sorø,1,Dianalund,"V_Henrik_Vester,_Frederiksberg","Henrik Vester, Frederiksberg","Venstre, Danmarks Liberale Parti",0
Sorø,1,Dianalund,"V_Birgitte_Vester,_Frederiksberg","Birgitte Vester, Frederiksberg","Venstre, Danmarks Liberale Parti",1
Sorø,1,Dianalund,"V_Asger_Jørnow,_Sorø","Asger Jørnow, Sorø","Venstre, Danmarks Liberale Parti",2
Sorø,1,Dianalund,Æ_Listestemmer,Listestemmer,Frihedslisten,2
Sorø,1,Dianalund,"Æ_Marianne_Hede,_St._Merløse","Marianne Hede, St. Merløse",Frihedslisten,1
Sorø,1,Dianalund,"Æ_Mai_Ntova,_Dianalund","Mai Ntova, Dianalund",Frihedslisten,9
Sorø,1,Dianalund,Ø_Listestemmer,Listestemmer,Enhedslisten - De Rød-Grønne,47
Sorø,1,Dianalund,"Ø_Bo_Mouritzen,_Broby","Bo Mouritzen, Broby",Enhedslisten - De Rød-Grønne,23
Sorø,1,Dianalund,"Ø_Abelone_Bergløv,_Lynge","Abelone Bergløv, Lynge",Enhedslisten - De Rød-Grønne,3
Sorø,1,Dianalund,"Ø_Helene_Vadsten,_Pedersborg","Helene Vadsten, Pedersborg",Enhedslisten - De Rød-Grønne,8
Sorø,1,Dianalund,"Ø_Niels-_Erik_Eich,_Frederiksberg","Niels- Erik Eich, Frederiksberg",Enhedslisten - De Rød-Grønne,2
Sorø,1,Dianalund,"Ø_Ellen_Grüner,_Sorø","Ellen Grüner, Sorø",Enhedslisten - De Rød-Grønne,2
Sorø,1,Dianalund,"Ø_Teit_Gamst,_Stenlille","Teit Gamst, Stenlille",Enhedslisten - De Rød-Grønne,7
Sorø,2,Ruds Vedby,A_Listestemmer,Listestemmer,Socialdemokratiet,76
Sorø,2,Ruds Vedby,"A_Anne_Madsen,_Sorø","Anne Madsen, Sorø",Socialdemokratiet,77
Sorø,2,Ruds Vedby,"A_Preben_Lund,_Frederiksberg","Preben Lund, Frederiksberg",Socialdemokratiet,4
Sorø,2,Ruds Vedby,"A_Annette_Raaschou_van_der_Star,_DiL","Annette Raaschou van der Star, DiL",Socialdemokratiet,18
Sorø,2,Ruds Vedby,"A_Ivan_Hansen,_Pedersborg","Ivan Hansen, Pedersborg",Socialdemokratiet,22
Sorø,2,Ruds Vedby,"A_Mona_Kelder_Bouidar,_Frederiksberg","Mona Kelder Bouidar, Frederiksberg",Socialdemokratiet,3
Sorø,2,Ruds Vedby,"A_Bettina_Jensen,_Stenlille","Bettina Jensen, Stenlille",Socialdemokratiet,6
Sorø,2,Ruds Vedby,"A_Flemming_Kjærgaard,_Sorø","Flemming Kjærgaard, Sorø",Socialdemokratiet,3
Sorø,2,Ruds Vedby,"A_Dennis_Gartig,_Frederiksberg","Dennis Gartig, Frederiksberg",Socialdemokratiet,1
Sorø,2,Ruds Vedby,"A_Rene_Schou_Rasmussen,_Sorø","Rene Schou Rasmussen, Sorø",Socialdemokratiet,1
Sorø,2,Ruds Vedby,"A_Christian_Bjerre_Høst,_Ruds_Vedby","Christian Bjerre Høst, Ruds Vedby",Socialdemokratiet,53
Sorø,2,Ruds Vedby,"A_Erling_Larsen,_Dianalund","Erling Larsen, Dianalund",Socialdemokratiet,3
Sorø,2,Ruds Vedby,"A_Thomas_Fredsø,_Sorø","Thomas Fredsø, Sorø",Socialdemokratiet,2
Sorø,2,Ruds Vedby,"A_Tina_Czajkowski,_Pedersborg","Tina Czajkowski, Pedersborg",Socialdemokratiet,3
Sorø,2,Ruds Vedby,"A_Susan_Kierch,_Frederiksberg","Susan Kierch, Frederiksberg",Socialdemokratiet,0
Sorø,2,Ruds Vedby,"A_Jakob_Meibom,_Sorø","Jakob Meibom, Sorø",Socialdemokratiet,0
Sorø,2,Ruds Vedby,"A_Klaus_Gylling,_Sorø","Klaus Gylling, Sorø",Socialdemokratiet,0
Sorø,2,Ruds Vedby,B_Listestemmer,Listestemmer,Radikale Venstre,7
Sorø,2,Ruds Vedby,"B_Sascha_Fich,_Niløse","Sascha Fich, Niløse",Radikale Venstre,1
Sorø,2,Ruds Vedby,"B_Edris_Qasimi,_Pedersborg","Edris Qasimi, Pedersborg",Radikale Venstre,1
Sorø,2,Ruds Vedby,"B_Kurt_Løvlund_Pedersen,_Dianalund","Kurt Løvlund Pedersen, Dianalund",Radikale Venstre,0
Sorø,2,Ruds Vedby,"B_Tomas_Bech_Madsen,_Frederiksberg","Tomas Bech Madsen, Frederiksberg",Radikale Venstre,0
Sorø,2,Ruds Vedby,"B_Freja_Klingstrøm_Aaskoven,_Mk.bjby","Freja Klingstrøm Aaskoven, Mk.bjby",Radikale Venstre,1
Sorø,2,Ruds Vedby,"B_Jan_Woollhead,_Sorø","Jan Woollhead, Sorø",Radikale Venstre,0
Sorø,2,Ruds Vedby,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,33
Sorø,2,Ruds Vedby,"C_Gert_Jørgensen,_Sorø","Gert Jørgensen, Sorø",Det Konservative Folkeparti,53
Sorø,2,Ruds Vedby,"C_Bo_Christensen,_Sorø","Bo Christensen, Sorø",Det Konservative Folkeparti,0
Sorø,2,Ruds Vedby,"C_Mogens_Schwensen,_Dianalund","Mogens Schwensen, Dianalund",Det Konservative Folkeparti,6
