kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Struer,1,Struer,A_Listestemmer,Listestemmer,Socialdemokratiet,277
Struer,1,Struer,A_John_Christoffersen,John Christoffersen,Socialdemokratiet,304
Struer,1,Struer,A_Ann_Møller_Nielsen,Ann Møller Nielsen,Socialdemokratiet,244
Struer,1,Struer,A_Dorte_Vilsgaard,Dorte Vilsgaard,Socialdemokratiet,89
Struer,1,Struer,A_Palle_Lykke_Ravn,Palle Lykke Ravn,Socialdemokratiet,74
Struer,1,Struer,A_Anna_Marie_Brix_Poulsen,Anna Marie Brix Poulsen,Socialdemokratiet,61
Struer,1,Struer,A_Claus_Søgaard_Andersen,Claus Søgaard Andersen,Socialdemokratiet,8
Struer,1,Struer,A_Flemming_T.Sørensen,Flemming T.Sørensen,Socialdemokratiet,107
Struer,1,Struer,A_Flemming_Odde,Flemming Odde,Socialdemokratiet,53
Struer,1,Struer,A_Theresa_Aroha_Wollenberg,Theresa Aroha Wollenberg,Socialdemokratiet,46
Struer,1,Struer,A_Jesper_Olesen,Jesper Olesen,Socialdemokratiet,98
Struer,1,Struer,A_Marianne_Kamp,Marianne Kamp,Socialdemokratiet,17
Struer,1,Struer,A_Flemming_Karlsen,Flemming Karlsen,Socialdemokratiet,10
Struer,1,Struer,A_Georg_Sabroe,Georg Sabroe,Socialdemokratiet,30
Struer,1,Struer,A_Kaj_Munkholm,Kaj Munkholm,Socialdemokratiet,32
Struer,1,Struer,A_Kristian_Svenningsen,Kristian Svenningsen,Socialdemokratiet,12
Struer,1,Struer,A_Kristian_Andersen,Kristian Andersen,Socialdemokratiet,10
Struer,1,Struer,A_Niels_Viggo_Lynghøj,Niels Viggo Lynghøj,Socialdemokratiet,109
Struer,1,Struer,B_Listestemmer,Listestemmer,Radikale Venstre,30
Struer,1,Struer,B_Peter_Vestergaard,Peter Vestergaard,Radikale Venstre,89
Struer,1,Struer,B_Ole_Agergaard_Olsen,Ole Agergaard Olsen,Radikale Venstre,8
Struer,1,Struer,B_Emma_Rørholm_Vestergaard,Emma Rørholm Vestergaard,Radikale Venstre,86
Struer,1,Struer,B_Adam_Jensen,Adam Jensen,Radikale Venstre,47
Struer,1,Struer,B_Jens_Ahrengot,Jens Ahrengot,Radikale Venstre,0
Struer,1,Struer,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,59
