kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Sønderborg,1,Nordborg,A_Listestemmer,Listestemmer,Socialdemokratiet,136
Sønderborg,1,Nordborg,"A_Erik_Lauritzen,_Blans","Erik Lauritzen, Blans",Socialdemokratiet,458
Sønderborg,1,Nordborg,"A_Didde_Lauritzen,_Nybøl","Didde Lauritzen, Nybøl",Socialdemokratiet,12
Sønderborg,1,Nordborg,"A_Jan_Prokopek_Jensen,_Guderup","Jan Prokopek Jensen, Guderup",Socialdemokratiet,163
Sønderborg,1,Nordborg,"A_Charlotte_Riis_Engelbrecht,_Adsbøl","Charlotte Riis Engelbrecht, Adsbøl",Socialdemokratiet,12
Sønderborg,1,Nordborg,"A_Preben_Storm,_Rinkenæs","Preben Storm, Rinkenæs",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Jesper_Smaling,_Dybbøl","Jesper Smaling, Dybbøl",Socialdemokratiet,10
Sønderborg,1,Nordborg,"A_Niels_Ole_Bennedsen,_Nordborg","Niels Ole Bennedsen, Nordborg",Socialdemokratiet,192
Sønderborg,1,Nordborg,"A_Bjørn_Allerelli_Andersen,_Sønderbo","Bjørn Allerelli Andersen, Sønderbo",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Tom_Hartvig_Nielsen,_Fynshav","Tom Hartvig Nielsen, Fynshav",Socialdemokratiet,4
Sønderborg,1,Nordborg,"A_Erik_Lorenzen,_Broager","Erik Lorenzen, Broager",Socialdemokratiet,1
Sønderborg,1,Nordborg,"A_Charlotte_Grau,_Sjellerup","Charlotte Grau, Sjellerup",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Kristian_Beuschau,_Sønderby","Kristian Beuschau, Sønderby",Socialdemokratiet,75
Sønderborg,1,Nordborg,"A_Jesper_Kock,_Sønderborg","Jesper Kock, Sønderborg",Socialdemokratiet,4
Sønderborg,1,Nordborg,"A_Ganeswaran_Shanmugaratnam,_Dybbøl","Ganeswaran Shanmugaratnam, Dybbøl",Socialdemokratiet,1
Sønderborg,1,Nordborg,"A_Jesper_Larsen,_Nordborg","Jesper Larsen, Nordborg",Socialdemokratiet,338
Sønderborg,1,Nordborg,"A_Morten_Hansen,_Nordborg","Morten Hansen, Nordborg",Socialdemokratiet,98
Sønderborg,1,Nordborg,"A_Hanne_Kliver_Anker,_Stevning","Hanne Kliver Anker, Stevning",Socialdemokratiet,22
Sønderborg,1,Nordborg,"A_Henrik_Sohl,_Broager","Henrik Sohl, Broager",Socialdemokratiet,1
Sønderborg,1,Nordborg,"A_Karen_Mølbæk,_Augustenborg","Karen Mølbæk, Augustenborg",Socialdemokratiet,4
Sønderborg,1,Nordborg,"A_Svend_Erik_Petersen,_Vollerup","Svend Erik Petersen, Vollerup",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Erling_Taul_Jensen,_Augustenborg","Erling Taul Jensen, Augustenborg",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Ulrick_Christiansen,_Sønderborg","Ulrick Christiansen, Sønderborg",Socialdemokratiet,12
Sønderborg,1,Nordborg,"A_Hans_Jørgen_Albrechtsen,_Kværs","Hans Jørgen Albrechtsen, Kværs",Socialdemokratiet,1
Sønderborg,1,Nordborg,"A_Klaus_Petersen,_Sønderborg","Klaus Petersen, Sønderborg",Socialdemokratiet,0
Sønderborg,1,Nordborg,"A_Birthe_Lind,_Sønderborg","Birthe Lind, Sønderborg",Socialdemokratiet,0
Sønderborg,1,Nordborg,"A_Jørgen_Christensen,_Sønderborg","Jørgen Christensen, Sønderborg",Socialdemokratiet,0
Sønderborg,1,Nordborg,"A_Desalegn_Tufa,_Sønderborg","Desalegn Tufa, Sønderborg",Socialdemokratiet,8
Sønderborg,1,Nordborg,"A_Else_Christensen-Redzepovic,_Blans","Else Christensen-Redzepovic, Blans",Socialdemokratiet,3
Sønderborg,1,Nordborg,"A_Vilson_Ferati,_Nordborg","Vilson Ferati, Nordborg",Socialdemokratiet,4
Sønderborg,1,Nordborg,B_Listestemmer,Listestemmer,Radikale Venstre,4
Sønderborg,1,Nordborg,"B_Faisal_Shojai,_Augustenborg","Faisal Shojai, Augustenborg",Radikale Venstre,6
Sønderborg,1,Nordborg,"B_Carsten_Mogensen,_Dybbøl","Carsten Mogensen, Dybbøl",Radikale Venstre,0
Sønderborg,1,Nordborg,"B_Anders_Sonne,_Sønderborg","Anders Sonne, Sønderborg",Radikale Venstre,0
Sønderborg,1,Nordborg,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,17
Sønderborg,1,Nordborg,"C_Jesper_Højmark_Esbensen,_Sønderbor","Jesper Højmark Esbensen, Sønderbor",Det Konservative Folkeparti,16
Sønderborg,1,Nordborg,"C_Mikkel_Blønd_Vestergaard,_Augusten","Mikkel Blønd Vestergaard, Augusten",Det Konservative Folkeparti,1
Sønderborg,1,Nordborg,"C_Søren_Tylvad_Andersen,_Sønderborg","Søren Tylvad Andersen, Sønderborg",Det Konservative Folkeparti,3
Sønderborg,1,Nordborg,"C_Jens_Liebe-Lindgreen,Tandslet","Jens Liebe-Lindgreen,Tandslet",Det Konservative Folkeparti,2
Sønderborg,1,Nordborg,"C_Clara_Blønd_Vestergaard,_Augustenb","Clara Blønd Vestergaard, Augustenb",Det Konservative Folkeparti,3
Sønderborg,1,Nordborg,D_Listestemmer,Listestemmer,Nye Borgerlige,58
Sønderborg,1,Nordborg,D_Bo_Kleis_Christensen,Bo Kleis Christensen,Nye Borgerlige,61
Sønderborg,1,Nordborg,D_Svenja_Karstensen,Svenja Karstensen,Nye Borgerlige,8
Sønderborg,1,Nordborg,D_Villy_Beblein,Villy Beblein,Nye Borgerlige,0
Sønderborg,1,Nordborg,D_Tom_Sivertsen,Tom Sivertsen,Nye Borgerlige,19
Sønderborg,1,Nordborg,D_Susanne_Thomsen,Susanne Thomsen,Nye Borgerlige,3
Sønderborg,1,Nordborg,D_Steffen_Pedersen,Steffen Pedersen,Nye Borgerlige,2
Sønderborg,1,Nordborg,F_Listestemmer,Listestemmer,SF - Socialistisk Folkeparti,14
Sønderborg,1,Nordborg,F_Jørgen_Jørgensen,Jørgen Jørgensen,SF - Socialistisk Folkeparti,31
Sønderborg,1,Nordborg,F_John_Hyrup_Jensen,John Hyrup Jensen,SF - Socialistisk Folkeparti,1
Sønderborg,1,Nordborg,F_Tina_Fohlmann_Brink,Tina Fohlmann Brink,SF - Socialistisk Folkeparti,7
Sønderborg,1,Nordborg,F_Bjarne_Eliasen,Bjarne Eliasen,SF - Socialistisk Folkeparti,8
Sønderborg,1,Nordborg,H_Listestemmer,Listestemmer,Sønderborglisten,0
Sønderborg,1,Nordborg,H_K._Erik_Schütt,K. Erik Schütt,Sønderborglisten,1
Sønderborg,1,Nordborg,I_Listestemmer,Listestemmer,Liberal Alliance,4
Sønderborg,1,Nordborg,"I_Marius_Smoc,_Ullerup","Marius Smoc, Ullerup",Liberal Alliance,7
Sønderborg,1,Nordborg,L_Listestemmer,Listestemmer,Fælleslisten,1
Sønderborg,1,Nordborg,L_Stine_Duus_Petersen,Stine Duus Petersen,Fælleslisten,4
Sønderborg,1,Nordborg,L_Camilla_Brejnbjerg_Beier,Camilla Brejnbjerg Beier,Fælleslisten,1
Sønderborg,1,Nordborg,L_Søren_Østergaard,Søren Østergaard,Fælleslisten,0
Sønderborg,1,Nordborg,L_Luis_Da_Gama,Luis Da Gama,Fælleslisten,0
Sønderborg,1,Nordborg,M_Listestemmer,Listestemmer,Alsisk Parti,0
Sønderborg,1,Nordborg,M_Bruno_Clausen,Bruno Clausen,Alsisk Parti,3
Sønderborg,1,Nordborg,O_Listestemmer,Listestemmer,Dansk Folkeparti,31
Sønderborg,1,Nordborg,O_Stefan_Lydal,Stefan Lydal,Dansk Folkeparti,18
Sønderborg,1,Nordborg,O_Carsten_Sahl_Andersen,Carsten Sahl Andersen,Dansk Folkeparti,16
Sønderborg,1,Nordborg,O_Jan_Rytkjær_Callesen,Jan Rytkjær Callesen,Dansk Folkeparti,92
Sønderborg,1,Nordborg,O_Emely_Wind_Thomsen,Emely Wind Thomsen,Dansk Folkeparti,2
