kommune,valgsted_id,valgsted_navn,kandidat_id,kandidat_navn,parti,stemmer
Varde,1,Varde By,A_Listestemmer,Listestemmer,Socialdemokratiet,456
Varde,1,Varde By,"A_Søren_Laulund,_Varde","Søren Laulund, Varde",Socialdemokratiet,708
Varde,1,Varde By,"A_A.C._Hoxcer_Nielsen,Varde","A.C. Hoxcer Nielsen,Varde",Socialdemokratiet,223
Varde,1,Varde By,"A_Birger_Filskov,_Nr._Nebel","Birger Filskov, Nr. Nebel",Socialdemokratiet,31
Varde,1,Varde By,"A_Sandie_Eis_Ravn,_Varde","Sandie Eis Ravn, Varde",Socialdemokratiet,179
Varde,1,Varde By,"A_Finn_Ladegaard,_Næsbjerg","Finn Ladegaard, Næsbjerg",Socialdemokratiet,20
Varde,1,Varde By,"A_Doron_Edry,_Tistrup","Doron Edry, Tistrup",Socialdemokratiet,64
Varde,1,Varde By,"A_Martin_B._Sølbeck,_Årre","Martin B. Sølbeck, Årre",Socialdemokratiet,12
Varde,1,Varde By,"A_Kim_Christensen,_Tistrup","Kim Christensen, Tistrup",Socialdemokratiet,6
Varde,1,Varde By,"A_Kent_Ager,_Varde","Kent Ager, Varde",Socialdemokratiet,355
Varde,1,Varde By,"A_Hans_Julius,_Alslev","Hans Julius, Alslev",Socialdemokratiet,10
Varde,1,Varde By,"A_Flemming_Knudsen,_Oksbøl","Flemming Knudsen, Oksbøl",Socialdemokratiet,9
Varde,1,Varde By,"A_Torben_Kondrup,_Ølgod","Torben Kondrup, Ølgod",Socialdemokratiet,14
Varde,1,Varde By,"A_Conny_Knigge,_Outrup","Conny Knigge, Outrup",Socialdemokratiet,25
Varde,1,Varde By,B_Listestemmer,Listestemmer,Radikale Venstre,53
Varde,1,Varde By,"B_Holger_Grumme_Nielsen,_Starup","Holger Grumme Nielsen, Starup",Radikale Venstre,83
Varde,1,Varde By,"B_Lise_R._Ø._Anderson,_Varde","Lise R. Ø. Anderson, Varde",Radikale Venstre,23
Varde,1,Varde By,"B_Daniel_Schoop_Gärtner,_Varde","Daniel Schoop Gärtner, Varde",Radikale Venstre,7
Varde,1,Varde By,"B_Jonna_Buch_Andersen,_Agerbæk","Jonna Buch Andersen, Agerbæk",Radikale Venstre,3
Varde,1,Varde By,"B_Jonas_C._W._Iversen,_Varde","Jonas C. W. Iversen, Varde",Radikale Venstre,28
Varde,1,Varde By,"B_Sanne_Tryk_Batiste,_Tofterup","Sanne Tryk Batiste, Tofterup",Radikale Venstre,8
Varde,1,Varde By,C_Listestemmer,Listestemmer,Det Konservative Folkeparti,191
Varde,1,Varde By,C_Steen_Holm_Iversen,Steen Holm Iversen,Det Konservative Folkeparti,501
Varde,1,Varde By,C_Heidi_Bundgaard,Heidi Bundgaard,Det Konservative Folkeparti,105
Varde,1,Varde By,C_Kitty_Gamkinn,Kitty Gamkinn,Det Konservative Folkeparti,64
Varde,1,Varde By,C_Erhardt_Jull,Erhardt Jull,Det Konservative Folkeparti,22
Varde,1,Varde By,C_Kåre_Jensen,Kåre Jensen,Det Konservative Folkeparti,129
Varde,1,Varde By,C_Rasmus_Sømod,Rasmus Sømod,Det Konservative Folkeparti,8
Varde,1,Varde By,C_Brian_Schmidt,Brian Schmidt,Det Konservative Folkeparti,11
Varde,1,Varde By,C_Henrik_Vej_Kastrupsen,Henrik Vej Kastrupsen,Det Konservative Folkeparti,26
Varde,1,Varde By,C_Mariane_Nygaard_Holm,Mariane Nygaard Holm,Det Konservative Folkeparti,33
Varde,1,Varde By,C_Annette_Juhl_Taldorf,Annette Juhl Taldorf,Det Konservative Folkeparti,8
Varde,1,Varde By,D_Listestemmer,Listestemmer,Nye Borgerlige,141
Varde,1,Varde By,D_Anja_Karlsson,Anja Karlsson,Nye Borgerlige,90
Varde,1,Varde By,D_Jørn_S._Pedersen,Jørn S. Pedersen,Nye Borgerlige,16
Varde,1,Varde By,D_Bjarne_Burgdorff,Bjarne Burgdorff,Nye Borgerlige,48
